skill_line	line_name	class	class_id	family	family_id	pet_talent_type	exotic	name	spell_id	castable	cooldown	description_source	description
188	Pet - Imp	9	9	Fel Imp, Imp	23,100		false	Firebolt	3110	true	0	db2-template	Deals $s1 Fire damage to a target.\n\n|cFF777777(Right-Click to toggle)|r
188	Pet - Imp	9	9	Fel Imp, Imp	23,100		false	Avoidance	32233	false	0	db2-template	Reduces the damage your pet takes from area of effect attacks by an additional $s1%.\nReduces the range at which enemies detect your pet.
188	Pet - Imp	9	9	Fel Imp, Imp	23,100		false	Flee	89792	true	20	db2-plain	Escapes to the Master, removing all stuns and roots from himself.\n\n|cFFFFFFFFAuto-Cast:|r\nCast when the Imp is stunned or rooted.\n\n|cFF777777(Right-Click to toggle)|r
188	Pet - Imp	9	9	Fel Imp, Imp	23,100		false	Singe Magic	89808	true	15	db2-template	Burns harmful spells, removing $89808s1 harmful Magic effect from an ally.\n\n|cFFFFFFFFAuto-Cast:|r\nCast upon master when $ghe:she; is unable to cast spells due to a Magic effect.\n\n|cFF777777(Right-Click to toggle)|r
189	Pet - Felhunter	9	9	Felhunter, Observer	15,103		false	Shadow Bite	54049	true	0	db2-template	Bites the enemy, causing $s1 Shadow damage.\n\n|cFF777777(Right-Click to toggle)|r
189	Pet - Felhunter	9	9	Felhunter, Observer	15,103		false	Avoidance	32233	false	0	db2-template	Reduces the damage your pet takes from area of effect attacks by an additional $s1%.\nReduces the range at which enemies detect your pet.
189	Pet - Felhunter	9	9	Felhunter, Observer	15,103		false	Devour Magic	19505	true	15	db2-template	Purges $19505s1 beneficial magic $19505leffect:effects; from an enemy. If an effect is devoured, the $?s219450[Observer][Felhunter]$?s56249[ and Warlock][] will be healed for $19658m1 and gain 60 Fel Energy.
189	Pet - Felhunter	9	9	Felhunter, Observer	15,103		false	Spell Lock	19647	true	24	db2-template	Counters the enemy's spellcast, preventing any spell from that school of magic from being cast for $19647d.
203	Pet - Spider	3	3	Spider	3	Ferocity	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
203	Pet - Spider	3	3	Spider	3	Ferocity	false	Web Spray	160067	true	10	db2-template	The Spider wraps webs around the target, slowing movement by $s1% for $d.
204	Pet - Voidwalker	9	9	Voidlord, Voidwalker	16,101		false	Consuming Shadows	3716	true	0	db2-template	Drains $s1 health from all nearby enemies.\n\n|cFF777777(Right-Click to toggle)|r
204	Pet - Voidwalker	9	9	Voidlord, Voidwalker	16,101		false	Suffering	17735	true	10	db2-template	The $?s108499[Voidlord][Voidwalker] taunts the target to attack it for $d, and increases its threat against the target.\n\n|cFFFFFFFFAuto-Cast:|r\nTaunts the current target if it is not attacking the $?s108499[Voidlord][Voidwalker] and taunts any target who attacks its master.\n\n|cFF777777(Right-Click to toggle)|r
204	Pet - Voidwalker	9	9	Voidlord, Voidwalker	16,101		false	Shadow Bulwark	17767	true	120	db2-template	Temporarily increases current and maximum health by $s1% for $d.\n\n|cFFFFFFFFAuto-Cast:|r\nUse this ability when below 20% health.\n\n|cFF777777(Right-Click to toggle)|r
204	Pet - Voidwalker	9	9	Voidlord, Voidwalker	16,101		false	Avoidance	32233	false	0	db2-template	Reduces the damage your pet takes from area of effect attacks by an additional $s1%.\nReduces the range at which enemies detect your pet.
204	Pet - Voidwalker	9	9	Voidlord, Voidwalker	16,101		false	Threatening Presence	112042	true	0	db2-plain	Intimidates any target the Voidwalker attacks, increasing threat generation.\n\n|cFFFFFFFFAuto-Cast:|r\nAlways keep this effect active.\n\n|cFF777777(Right-Click to toggle)|r
204	Pet - Voidwalker	9	9	Voidlord, Voidwalker	16,101		false	Shadow Shield	264993	false	10	db2-template	Encases the Voidwalker in shadow energy, reducing physical damage taken by $s1%.
205	Pet - Succubus	9	9	Incubus, Shivarra, Succubus	17,102,302		false	Whiplash	6360	true	6	db2-template	Whips the enemy, reducing movement speed by $s1% and increasing damage taken by the demon by $s2% for $d, stacking ${$u-1} times.\n\n|cFF777777(Right-Click to toggle)|r
