power_type	power	spell_id	name	class	fragments	varies	energize_ids
4	combo_points	53	backstab	rogue	1	0	53
4	combo_points	703	garrote	rogue	1	0	703
4	combo_points	1752	sinister_strike	rogue	1	0	1752 193315 197834 472915
4	combo_points	1766	kick	rogue	3	0	165996
4	combo_points	1776	gouge	rogue	1	0	1776 372410
4	combo_points	1822	rake	druid	1	0	1822 283699 292610 468867
4	combo_points	1833	cheap_shot	rogue		1	1833 145424 257738 283655
4	combo_points	5217	tigers_fury	druid	3	0	144859
4	combo_points	5221	shred	druid	1	0	5221 283719 292624 468869
4	combo_points	5374	mutilate	rogue	2	0	1329 60850 283658
4	combo_points	5938	shiv	rogue	1	0	5938
4	combo_points	8676	ambush	rogue		1	8676 194429 385897 430023 472907
4	combo_points	8921	moonfire	druid	1	0	155625
4	combo_points	14161	ruthlessness	rogue	1	0	1258235
4	combo_points	14190	seal_fate	rogue	1	0	14189
4	combo_points	22482	blade_flurry	rogue	1	0	426586
4	combo_points	32645	envenom	rogue	1	0	167106
4	combo_points	50334	berserk	druid	1	0	343216
4	combo_points	51690	killing_spree	rogue	1	0	1235074
4	combo_points	51723	fan_of_knives	rogue	1	0	234278
4	combo_points	77758	thrash	druid	1	0	106830 211141 468985
4	combo_points	106951	berserk	druid	1	0	343216
4	combo_points	114014	shuriken_toss	rogue	1	0	114014
4	combo_points	159286	primal_fury	druid	1	0	16953
4	combo_points	185313	shadow_dance	rogue	4	0	394029
4	combo_points	185438	shadowstrike	rogue	2	0	185438
4	combo_points	185565	poisoned_knife	rogue	1	0	185565
4	combo_points	185763	pistol_shot	rogue		1	185763 473199 1257324
4	combo_points	197835	shuriken_storm	rogue	1	0	212743
4	combo_points	200758	gloomblade	rogue	1	0	200758
4	combo_points	210722	ashamanes_frenzy	druid	3	0	210722
4	combo_points	213764	swipe	druid	1	0	106785 468994
4	combo_points	274837	feral_frenzy	druid	1	0	274838
4	combo_points	279876	opportunity	rogue	1	0	1254567
4	combo_points	328085	blindside	rogue	1	0	111240
4	combo_points	343160	premeditation	rogue		1	235777 343170
4	combo_points	381828	ace_up_your_sleeve	rogue	4	0	279714 394120
4	combo_points	382505	the_first_dance	rogue	2	0	278981
4	combo_points	385478	shrouded_suffocation	rogue	2	0	279703 394664
4	combo_points	385627	kingsbane	rogue	1	0	192759 385627
4	combo_points	391872	tigers_tenacity	druid	1	0	391874
4	combo_points	393991	elunes_guidance	druid	5	0	202060
4	combo_points	426591	goremaws_bite	rogue	3	0	220901
4	combo_points	441691	wildpower_surge	druid	5	0	441704
4	combo_points	454419	deal_fate	rogue	1	0	454421
4	combo_points	455461	lethal_preservation	druid	1	0	455466
4	combo_points	470669	echoing_reprimand	rogue	2	0	323547 375912 385616
4	combo_points	1243807	frantic_frenzy	druid	1	0	1278969
4	combo_points	1247227	crimson_tempest	rogue	1	0	1247227
4	combo_points	1250318	poisoners_drive	rogue	1	0	1250319
4	combo_points	1265861	gravedigger	rogue	6	0	1279356
5	runes	47568	empower_rune_weapon	death_knight	6	0	89831
5	runes	205223	consumption	death_knight	2	0	274156
5	runes	207061	murderous_efficiency	death_knight	1	0	207062
5	runes	220143	apocalypse	death_knight	2	0	220143 343758
5	runes	281238	obliteration	death_knight	1	0	281327
5	runes	316239	rune_strike	death_knight	1	0	210764
5	runes	377073	frigid_executioner	death_knight	1	0	377074
5	runes	444072	a_feast_of_souls	death_knight	1	0	444842
5	runes	1249658	breath_of_sindragosa	death_knight	2	0	1234304
