class	spec	name	spell_id	reached_by	provenance
Death Knight	Blood	Bloodworm	196361	trigger-effect	reached from Bloodworms 195679 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Death Knight	Blood	Essence of the Blood Queen	433925	trigger-effect	reached from Vampiric Strike 433895 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Death Knight	Blood	Gnaw	263856	prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; present in pet-family-annex.tsv on SkillLine 983 (Pet - Rodent) as 263856 — class-level, the pet path has no spec granularity
Death Knight	Frost	Frost Strike Off-Hand	66196	trigger-effect	reached from Frost Strike 49143 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Death Knight	Frost	Frostwhelp's Indignation	287283	trigger-effect	reached from Frozen Dominion 377253 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Death Knight	Frost	Gnaw	263856	prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; present in pet-family-annex.tsv on SkillLine 983 (Pet - Rodent) as 263856 — class-level, the pet path has no spec granularity
Death Knight	Frost	Obliterate Off-Hand	66198	trigger-effect	reached from Obliterate 49020 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Death Knight	Unholy	Dread Plague	1240996	trigger-effect	reached from Outbreak 77575 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Death Knight	Unholy	Essence of the Blood Queen	433925	trigger-effect	reached from Vampiric Strike 433895 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Death Knight	Unholy	Graveyard		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Death Knight	Unholy	Necrotic Coil		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Death Knight	Unholy	Virulent Plague	191587	trigger-effect	reached from Outbreak 77575 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Demon Hunter	Devourer	Demonic Wards		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Demon Hunter	Devourer	Devour		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Demon Hunter	Devourer	Pierce the Veil		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Demon Hunter	Devourer	Predator's Wake	1259431	trigger-effect	reached from The Hunt 370966 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Demon Hunter	Havoc	Abyssal Gaze		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Demon Hunter	Havoc	Annihilation		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Demon Hunter	Havoc	Consuming Fire		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Demon Hunter	Havoc	Death Sweep		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Demon Hunter	Havoc	Demon Blades		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Demon Hunter	Havoc	Exposed Wound	339229	trigger-effect	reached from Serrated Glaive 339230 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Demon Hunter	Havoc	Predator's Wake	1259431	trigger-effect	reached from The Hunt 370966 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Demon Hunter	Havoc	Reaver's Glaive		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Demon Hunter	Vengeance	Elysian Decree	339893	trigger-effect	reached from Sigil of Spite 389860 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Demon Hunter	Vengeance	Reaver's Glaive		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Druid	Balance	Ascendant Fires	1263363	trigger-effect	reached from Ascendant Eclipses 1261564 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Balance	Dazed	50259	trigger-effect	reached from Wild Charge 49376 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Balance	Full Moon		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Druid	Balance	Gift of an Ancient Guardian	1251877	trigger-effect	reached from Ironfur 192081 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Balance	Goldrinn's Fang	203001	trigger-effect	reached from Power of Goldrinn 202996 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Balance	Half Moon		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Druid	Balance	Immobilized	45334	trigger-effect	reached from Wild Charge 16979 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Balance	Lunar Eclipse		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Druid	Feral	Dazed	50259	trigger-effect	reached from Wild Charge 49376 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Feral	Gift of an Ancient Guardian	1251877	trigger-effect	reached from Ironfur 192081 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Feral	Immobilized	45334	trigger-effect	reached from Wild Charge 16979 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Feral	Maul	6807	trigger-effect	reached from Berserk 50334 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Feral	Stalking Predator	1263962	trigger-effect	reached from Unseen Predator 1263660 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Feral	Starfall	1286247	trigger-effect	reached from Heart of the Wild 1261870 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Guardian	Dazed	50259	trigger-effect	reached from Wild Charge 49376 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Guardian	Gift of Frenzied Regeneration	1269661	trigger-effect	reached from Wild Guardian 1269658 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Guardian	Gift of Ironfur	1269659	trigger-effect	reached from Wild Guardian 1269658 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Guardian	Gift of Maul	1269660	trigger-effect	reached from Wild Guardian 1269658 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Guardian	Immobilized	45334	trigger-effect	reached from Wild Charge 16979 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Guardian	Mastery: Nature's Guardian	155783	trigger-effect	reached from Wild Guardian 1269617 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Guardian	Starfall	1286247	trigger-effect	reached from Heart of the Wild 1261870 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Restoration	Dazed	50259	trigger-effect	reached from Wild Charge 49376 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Restoration	Gift of an Ancient Guardian	1251877	trigger-effect	reached from Ironfur 192081 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Restoration	Immobilized	45334	trigger-effect	reached from Wild Charge 16979 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Restoration	Memory of the Mother Tree	189877	trigger-effect	reached from Power of the Archdruid 189870 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Restoration	Starfall	1286247	trigger-effect	reached from Heart of the Wild 1261870 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Druid	Restoration	Visual Effect: Tree of Life	132213	trigger-effect	reached from Incarnation: Tree of Life 33891 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Evoker	Augmentation	Igneous Crucible	372956	trigger-effect	reached from Breath of Eons 403755 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Evoker	Augmentation	Renewing		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Evoker	Augmentation	Temporal Wound	409560	trigger-effect	reached from Breath of Eons 403755 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Hunter	Beast Mastery	Auto Shot		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Hunter	Beast Mastery	Call Pet 1 … Call Pet 5		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Hunter	Beast Mastery	Summon Animal Companion	273277	trigger-effect	reached from Animal Companion 267116 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Hunter	Marksmanship	Auto Shot		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Hunter	Marksmanship	Call Pet 1 … Call Pet 5		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Hunter	Marksmanship	Sentinel Owl	388045	trigger-effect	reached from Sentinel 393504 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Hunter	Survival	Call Pet 1 … Call Pet 5		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Hunter	Survival	Scorching Wildfire	259587	trigger-effect	reached from Wildfire Bomb 259496 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Hunter	Survival	Sentinel Owl	388045	trigger-effect	reached from Sentinel 393504 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Mage	Arcane	Nether Tempest	114923	trigger-effect	reached from Controlled Instincts 444483 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Mage	Fire	Blazing Speed	108843	trigger-effect	reached from Cauterize 86949 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Mage	Frost	Nether Tempest	114923	trigger-effect	reached from Controlled Instincts 444483 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Mage	Frost	Splinters		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Monk	Brewmaster	Empty Barrel	1265307	trigger-effect	reached from Bring Me Another 1265129 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Monk	Brewmaster	Fel Rush	346123	trigger-effect	reached from Lighter Than Air 449590 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Monk	Mistweaver	Fel Rush	346123	trigger-effect	reached from Lighter Than Air 449590 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Monk	Windwalker	Chi Energy	337571	trigger-effect	reached from Jade Ignition 337483 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Monk	Windwalker	Chi Explosion	393056	trigger-effect	reached from Jade Ignition 392979 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Monk	Windwalker	Fel Rush	346123	trigger-effect	reached from Lighter Than Air 449590 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Monk	Windwalker	Fists of Fury Visual Target	123154	trigger-effect	reached from Fists of Fury 117418 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Holy	Concentration Aura		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Paladin	Holy	Judgments of the Pure	355867	trigger-effect	reached from Divine Reach 469476 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Holy	Light's Beacon	53651	trigger-effect	reached from Beacon of Faith 156910 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Holy	Light's Decree	395605	trigger-effect	reached from Avenging Wrath 231895 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Holy	Sacred Weapon		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Paladin	Protection	Concentration Aura		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Paladin	Protection	Empyrean absorbs		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Paladin	Protection	Guardian's		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Paladin	Protection	Judgments of the Pure	355867	trigger-effect	reached from Divine Reach 469476 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Protection	Light's Decree	395605	trigger-effect	reached from Avenging Wrath 231895 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Protection	Reign of Ancient Kings	337852	trigger-effect	reached from Guardian of Ancient Kings 337851 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Protection	Sacred Weapon		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Paladin	Retribution	Blessed Hammers	404140	trigger-effect	reached from Templar Strikes 408275 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Retribution	Concentration Aura		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Paladin	Retribution	Hammer of Light	427441	trigger-effect	reached from Light's Guidance 427445 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Retribution	Judgments of the Pure	355867	trigger-effect	reached from Divine Reach 469476 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Retribution	Light's Decree	395605	trigger-effect	reached from Avenging Wrath 231895 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Paladin	Retribution	Templar Slash		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Paladin	Retribution	Truth's Wake	403695	trigger-effect	reached from Wake of Ashes 255937 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Discipline	Light's Blessing	286551	trigger-effect	reached from Dispel Magic 286556 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Discipline	Prayer of Healing	596	trigger-effect	reached from Surge of Light 114255 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Discipline	Void Shield		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Priest	Holy	Heal	2060	trigger-effect	reached from Lightweaver 390993 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Holy	Light's Blessing	286551	trigger-effect	reached from Dispel Magic 286556 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Holy	Mastery: Echo of Light		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Priest	Holy	Shadow Mend	186263	trigger-effect	reached from Surge of Light 114255 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Shadow	Harvested Thoughts	273321	trigger-effect	reached from Thought Harvester 273320 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Shadow	Insanity	194251	trigger-effect	reached from Voidform 185916 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Shadow	Light's Blessing	286551	trigger-effect	reached from Dispel Magic 286556 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Shadow	Mind Flay: Insanity		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Priest	Shadow	Prayer of Healing	596	trigger-effect	reached from Surge of Light 114255 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Shadow	Shadow Mend	186263	trigger-effect	reached from Surge of Light 114255 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Priest	Shadow	Void Volley		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Rogue	Assassination	Cold Blood	1264297	trigger-effect	reached from Cold Blooded Killer 382245 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Rogue	Outlaw	Amplifying Poison	381664	trigger-effect	reached from Master Poisoner 378436 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Rogue	Outlaw	Cold Blood	1264297	trigger-effect	reached from Cold Blooded Killer 382245 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Rogue	Subtlety	Amplifying Poison	381664	trigger-effect	reached from Master Poisoner 378436 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Rogue	Subtlety	Cold Blood	1264297	trigger-effect	reached from Cold Blooded Killer 382245 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Elemental	Doom Winds	384352	trigger-effect	reached from Ascendance 114051 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Elemental	Restorative Mists	294020	trigger-effect	reached from Ascendance 114052 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Elemental	Static Accumulation	384437	trigger-effect	reached from Ascendance 114051 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Elemental	Tempest Energize	188372	trigger-effect	reached from Tempest 188369 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Enhancement	Primordial Fire	1218113	trigger-effect	reached from Primordial Storm 1218090 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Enhancement	Primordial Frost	1218116	trigger-effect	reached from Primordial Storm 1218090 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Enhancement	Primordial Lightning	1218118	trigger-effect	reached from Primordial Storm 1218090 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Enhancement	Restorative Mists	294020	trigger-effect	reached from Ascendance 114052 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Enhancement	Tempest Energize	188372	trigger-effect	reached from Tempest 188369 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Restoration	Doom Winds	384352	trigger-effect	reached from Ascendance 114051 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Restoration	Restorative Mists	294020	trigger-effect	reached from Ascendance 114052 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Shaman	Restoration	Static Accumulation	384437	trigger-effect	reached from Ascendance 114051 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warlock	Affliction	Marked Soul	450629	trigger-effect	reached from Shared Fate 449704 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warlock	Affliction	Soul Swipe	1239714	trigger-effect	reached from Demonic Soul 1239715 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warlock	Affliction	Soulburn: Healthstone	387636	trigger-effect	reached from Gorebound Fortitude 449701 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
