class	class_id	spec	spec_id	tree	hero_tree	node_id	node_type	entry_id	talent	spell_id	max_ranks	req_points	row	col	choice_group	prereq_node_ids	serial_order	choice_index
death-knight	6	blood	250	class		76081	ACTIVE	96210	Icebound Fortitude	48792	1		2	2			38	0
death-knight	6	blood	250	class		76071	ACTIVE	96200	Death Strike	49998	1		2	4			29	0
death-knight	6	blood	250	class		76072	ACTIVE	96201	Raise Dead	46585	1		2	6			30	0
death-knight	6	blood	250	class		76045	PASSIVE	96173	Runic Attenuation	207104	1		3	2		76081	8	0
death-knight	6	blood	250	class		76067	PASSIVE	96196	Improved Death Strike	374277	1		3	4		76071	26	0
death-knight	6	blood	250	class		76073	PASSIVE	96202	Cleaving Strikes	316916	1		3	6		76072	31	0
death-knight	6	blood	250	class		76084	ACTIVE	96213	Mind Freeze	47528	1		4	1		76045	40	0
death-knight	6	blood	250	class		76044	ACTIVE	96172	Blinding Sleet	207167	1		4	2		76045	7	0
death-knight	6	blood	250	class		76052	PASSIVE	96180	Gloom Ward	391571	2		4	3		76045,76067	13	0
death-knight	6	blood	250	class		76074	CHOICE	96203	March of Darkness	391546	1		4	4	76074	76067	32	0
death-knight	6	blood	250	class		76074	CHOICE	133518	Wraith Walk	212552	1		4	4	76074	76067	32	1
death-knight	6	blood	250	class		76069	PASSIVE	96198	Unholy Momentum	374265	2		4	5		76073,76067	28	0
death-knight	6	blood	250	class		76059	ACTIVE	96188	Control Undead	111673	1		4	6		76073	20	0
death-knight	6	blood	250	class		110029	PASSIVE	136523	Enfeeble	392566	1		4	7		76073	199	0
death-knight	6	blood	250	class		76083	PASSIVE	96212	Coldthirst	378848	1		5	1		76084	39	0
death-knight	6	blood	250	class		101708	PASSIVE	125606	Proliferating Chill	373930	1		5	2		76084,76044,76052	164	0
death-knight	6	blood	250	class		76066	PASSIVE	96195	Permafrost	207200	1		5	3		76052	25	0
death-knight	6	blood	250	class		76068	PASSIVE	96197	Veteran of the Third War	48263	1		5	4		76069,76074,76052	27	0
death-knight	6	blood	250	class		76075	ACTIVE	96204	Death Pact	48743	1		5	5		76069	33	0
death-knight	6	blood	250	class		76061	PASSIVE	96190	Brittle	374504	1		5	6		76069,76059,110029	22	0
death-knight	6	blood	250	class		76060	PASSIVE	96189	Blood Bond	1267028	1		5	7		110029	21	0
death-knight	6	blood	250	class		76085	PASSIVE	96214	Icy Talons	194878	1	8	6	2		76066,101708,76083	41	0
death-knight	6	blood	250	class		110030	PASSIVE	136524	Death Notes	1266819	1	8	6	3		76066	200	0
death-knight	6	blood	250	class		76065	ACTIVE	96194	Anti-Magic Zone	51052	1	8	6	4		76068,76075,76066	24	0
death-knight	6	blood	250	class		110031	PASSIVE	136525	Death Defiance	1266818	1	8	6	5		76075	201	0
death-knight	6	blood	250	class		76076	PASSIVE	96205	Unholy Bond	374261	1	8	6	6		76075,76061,76060	34	0
death-knight	6	blood	250	class		76086	PASSIVE	96215	Ice Prison	454786	1	8	7	1		76085	42	0
death-knight	6	blood	250	class		76064	CHOICE	96193	Asphyxiate	221562	1	8	7	3	76064	76085,76065,110030	23	0
death-knight	6	blood	250	class		76064	CHOICE	136526	Death's Reach	276079	1	8	7	3	76064	76085,76065,110030	23	1
death-knight	6	blood	250	class		76048	PASSIVE	96176	Assimilation	374383	1	8	7	4		76065	10	0
death-knight	6	blood	250	class		76046	PASSIVE	96174	Anti-Magic Barrier	205727	1	8	7	5		110031,76076,76065	9	0
death-knight	6	blood	250	class		76057	PASSIVE	96186	Grip of the Dead	273952	1	8	7	7		76076	18	0
death-knight	6	blood	250	class		76087	PASSIVE	96216	Suppression	374049	1	8	8	2		76086,76064	43	0
death-knight	6	blood	250	class		76078	PASSIVE	96207	Blood Scent	374030	1	8	8	4		76048,76064,76046	35	0
death-knight	6	blood	250	class		76058	PASSIVE	96187	Unholy Endurance	389682	1	8	8	6		76057,76046	19	0
