class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases
Death Knight	Blood	250	Anti-Magic Zone	51052	talent-active	TraitNodeEntry	true	240	Cooldown	class		76065	96194	1	Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Dancing Rune Weapon	49028	talent-active	TraitNodeEntry	true	120	Cooldown	spec		76138	96269	1	Essential/Other	Cooldown 1	cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Death Pact	48743	talent-active	TraitNodeEntry	true	120	Cooldown	class		76075	96204	1	Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Icebound Fortitude	48792	talent-active	TraitNodeEntry	true	120	Cooldown	class		76081	96210	1	Essential/Other	Personal Defensive 1	cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Raise Dead	46585	talent-active	TraitNodeEntry	true	120	Cooldown	class		76072	96201	1		Buff		
Death Knight	Blood	250	Vampiric Blood	55233	talent-active	TraitNodeEntry	true	90	Cooldown	spec		76173	96308	1	Buff/Essential	Cooldown 2	cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Blinding Sleet	207167	talent-active	TraitNodeEntry	true	60	Cooldown	class		76044	96172	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Consumption	1263824	talent-active	TraitNodeEntry	true	45	Cooldown	spec		102244	126300	1	Buff/Essential		class-baseline:SkillLineAbility:796;cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Reaper's Mark	439843	talent-active	TraitNodeEntry	true	45	Cooldown	hero	Deathbringer	95062	117659	1	Buff/Essential		cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Mind Freeze	47528	talent-active	TraitNodeEntry	true	15	Rotational	class		76084	96213	1	Utility	Interrupt	cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Blood Boil	50842	talent-active	TraitNodeEntry	true	0	Rotational	spec		76170	96305	1	Buff/Essential	Rotational 3	cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Control Undead	111673	talent-active	TraitNodeEntry	true	0	Rotational	class		76059	96188	1		Class 5 (Purge)		
Death Knight	Blood	250	Death Strike	49998	talent-active	TraitNodeEntry	true	0	Rotational	class		76071	96200	1	Buff	Rotational 2	cdm-only:CooldownSetSpell	
Death Knight	Blood	250	Heart Strike	206930	talent-active	TraitNodeEntry	true	0	Rotational	spec		76169	96304	1	Essential	Rotational 1	cdm-only:CooldownSetSpell	
