class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Death Knight	Unholy	252	Anti-Magic Zone	51052	talent-active	TraitNodeEntry	true	240	0	Cooldown	class		76065	96194	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Places an Anti-Magic Zone for 6 sec, reducing the magic damage taken by party or raid members by 15%.
Death Knight	Unholy	252	Death Pact	48743	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		76075	96204	1	Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	Create a death pact that heals you for 50% of your maximum health, but absorbs incoming healing equal to 30% of your max health for 15 sec.
Death Knight	Unholy	252	Icebound Fortitude	48792	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		76081	96210	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Your blood freezes, granting immunity to Stun effects and reducing all damage you take by 30% for 8 sec.
Death Knight	Unholy	252	Raise Dead	46585	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		76072	96201	1	Essential	Class 4 (Special)	class-baseline:SpecializationSpells;cdm-only:CooldownSetSpell		api	Raises a ghoul to fight by your side.  You can have a maximum of one ghoul at a time. Lasts 1 min.
Death Knight	Unholy	252	Army of the Dead	42650	talent-active	TraitNodeEntry	true	90	0	Cooldown	spec		76196	96333	1	Essential		cdm-only:CooldownSetSpell		api	Summons a legion of 8 empowered Lesser Ghouls that last for 15 sec to swarm your enemies.\n\nGenerates 40 Runic Power.
Death Knight	Unholy	252	Blinding Sleet	207167	talent-active	TraitNodeEntry	true	60	0	Cooldown	class		76044	96172	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell		api	Targets in a cone in front of you are blinded, causing them to wander disoriented for 5 sec. Damage may cancel the effect.\n\nWhen Blinding Sleet ends, enemies are slowed by 50% for 6 sec.
Death Knight	Unholy	252	Dark Transformation	1233448	talent-active	TraitNodeEntry	true	45	0	Cooldown	spec		76185	96322	1	Essential/Other	Cooldown 1	cdm-only:CooldownSetSpell		api	Corrupt and evolve your Ghoul into a Monstrosity, greatly empowering its abilities for 15 sec.\n\nDeath Coil and Epidemic extends the duration of this effect by 1.0 sec.
Death Knight	Unholy	252	Mind Freeze	47528	talent-active	TraitNodeEntry	true	15	0	Rotational	class		76084	96213	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Smash the target's mind with cold, interrupting spellcasting and preventing any spell in that school from being cast for 5 sec.
Death Knight	Unholy	252	Soul Reaper	343294	talent-active	TraitNodeEntry	true	15	0	Rotational	spec		76179	96314	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Rupture the soul of your enemy, dealing 156 Shadowfrost damage and causing the foe to take 20% increased damage from your diseases and minions for 8 sec.\n\nOnly usable on enemies below 35% maximum health.\n\nConsumes up to 2 available charges to cast Putrefy.
Death Knight	Unholy	252	Control Undead	111673	talent-active	TraitNodeEntry	true	0	1.5	Rotational	class		76059	96188	1		Class 5 (Purge)			api	Dominates the target undead creature up to level 71, forcing it to do your bidding for 5 min.
Death Knight	Unholy	252	Death Strike	49998	talent-active	TraitNodeEntry	true	0	0	Rotational	class		76071	96200	1	Essential	Self-Heal 1	cdm-only:CooldownSetSpell		api	Focuses dark power into a strike that deals 54 Physical damage and heals you for 20.00% of all damage taken in the last 5 sec, minimum 7.0% of maximum health.
Death Knight	Unholy	252	Outbreak	77575	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		76189	96326	1	Buff/Essential	Rotational 6	cdm-only:CooldownSetSpell		api	Inflicts the target with Dread Plague and Virulent Plague.\n\nDread Plague\nA malicious plague that deals 153 Shadow damage over 24 sec. Explodes for 64 Shadow damage to nearby enemies and infects one when the host dies. Can only be applied to 1 host at a time.\n\nVirulent Plague\nAn infectious plague that spreads to all nearby enemies, dealing 70 Shadow damage over 24 sec.
Death Knight	Unholy	252	Putrefy	1247378	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		108129	133522	1	Essential	Rotational 4	cdm-only:CooldownSetSpell		api	Summon a Lesser Ghoul to strike the enemy for 82 Shadow damage and have them explode for 42 Shadow damage to nearby enemies.
Death Knight	Unholy	252	Scourge Strike	55090	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		76190	96327	1	Essential	Rotational 1	cdm-only:CooldownSetSpell		api	An unholy strike that deals 46 Shadow damage and causing your plagues on the target to erupt, dealing their damage an additional time at 35% effectiveness.\n\nApplies Virulent Plague or spreads it to a nearby enemy.
