class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Demon Hunter	Devourer	1480	Darkness	196718	talent-active	TraitNodeEntry	true	300	Cooldown	class		91002	112921	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Summons darkness around you in an 8 yd radius, granting friendly targets a 15% chance to avoid all damage from an attack. Lasts 8 sec.\n\nChance to avoid damage increased by 100% when not in a raid.
Demon Hunter	Devourer	1480	The Hunt	1246167	talent-active	TraitNodeEntry	true	90	Cooldown	spec		109503	135736	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Charge to your target, striking them for 2,282 Cosmic damage, rooting them in place for 1.5 sec and inflicting 1,628 Cosmic damage over 6 sec to up to 5 enemies in your path.
Demon Hunter	Devourer	1480	Imprison	217832	talent-active	TraitNodeEntry	true	45	Cooldown	class		91007	112927	1	Buff/Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Imprisons a demon, beast, or humanoid, incapacitating them for 1 min. Damage may cancel the effect. Limit 1.
Demon Hunter	Devourer	1480	Void Nova	1234195	talent-active	TraitNodeEntry	true	45	Cooldown	class		107347	132289	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Unleash an eruption of void energy, dealing 104 Cosmic damage and stunning your target and all nearby enemies for 2 sec.
Demon Hunter	Devourer	1480	Consume Magic	278326	talent-active	TraitNodeEntry	true	10	Rotational	class		91006	112926	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Consume 1 beneficial Magic effect removing it from the target.
Demon Hunter	Devourer	1480	Vengeful Retreat	198793	talent-active	TraitNodeEntry	true	0.5	Rotational	class		90942	112853	1	Buff/Utility		cdm-only:CooldownSetSpell		api	Remove all snares and vault away. Nearby enemies take 5 Physical damage.
Demon Hunter	Devourer	1480	Collapsing Star	1221167	talent-active	TraitNodeEntry	true	0	Rotational	spec		107339	132281	1	Buff	Rotational 4	cdm-only:CooldownSetSpell		api	While in Void Metamorphosis, every 30 Soul Fragments harvested grants access to Collapsing Star.\n\n Collapsing Star\nChannel an immense amount of void energy into a single, cataclysmic blast, dealing 2,443 Cosmic damage to your target and 1,772 Cosmic damage to all nearby enemies. Damage reduced beyond 8 targets.\n\nWhile casting Collapsing Star, your Fury drain is significantly reduced.
Demon Hunter	Devourer	1480	Sigil of Misery	207684	talent-active	TraitNodeEntry	true	0	Rotational	class		90946	112859	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell		api	Place a Sigil of Misery at the target location that activates after 2 sec.\n\nCauses all enemies affected by the sigil to cower in fear, disorienting them for 15 sec.
Demon Hunter	Devourer	1480	Soul Immolation	1241937	talent-active	TraitNodeEntry	true	0	Rotational	spec		107344	132286	1	Buff/Essential	Rotational 5	cdm-only:CooldownSetSpell		api	Light your soul aflame, healing yourself for 24% of your maximum health, generating 30 Fury and shattering 3 Soul Fragments over 5 sec.
Demon Hunter	Devourer	1480	Void Metamorphosis	471306	talent-active	TraitNodeEntry	true	0	Rotational	spec		107340	132282	1	Buff/Essential	Cooldown 1	class-baseline:SpecializationSpells;cdm-only:CooldownSetSpell		api	Collecting 50 Soul Fragments grants access to Void Metamorphosis.\n\n Void Metamorphosis\nRequires 50 Soul Fragments\n\nYou ascend to a higher state of being, substantially empowering your abilities.\n\nWhile in Void Metamorphosis, your Consume and Reap are enhanced and your Fury will slowly drain. Additionally, Void Ray reduces your Fury drain, deals increased damage, and no longer consumes Fury.
Demon Hunter	Devourer	1480	Void Ray	473728	talent-active	TraitNodeEntry	true	0	Rotational	spec		107336	132278	1	Essential	Rotational 2	cdm-only:CooldownSetSpell		api	Requires 100 Fury\nUnleash a beam of concentrated void energy, dealing 76 Cosmic damage and consuming 5 Fury every 0.1 sec.\n\nEffect ends after 2.7 sec or upon reaching 0 Fury.
Demon Hunter	Devourer	1480	Voidblade	1245412	talent-active	TraitNodeEntry	true	0	Rotational	class		108723	134272	1	Essential/Utility		cdm-only:CooldownSetSpell		api	Unleash your glaives and charge to your target, dealing 852 Cosmic damage.
Demon Hunter	Devourer	1480	Metamorphosis	191427	class-baseline	SkillLineAbility:1848	true	120	Cooldown										api	Leap into the air and land with explosive force, dealing 15 Chaos damage to enemies within 8 yds, and stunning them for 3 sec. Players are Dazed for 3 sec instead.\n\nUpon landing, you are transformed into a hellish demon for 20 sec, greatly empowering your Chaos Strike and Blade Dance abilities and gaining 20% Haste.
Demon Hunter	Devourer	1480	Fury of the Illidari	201467	class-baseline	SkillLineAbility:1848	true	60	Cooldown										api	Throws two demonic glaives in a whirlwind of energy, causing 0 Chaos damage over 3 sec to all nearby enemies.
Demon Hunter	Devourer	1480	Soul Carver	207407	class-baseline	SkillLineAbility:1848	true	60	Cooldown										api	Carve into the soul of your target, dealing 171 Fire damage and an additional 104 Fire damage over 3 sec.  Immediately shatters 3 Soul Fragments from the target and 1 additional Soul Fragment every 1 sec.
Demon Hunter	Devourer	1480	Spectral Sight	188501	class-baseline	SkillLineAbility:1848	true	30	Rotational						Buff/Utility	Class 4 (Special)	class-baseline:SpecializationSpells;cdm-only:CooldownSetSpell		api	Allows you to see enemies and treasures through physical barriers, as well as enemies that are stealthed and invisible. Lasts 8 sec.\n\nLoss of control effects disrupt the sight.
Demon Hunter	Devourer	1480	Disrupt	183752	class-baseline	SkillLineAbility:1848	true	15	Rotational						Utility	Interrupt	cdm-only:CooldownSetSpell		api	Interrupts the enemy's spellcasting and locks them from that school of magic for 5 sec.
Demon Hunter	Devourer	1480	Immolation Aura	258920	class-baseline	SkillLineAbility:1848	true	1.5	Rotational										api	Engulf yourself in flames, radiating 26 Fire damage over 6 sec.
Demon Hunter	Devourer	1480	Fel Rush	344865	class-baseline	SkillLineAbility:1848	true	1	Rotational										api	Rush forward, incinerating anything in your path for 15 Chaos damage.
Demon Hunter	Devourer	1480	Glide	131347	class-baseline	SkillLineAbility:1848	true	1	Rotational										api	Reduces your falling speed.\n\nYou can activate this ability with the jump key while falling.
Demon Hunter	Devourer	1480	Shift	1234796	class-baseline	SpecializationSpells	true	0.8	Rotational						Utility	Movement Ability	cdm-only:CooldownSetSpell		api	Shift through the void, reappearing at your targeted destination.
Demon Hunter	Devourer	1480	Blur	198589	class-baseline	SpecializationSpells	true	0.5	Rotational						Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Reduces all damage taken by 25% for 10 sec.
Demon Hunter	Devourer	1480	Chaos Strike	344862	class-baseline	SkillLineAbility:1848	true	0	Rotational										api	Slice your target for 28 Chaos damage. Chaos Strike has a 20% chance to refund 20 Fury.
Demon Hunter	Devourer	1480	Consume	473662	class-baseline	SpecializationSpells	true	0	Rotational							Rotational 1			api	Drain the essence from your target, dealing 1,200 Cosmic damage.\n\nCastable while moving.\n\nGenerates 8 Fury.
Demon Hunter	Devourer	1480	Demon's Bite	344859	class-baseline	SkillLineAbility:1848	true	0	Rotational										api	Quickly attack for 36 Physical damage.\n\nGenerates 20 to 30 Fury.
Demon Hunter	Devourer	1480	Reap	1226019	class-baseline	SpecializationSpells	true	0	Rotational						Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Cut a hole in the fabric of reality, sending a concentrated bolt of cosmic matter towards your target, dealing 2,404 Cosmic damage.\n\nReap gathers up to 4 nearby souls.
Demon Hunter	Devourer	1480	Sigil of Flame	204596	class-baseline	SkillLineAbility:1848	true	0	Rotational										api	Place a Sigil of Flame at the target location that activates after 2 sec.\n\nDeals 28 Fire damage, and an additional 70 Fire damage over 8 sec, to all enemies affected by the sigil.\n\nGenerates 25 Fury.
Demon Hunter	Devourer	1480	Single-Button Assistant	1229376	class-baseline	SpecializationSpells	true	0	Rotational										api	Casts damaging abilities for use in combat, rotating through them based on priority.\n\nThe global cooldown of abilities used through the Single-Button Assistant is 25% longer.
Demon Hunter	Devourer	1480	Throw Glaive	185123	class-baseline	SkillLineAbility:1848	true	0	Rotational						Utility	Class 3 (Tag)	cdm-only:CooldownSetSpell		api	Throw a demonic glaive at the target, dealing 17 Physical damage. The glaive can ricochet to an additional enemy within 10 yards.
Demon Hunter	Devourer	1480	Torment	185245	class-baseline	SkillLineAbility:1848	true	0	Rotational						Buff	Taunt/Quick Access	cdm-only:CooldownSetSpell		api	Taunts the target to attack you, and increases the threat you generate against them by 800% for 6 sec.
Demon Hunter	Devourer	1480	Reverse Magic	205604	pvp-talent	PvpTalent	true	60	Cooldown										api	Removes all harmful magical effects from yourself and all nearby allies within 10 yards, and sends them back to their original caster if possible.
Demon Hunter	Devourer	1480	Armor of Souls	1261414	pvp-talent	PvpTalent	false	0	Rotational										api	Your Armor is increased by 100%. Taking damage has a 12% chance to generate a Soul Fragment.
Demon Hunter	Devourer	1480	Beckon	1261697	pvp-talent	PvpTalent	false	0	Rotational										api	Reap reduces the cast time of your next Consume by 100% and causes it to generate 1 additional Soul Fragment.
