class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Demon Hunter	Havoc	577	Darkness	196718	talent-active	TraitNodeEntry	true	300	0	Cooldown	class		91002	112921	1	Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Summons darkness around you in an 8 yd radius, granting friendly targets a 15% chance to avoid all damage from an attack. Lasts 8 sec.\n\nChance to avoid damage increased by 100% when not in a raid.
Demon Hunter	Havoc	577	The Hunt	370965	talent-active	TraitNodeEntry	true	90	1	Cooldown	spec		90921	112830	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Charge to your target, striking them for 231 Chaos damage, rooting them in place for 1.5 sec and inflicting 168 Chaos damage over 6 sec to up to 5 enemies in your path.
Demon Hunter	Havoc	577	Chaos Nova	179057	talent-active	TraitNodeEntry	true	45	0	Cooldown	class		90993	112911	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Unleash an eruption of fel energy, dealing 9 Chaos damage and stunning all nearby enemies for 3 sec.
Demon Hunter	Havoc	577	Imprison	217832	talent-active	TraitNodeEntry	true	45	0	Cooldown	class		91007	112927	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Imprisons a demon, beast, or humanoid, incapacitating them for 1 min. Damage may cancel the effect. Limit 1.
Demon Hunter	Havoc	577	Essence Break	258860	talent-active	TraitNodeEntry	true	40	0	Rotational	spec		91033	112956	1	Essential		cdm-only:CooldownSetSpell		api	Slash all enemies in front of you for 110 Chaos damage, causing Chaos Strike and Blade Dance to deal 70 Chaos damage to them for 4 sec. Deals reduced damage beyond 8 targets.
Demon Hunter	Havoc	577	Eye Beam	198013	talent-active	TraitNodeEntry	true	30	0	Rotational	spec		91018	112939	1	Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Blasts all enemies in front of you, for up to 281 Chaos damage over 1.8 sec. Deals reduced damage beyond 5 targets.
Demon Hunter	Havoc	577	Vengeful Retreat	198793	talent-active	TraitNodeEntry	true	25	0	Rotational	class		90942	112853	1	Utility		cdm-only:CooldownSetSpell		api	Remove all snares and vault away. Nearby enemies take 5 Physical damage.
Demon Hunter	Havoc	577	Felblade	232893	talent-active	TraitNodeEntry	true	12	0	Rotational	class		91008	112928	1	Utility		cdm-only:CooldownSetSpell		api	Charge to your target and deal 43 Fire damage.\n\nGenerates 15 Fury.
Demon Hunter	Havoc	577	Consume Magic	278326	talent-active	TraitNodeEntry	true	10	0	Rotational	class		91006	112926	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Consume 1 beneficial Magic effect removing it from the target.
Demon Hunter	Havoc	577	Sigil of Misery	207684	talent-active	TraitNodeEntry	true	0	0	Rotational	class		90946	112859	1	Utility	CC 2	cdm-only:CooldownSetSpell		api	Place a Sigil of Misery at the target location that activates after 2 sec.\n\nCauses all enemies affected by the sigil to cower in fear, disorienting them for 15 sec.
