class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Demon Hunter	Vengeance	581	Darkness	196718	talent-active	TraitNodeEntry	true	300	0	Cooldown	class		91002	112921	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Summons darkness around you in an 8 yd radius, granting friendly targets a 15% chance to avoid all damage from an attack. Lasts 8 sec.\n\nChance to avoid damage increased by 100% when not in a raid.
Demon Hunter	Vengeance	581	Soul Carver	207407	talent-active	TraitNodeEntry	true	60	0	Cooldown	spec		90982	112898	1	Buff/Essential		class-baseline:SkillLineAbility:1848;cdm-only:CooldownSetSpell		api	Carve into the soul of your target, dealing 171 Fire damage and an additional 105 Fire damage over 3 sec.  Immediately shatters 3 Soul Fragments from the target and 1 additional Soul Fragment every 1 sec.
Demon Hunter	Vengeance	581	Chaos Nova	179057	talent-active	TraitNodeEntry	true	45	0	Cooldown	class		108729	134282	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Unleash an eruption of fel energy, dealing 9 Chaos damage and stunning all nearby enemies for 3 sec.
Demon Hunter	Vengeance	581	Imprison	217832	talent-active	TraitNodeEntry	true	45	0	Cooldown	class		91007	112927	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Imprisons a demon, beast, or humanoid, incapacitating them for 1 min. Damage may cancel the effect. Limit 1.
Demon Hunter	Vengeance	581	Fel Devastation	212084	talent-active	TraitNodeEntry	true	40	0	Rotational	spec		90991	112908	1	Essential		cdm-only:CooldownSetSpell		api	Unleash the fel within you, damaging enemies directly in front of you for 162 Fire damage over 2 sec.
Demon Hunter	Vengeance	581	Spirit Bomb	247454	talent-active	TraitNodeEntry	true	25	0	Rotational	spec		90990	112907	1	Essential		cdm-only:CooldownSetSpell		api	Consume up to 5 Soul Fragments then explode, dealing 70 Fire damage to nearby enemies, increased by 20% per fragment consumed. Deals reduced damage beyond 8 targets.
Demon Hunter	Vengeance	581	Vengeful Retreat	198793	talent-active	TraitNodeEntry	true	25	0	Rotational	class		90942	112853	1	Utility		cdm-only:CooldownSetSpell		api	Remove all snares and vault away. Nearby enemies take 5 Physical damage.
Demon Hunter	Vengeance	581	Felblade	232893	talent-active	TraitNodeEntry	true	12	0	Rotational	class		108722	134271	1	Utility		cdm-only:CooldownSetSpell		api	Charge to your target and deal 43 Fire damage.\n\nGenerates 15 Fury.
Demon Hunter	Vengeance	581	Consume Magic	278326	talent-active	TraitNodeEntry	true	10	0	Rotational	class		91006	112926	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Consume 1 beneficial Magic effect removing it from the target.
Demon Hunter	Vengeance	581	Fiery Brand	204021	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		90951	112864	1	Essential/Other	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Brand yourself and an enemy target with demonic symbols, reducing the damage you take by 40% and instantly dealing 145 Fire damage to the enemy.
Demon Hunter	Vengeance	581	Sigil of Chains	202138	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		90954	112867	1	Buff		cdm-only:CooldownSetSpell		api	Place a Sigil of Chains at the target location that activates after 2 sec.\n\nAll enemies affected by the sigil are pulled to its center and are snared, reducing movement speed by 70% for 6 sec.
Demon Hunter	Vengeance	581	Sigil of Misery	207684	talent-active	TraitNodeEntry	true	0	0	Rotational	class		90946	112859	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell		api	Place a Sigil of Misery at the target location that activates after 2 sec.\n\nCauses all enemies affected by the sigil to cower in fear, disorienting them for 15 sec.
