class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Druid	Balance	102	Innervate	29166	talent-active	TraitNodeEntry	true	180	0	Cooldown	class		82244	103324	1	Utility	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell		api	Infuse a friendly healer with energy, allowing them to cast spells without spending mana for 8 sec.
Druid	Balance	102	Heart of the Wild	1261867	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		82231	103309	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	Perform a powerful off-role ability depending on your currently active shapeshift form.\n\nNon-shapeshifted:\nEmpowered Wild Growth that heals up to 5 injured allies within 30 yards of the target for 6,514 over 7 sec.\n\nBear Form:\nIncrease your maximum health by 30% for 20 sec.
Druid	Balance	102	Stampeding Roar	106898	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		82234	103312	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Shift into Bear Form and let loose a wild roar, increasing the movement speed of all friendly players within 15 yards by 60% for 8 sec.
Druid	Balance	102	Force of Nature	205636	talent-active	TraitNodeEntry	true	60	0	Cooldown	spec		88210	109844	1	Essential	Cooldown 2	class-baseline:SkillLineAbility:798;cdm-only:CooldownSetSpell		api	Summons a stand of 3 Treants for 10 sec which immediately taunt and attack enemies in the targeted area.\n\nGenerates 20 Astral Power.
Druid	Balance	102	Solar Beam	78675	talent-active	TraitNodeEntry	true	60	0	Cooldown	spec		88231	109867	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Summons a beam of solar light over an enemy target's location, interrupting the target and silencing all enemies within the beam. Lasts 8 sec.
Druid	Balance	102	Maim	22570	talent-active	TraitNodeEntry	true	30	0	Rotational	class		82221	103299	1					api	Finishing move that causes Physical damage and stuns the target. Damage and duration increased per combo point:\n\n   1 point  : 5 damage, 1 sec\n   2 points: 10 damage, 2 sec\n   3 points: 15 damage, 3 sec\n   4 points: 20 damage, 4 sec\n   5 points: 26 damage, 5 sec
Druid	Balance	102	Typhoon	132469	talent-active	TraitNodeEntry	true	30	0	Rotational	class		82209	103287	1	Buff/Utility	CC 2	class-baseline:SkillLineAbility:798;cdm-only:CooldownSetSpell		api	Blasts targets within 15 yards in front of you with a violent Typhoon, knocking them back and reducing their movement speed by 50% for 6 sec. Usable in all shapeshift forms.
Druid	Balance	102	Wild Growth	48438	talent-active	TraitNodeEntry	true	10	1.5	Rotational	class		82205	103283	1					api	Heals up to 5 injured allies within 30 yards of the target for 1,085 over 7 sec. Healing starts high and declines over the duration.
Druid	Balance	102	Remove Corruption	2782	talent-active	TraitNodeEntry	true	8	0	Rotational	class		82241	103320	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Nullifies corrupting effects on the friendly target, removing all Curse and Poison effects.
Druid	Balance	102	Celestial Alignment	194223	talent-active	TraitNodeEntry	true	1	0	Rotational	spec		88215	109849	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Celestial bodies align, maintaining both Eclipses and granting 10% haste for 15 sec.
Druid	Balance	102	Frenzied Regeneration	22842	talent-active	TraitNodeEntry	true	1	0	Rotational	class		82220	103298	1	Buff/Utility		cdm-only:CooldownSetSpell		api	Heals you for 32% health over 3 sec.
Druid	Balance	102	Ironfur	192081	talent-active	TraitNodeEntry	true	0.5	0	Rotational	class		82227	103305	1					api	Increases armor by 124 for 7 sec.
Druid	Balance	102	Eclipse	1239669	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		88223	109858	1	Other	Rotational 4	cdm-only:CooldownSetSpell		api	You may draw the sun and moon into alignment for 15 sec, empowering either your Nature or Arcane spells. Casting Wrath or Starfire changes what mode of Eclipse will be entered, and the two modes of Eclipse share a button and 32 sec cooldown.\n\n Eclipse (Solar)\nNature spells deal 15% additional damage and Wrath damage is increased by 40%.\n\n Eclipse (Lunar)\nArcane spells deal 15% additional damage and Starfire damage is increased by 40%.
Druid	Balance	102	Hibernate	2637	talent-active	TraitNodeEntry	true	0	1.5	Rotational	class		82211	103289	1	Buff/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Forces the enemy target to sleep for up to 40 sec. Any damage will awaken the target. Only one target can be forced to hibernate at a time. Only works on Beasts and Dragonkin.
Druid	Balance	102	Moonkin Form	24858	talent-active	TraitNodeEntry	true	0	0	Rotational	class		82208	103286	1		Stance 4			api	Shapeshift into Moonkin Form, increasing the damage of your spells by 10% and your armor by 125%, and granting protection from Polymorph effects.\n\nThe act of shapeshifting frees you from movement impairing effects.
Druid	Balance	102	Rake	1822	talent-active	TraitNodeEntry	true	0	0	Rotational	class		82199	103277	1					api	Rake the target for 10 Bleed damage and an additional 57 Bleed damage over 15 sec.\n\nAwards 1 combo point.
Druid	Balance	102	Rejuvenation	774	talent-active	TraitNodeEntry	true	0	0	Rotational	class		82217	103295	1					api	Heals the target for 1,672 over 12 sec.
