class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Druid	Feral	103	Berserk	106951	talent-active	TraitNodeEntry	true	180	Cooldown	spec		82101	103162	1	Essential/Other		cdm-only:CooldownSetSpell		api	Go Berserk for 15 sec. While Berserk:\n\nGenerate 1 combo point every 1.5 sec. Combo point generating abilities generate 1 additional combo point. Finishing moves restore up to 3 combo points generated over the cap.\n\nAll attack and ability damage is increased by 15%.
Druid	Feral	103	Innervate	29166	talent-active	TraitNodeEntry	true	180	Cooldown	class		82244	103324	1	Utility	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell		api	Infuse a friendly healer with energy, causing them to regenerate 25% of their maximum mana over 8 sec.
Druid	Feral	103	Heart of the Wild	1261867	talent-active	TraitNodeEntry	true	120	Cooldown	class		82231	103309	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	Perform a powerful off-role ability depending on your currently active shapeshift form.\n\nNon-shapeshifted:\nEmpowered Wild Growth that heals up to 5 injured allies within 30 yards of the target for 9,773 over 7 sec.\n\nBear Form:\nIncrease your maximum health by 30% for 20 sec.
Druid	Feral	103	Stampeding Roar	106898	talent-active	TraitNodeEntry	true	120	Cooldown	class		82234	103312	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Shift into Bear Form and let loose a wild roar, increasing the movement speed of all friendly players within 15 yards by 60% for 8 sec.
Druid	Feral	103	Feral Frenzy	274837	talent-active	TraitNodeEntry	true	45	Cooldown	spec		82112	103175	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Unleash a furious frenzy, clawing your target 5 times for 29 Physical damage and an additional 192 Bleed damage over 6 sec.\n\nAwards 5 combo points.
Druid	Feral	103	Maim	22570	talent-active	TraitNodeEntry	true	30	Rotational	class		82221	103299	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell		api	Finishing move that causes Physical damage and stuns the target. Damage and duration increased per combo point:\n\n   1 point  : 5 damage, 1 sec\n   2 points: 10 damage, 2 sec\n   3 points: 15 damage, 3 sec\n   4 points: 20 damage, 4 sec\n   5 points: 25 damage, 5 sec
Druid	Feral	103	Tiger's Fury	5217	talent-active	TraitNodeEntry	true	30	Rotational	spec		82124	103188	1	Essential/Other	Rotational 5	cdm-only:CooldownSetSpell		api	Instantly restores 50 Energy, and increases the damage of all your attacks by 15% for their full duration. Lasts 10 sec.
Druid	Feral	103	Typhoon	132469	talent-active	TraitNodeEntry	true	30	Rotational	class		82209	103287	1	Buff/Utility	Slow	class-baseline:SkillLineAbility:798;cdm-only:CooldownSetSpell		api	Blasts targets within 15 yards in front of you with a violent Typhoon, knocking them back and reducing their movement speed by 50% for 6 sec. Usable in all shapeshift forms.
Druid	Feral	103	Skull Bash	106839	talent-active	TraitNodeEntry	true	15	Rotational	class		82242	103322	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	You charge and bash the target's skull, interrupting spellcasting and preventing any spell in that school from being cast for 5 sec.
Druid	Feral	103	Starsurge	197626	talent-active	TraitNodeEntry	true	10	Rotational	class		82200	103278	1					api	Launch a surge of stellar energies at the target, dealing 803 Astral damage.
