class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Druid	Restoration	105	Innervate	29166	talent-active	TraitNodeEntry	true	180	Cooldown	class		82244	103324	1	Other/Utility	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell		api	Infuse a friendly healer with energy, allowing them to cast spells without spending mana for 8 sec.
Druid	Restoration	105	Tranquility	740	talent-active	TraitNodeEntry	true	180	Cooldown	spec		82054	103108	1	Essential	Cooldown 1	class-baseline:SkillLineAbility:798;cdm-only:CooldownSetSpell		api	Heals all allies within 40 yards for 19,417 over 5.4 sec.\n\nHealing decreased beyond 5 targets.
Druid	Restoration	105	Heart of the Wild	1261867	talent-active	TraitNodeEntry	true	120	Cooldown	class		82231	103309	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	Perform a powerful off-role ability depending on your currently active shapeshift form.\n\nNon-shapeshifted:\nEmpowered Wild Growth that heals up to 5 injured allies within 30 yards of the target for 6,514 over 7 sec.\n\nBear Form:\nIncrease your maximum health by 30% for 20 sec.
Druid	Restoration	105	Stampeding Roar	106898	talent-active	TraitNodeEntry	true	120	Cooldown	class		82234	103312	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Shift into Bear Form and let loose a wild roar, increasing the movement speed of all friendly players within 15 yards by 60% for 8 sec.
Druid	Restoration	105	Ironbark	102342	talent-active	TraitNodeEntry	true	90	Cooldown	spec		82082	103141	1	Buff/Essential	Cooldown 4	cdm-only:CooldownSetSpell		api	The target's skin becomes as tough as Ironwood, reducing damage taken by 20% for 12 sec.
Druid	Restoration	105	Nature's Swiftness	132158	talent-active	TraitNodeEntry	true	60	Cooldown	spec		82050	103101	1	Buff/Essential	Self-Heal 1	cdm-only:CooldownSetSpell		api	Your next Regrowth, Rebirth, or Entangling Roots is instant, free, castable in all forms, and heals for an additional 60%.
Druid	Restoration	105	Maim	22570	talent-active	TraitNodeEntry	true	30	Rotational	class		82221	103299	1	Essential		cdm-only:CooldownSetSpell		api	Finishing move that causes Physical damage and stuns the target. Damage and duration increased per combo point:\n\n   1 point  : 5 damage, 1 sec\n   2 points: 10 damage, 2 sec\n   3 points: 15 damage, 3 sec\n   4 points: 20 damage, 4 sec\n   5 points: 26 damage, 5 sec
Druid	Restoration	105	Typhoon	132469	talent-active	TraitNodeEntry	true	30	Rotational	class		82209	103287	1	Utility	CC 2	class-baseline:SkillLineAbility:798;cdm-only:CooldownSetSpell		api	Blasts targets within 15 yards in front of you with a violent Typhoon, knocking them back and reducing their movement speed by 50% for 6 sec. Usable in all shapeshift forms.
Druid	Restoration	105	Starsurge	197626	talent-active	TraitNodeEntry	true	10	Rotational	class		82200	103278	1	Essential/Utility		cdm-only:CooldownSetSpell		api	Launch a surge of stellar energies at the target, dealing 796 Astral damage.
Druid	Restoration	105	Wild Growth	48438	talent-active	TraitNodeEntry	true	10	Rotational	class		82205	103283	1	Essential	Cooldown 3	cdm-only:CooldownSetSpell		api	Heals up to 5 injured allies within 30 yards of the target for 1,085 over 7 sec. Healing starts high and declines over the duration.
Druid	Restoration	105	Frenzied Regeneration	22842	talent-active	TraitNodeEntry	true	1	Rotational	class		82220	103298	1	Buff/Utility		cdm-only:CooldownSetSpell		api	Heals you for 32% health over 3 sec.
Druid	Restoration	105	Ironfur	192081	talent-active	TraitNodeEntry	true	0.5	Rotational	class		82227	103305	1	Essential		cdm-only:CooldownSetSpell		api	Increases armor by 124 for 7 sec.
Druid	Restoration	105	Efflorescence	145205	talent-active	TraitNodeEntry	true	0	Rotational	spec		82057	103111	1	Buff/Essential		class-baseline:SkillLineAbility:798;cdm-only:CooldownSetSpell		api	Grows a healing blossom at the target location, restoring 227 health to three injured allies within 10 yards every 1.8 sec for 30 sec. Limit 1.
Druid	Restoration	105	Hibernate	2637	talent-active	TraitNodeEntry	true	0	Rotational	class		82211	103289	1	Buff/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Forces the enemy target to sleep for up to 40 sec. Any damage will awaken the target. Only one target can be forced to hibernate at a time. Only works on Beasts and Dragonkin.
Druid	Restoration	105	Lifebloom	33763	talent-active	TraitNodeEntry	true	0	Rotational	spec		82049	103100	1	Essential/Other	Rotational 7	cdm-only:CooldownSetSpell		api	Heals the target for 1,715 over 15 sec. When Lifebloom expires, is dispelled, or is refreshed near expiration the target is instantly healed for 829.\n\nMay be active on one target at a time.
Druid	Restoration	105	Moonkin Form	24858	talent-active	TraitNodeEntry	true	0	Rotational	class		82208	103286	1		Stance 4			api	Shapeshift into Moonkin Form, increasing the damage of your spells by 10% and your armor by 125%, and granting protection from Polymorph effects.\n\nThe act of shapeshifting frees you from movement impairing effects.
Druid	Restoration	105	Rake	1822	talent-active	TraitNodeEntry	true	0	Rotational	class		82199	103277	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Rake the target for 10 Bleed damage and an additional 57 Bleed damage over 15 sec.\n\nAwards 1 combo point.
Druid	Restoration	105	Rejuvenation	774	talent-active	TraitNodeEntry	true	0	Rotational	class		82217	103295	1	Essential	Rotational 5	cdm-only:CooldownSetSpell		api	Heals the target for 1,672 over 12 sec.
Druid	Restoration	105	Rip	1079	talent-active	TraitNodeEntry	true	0	Rotational	class		82222	103300	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Finishing move that causes Bleed damage over time. Lasts longer per combo point.\n\n   1 point  : 8 over 1 sec\n   2 points: 12 over 2 sec\n   3 points: 16 over 3 sec\n   4 points: 20 over 3 sec\n   5 points: 24 over 4 sec
Druid	Restoration	105	Starfire	197628	talent-active	TraitNodeEntry	true	0	Rotational	class		91044	112967	1	Essential	Rotational 2	cdm-only:CooldownSetSpell		api	Call down a burst of energy, causing 360 Arcane damage to the target, and 126 Arcane damage to all other enemies within 5 yards. Deals reduced damage beyond 8 targets.
Druid	Restoration	105	Sunfire	93402	talent-active	TraitNodeEntry	true	0	Rotational	class		93714	116102	1	Buff/Essential	Rotational 4	class-baseline:SkillLineAbility:798;cdm-only:CooldownSetSpell		api	A quick beam of solar light burns the enemy for 82 Nature damage and then an additional 705 Nature damage over 18 sec.
