class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Evoker	Augmentation	1473	Time Skip	404977	talent-active	TraitNodeEntry	true	180	Cooldown	spec		93232	115533	1	Essential		cdm-only:CooldownSetSpell		api	Surge forward in time, causing your cooldowns to recover 1,000% faster for 2 sec.
Evoker	Augmentation	1473	Breath of Eons	403631	talent-active	TraitNodeEntry	true	120	Cooldown	spec		93234	115536	1	Buff	Cooldown 1	cdm-only:CooldownSetSpell		api	Fly to the targeted location, exposing a Temporal Wound on enemies in your path for 10 sec.\n\nRemoves roots and grants immunity to movement impairing and loss of control effects while flying.\n\n Temporal Wound\n15% of damage dealt by allies affected by Ebon Might is copied as additional Arcane damage to enemies after 10 sec.\n\nDamage is reduced if Ebon Might affects more than 2 other allies.
Evoker	Augmentation	1473	Oppressing Roar	372048	talent-active	TraitNodeEntry	true	120	Cooldown	class		93298	115607	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell		api	Let out a bone-shaking roar at enemies in a cone in front of you, increasing the duration of crowd controls that affect them by 50% in the next 10 sec.
Evoker	Augmentation	1473	Tip the Scales	370553	talent-active	TraitNodeEntry	true	120	Cooldown	class		93350	115665	1	Essential	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell		api	Compress time to make your next empowered spell cast instantly at its maximum empower level.
Evoker	Augmentation	1473	Zephyr	374227	talent-active	TraitNodeEntry	true	120	Cooldown	class		93346	115661	1	Buff/Other/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Conjure an updraft to lift you and your 4 nearest allies within 20 yds into the air, reducing damage taken from area-of-effect attacks by 20% and increasing movement speed by 30% for 8 sec.
Evoker	Augmentation	1473	Landslide	358385	talent-active	TraitNodeEntry	true	90	Cooldown	class		93305	115614	1	Buff/Utility	Class 3 (Tag)	cdm-only:CooldownSetSpell		api	Conjure a path of shifting stone towards the target location, rooting enemies for 15 sec. Damage may cancel the effect.
Evoker	Augmentation	1473	Bestow Weyrnstone	408233	talent-active	TraitNodeEntry	true	60	Cooldown	spec		93382	115534	1	Utility		cdm-only:CooldownSetSpell		api	Conjure a pair of Weyrnstones, one for your target ally and one for yourself. Only one ally may bear your Weyrnstone at a time.\n\nA Weyrnstone can be activated by the bearer to transport them to the other Weyrnstone's location, if they are within 100 yds.
Evoker	Augmentation	1473	Cauterizing Flame	374251	talent-active	TraitNodeEntry	true	60	Cooldown	class		93294	115602	1	Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	Cauterize an ally's wounds, removing all Bleed, Poison, Curse, and Disease effects. Heals for 1,330 upon removing any effect.
Evoker	Augmentation	1473	Rescue	370665	talent-active	TraitNodeEntry	true	60	Cooldown	class		93288	115596	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Swoop to an ally and fly with them to the target location. Clears movement impairing effects from you and your ally.
Evoker	Augmentation	1473	Upheaval	396286	talent-active	TraitNodeEntry	true	40	Rotational	spec		93203	115502	1	Essential	Rotational 7	cdm-only:CooldownSetSpell		api	Gather earthen power beneath your enemy's feet and send them hurtling upwards, dealing 1,653 Volcanic damage to the target and nearby enemies.\n\nEmpowering expands the area of effect.\n\nI:   3 yd radius.\n\nII:  6 yd radius.\n\nIII: 9 yd radius.
Evoker	Augmentation	1473	Blistering Scales	360827	talent-active	TraitNodeEntry	true	30	Rotational	spec		93209	115508	1	Buff/Essential/Other		cdm-only:CooldownSetSpell		api	Protect an ally with 15 explosive dragonscales, increasing their Armor by 20% of your own.\n\nMelee attacks against the target cause 1 scale to explode, dealing 114 Volcanic damage to enemies near them. This damage can only occur every few sec.\n\nBlistering Scales can only be placed on one target at a time. Casts on your enemy's target if they have one.
Evoker	Augmentation	1473	Ebon Might	395152	talent-active	TraitNodeEntry	true	30	Rotational	spec		93198	115496	1	Essential/Other	Rotational 2	cdm-only:CooldownSetSpell		api	Increase all damage dealing allies' primary stat by 8.0% of your own and increase your own damage by 20% for 10 sec.\n\nEbon Might will split its effect when applied to more than 2 other allies.\n\nEruption, Deep Breath, and your empower spells extend the duration of these effects.
Evoker	Augmentation	1473	Quell	351338	talent-active	TraitNodeEntry	true	20	Rotational	spec		93199	115690	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Interrupt an enemy's spellcasting and prevent any spell from that school of magic from being cast for 6 sec.
Evoker	Augmentation	1473	Expunge	365585	talent-active	TraitNodeEntry	true	8	Rotational	class		93306	115615	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Expunge toxins affecting an ally, removing all Poison effects.
Evoker	Augmentation	1473	Obsidian Scales	363916	talent-active	TraitNodeEntry	true	1	Rotational	class		93304	115613	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Reinforce your scales, reducing damage taken by 30% . Lasts 12 sec.
Evoker	Augmentation	1473	Verdant Embrace	360995	talent-active	TraitNodeEntry	true	0.5	Rotational	class		93341	115655	1	Utility	Self-Heal 1	cdm-only:CooldownSetSpell		api	Fly to an ally and heal them for 5,226, or heal yourself for the same amount.
Evoker	Augmentation	1473	Eruption	395160	talent-active	TraitNodeEntry	true	0	Rotational	spec		93200	115498	1	Essential	Rotational 1	cdm-only:CooldownSetSpell		api	Cause a violent eruption beneath an enemy's feet, dealing 1,064 Volcanic damage split between them and nearby enemies.
Evoker	Augmentation	1473	Prescience	409311	talent-active	TraitNodeEntry	true	0	Rotational	spec		93358	115675	1	Essential/Other	Rotational 3	cdm-only:CooldownSetSpell		api	Grant an ally the gift of foresight, increasing their critical strike chance by 3% for 18 sec.\n\nAffects the nearest ally within 25 yds, preferring damage dealers with their cooldowns active, if you do not have an ally targeted.
