class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Evoker	Devastation	1467	Dragonrage	375087	talent-active	TraitNodeEntry	true	120	0	Cooldown	spec		93331	115643	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Erupt with draconic fury and exhale Pyres at 3 enemies within 25 yds.\n\nFor 18 sec, Essence Burst's chance to occur is increased to 100%.
Evoker	Devastation	1467	Oppressing Roar	372048	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		93298	115607	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell		api	Let out a bone-shaking roar at enemies in a cone in front of you, increasing the duration of crowd controls that affect them by 50% in the next 10 sec.
Evoker	Devastation	1467	Tip the Scales	370553	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		93350	115665	1	Buff/Essential	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell		api	Compress time to make your next empowered spell cast instantly at its maximum empower level.
Evoker	Devastation	1467	Zephyr	374227	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		93346	115661	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Conjure an updraft to lift you and your 4 nearest allies within 20 yds into the air, reducing damage taken from area-of-effect attacks by 20% and increasing movement speed by 30% for 8 sec.
Evoker	Devastation	1467	Landslide	358385	talent-active	TraitNodeEntry	true	90	0	Cooldown	class		93305	115614	1	Buff/Utility	Class 3 (Tag)	cdm-only:CooldownSetSpell		api	Conjure a path of shifting stone towards the target location, rooting enemies for 15 sec. Damage may cancel the effect.
Evoker	Devastation	1467	Cauterizing Flame	374251	talent-active	TraitNodeEntry	true	60	0	Cooldown	class		93294	115602	1	Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	Cauterize an ally's wounds, removing all Bleed, Poison, Curse, and Disease effects. Heals for 1,330 upon removing any effect.
Evoker	Devastation	1467	Rescue	370665	talent-active	TraitNodeEntry	true	60	0	Cooldown	class		93288	115596	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Swoop to an ally and fly with them to the target location. Clears movement impairing effects from you and your ally.
Evoker	Devastation	1467	Eternity Surge	359073	talent-active	TraitNodeEntry	true	30	0	Rotational	spec		93275	115581	1	Essential	Rotational 4	cdm-only:CooldownSetSpell		api	Focus your energies to release a salvo of pure magic, dealing 4,218 Spellfrost damage to an enemy. Damages additional enemies within 25 yds when empowered.\n\nI:   Damages 1 enemy.\n\nII:  Damages 2 enemies.\n\nIII: Damages 3 enemies.
Evoker	Devastation	1467	Quell	351338	talent-active	TraitNodeEntry	true	20	0	Rotational	spec		93332	115645	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Interrupt an enemy's spellcasting and prevent any spell from that school of magic from being cast for 6 sec.
Evoker	Devastation	1467	Expunge	365585	talent-active	TraitNodeEntry	true	8	0	Rotational	class		93306	115615	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Expunge toxins affecting an ally, removing all Poison effects.
Evoker	Devastation	1467	Obsidian Scales	363916	talent-active	TraitNodeEntry	true	1	0	Rotational	class		93304	115613	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Reinforce your scales, reducing damage taken by 30% . Lasts 12 sec.
Evoker	Devastation	1467	Verdant Embrace	360995	talent-active	TraitNodeEntry	true	0.5	0	Rotational	class		93341	115655	1	Essential	Self-Heal 1	cdm-only:CooldownSetSpell		api	Fly to an ally and heal them for 4,020, or heal yourself for the same amount.
Evoker	Devastation	1467	Pyre	357211	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		93334	115647	1	Essential		cdm-only:CooldownSetSpell		api	Lob a ball of flame, dealing 1,530 Fire damage to your target and all enemies within 8 yds.
Evoker	Devastation	1467	Renewing Blaze	374348	talent-active	TraitNodeEntry	true	0	0	Rotational	class		93354	115669	1		Personal Defensive 2			api	Obsidian Scales surrounds you with a Renewing Blaze, causing 100% of the damage it prevented to be healed back over 8 sec.
Evoker	Devastation	1467	Sleep Walk	360806	talent-active	TraitNodeEntry	true	0	1.7	Rotational	class		93293	115601	1	Buff/Essential	Class 2 (CC)	cdm-only:CooldownSetSpell		api	Disorient an enemy for 20 sec, causing them to sleep walk towards you. Damage has a chance to awaken them.
Evoker	Devastation	1467	Source of Magic	369459	talent-active	TraitNodeEntry	true	0	0	Rotational	class		93344	115658	1	Buff		cdm-only:CooldownSetSpell		api	Redirect your excess magic to a friendly healer for 1 hour. When you cast an empowered spell, you restore 0.25% of their maximum mana per empower level. Limit 1.
Evoker	Devastation	1467	Spatial Paradox	406732	talent-choice	TraitNodeEntry	true	180	0	Cooldown	class		93351	125610	1	Buff/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Evoke a paradox for you and a friendly healer, allowing casting while moving and increasing the range of most spells by 100% for 10 sec.\n\nAffects the nearest healer within 60 yds, if you do not have a healer targeted.
Evoker	Devastation	1467	Time Spiral	374968	talent-choice	TraitNodeEntry	true	120	0	Cooldown	class		93351	115666	1	Utility		cdm-only:CooldownSetSpell		api	Bend time, allowing you and your allies within 40 yds to cast their major movement ability once in the next 10 sec, even if it is on cooldown.
Evoker	Devastation	1467	Fury of the Aspects	390386	class-baseline	SkillLineAbility:2810	true	300	0	Cooldown						Essential	Class 8 (Lust/BRes)	cdm-only:CooldownSetSpell		api	Increases haste by 30% for all party and raid members for 40 sec.\n\nAllies receiving this effect will become Exhausted and unable to benefit from Fury of the Aspects or similar effects again for 10 min.
Evoker	Devastation	1467	Tail Swipe	368970	class-baseline	SkillLineAbility:2810	true	180	0	Cooldown						Utility	CC	cdm-only:CooldownSetSpell		api	Lash out with your tail, knocking enemies within 8 yds into the air.
Evoker	Devastation	1467	Emerald Blossom	355913	class-baseline	SkillLineAbility:2810	true	30	0	Rotational						Utility	Self-Heal 2	cdm-only:CooldownSetSpell		api	Grow a bulb from the Emerald Dream at an ally's location. After 1.5 sec, heal up to 3 injured allies within 10 yds for 1,222.
Evoker	Devastation	1467	Blessing of the Bronze	364342	class-baseline	SkillLineAbility:2810	true	15	0	Rotational						Essential	Buff	cdm-only:CooldownSetSpell		api	Weave the threads of time, reducing the cooldown of a major movement ability for all party and raid members by 15% for 1 hour.
Evoker	Devastation	1467	Deep Breath	357210	class-baseline	SkillLineAbility:2810	true	1	0	Rotational						Essential	Cooldown 2	cdm-only:CooldownSetSpell		api	Take in a deep breath and fly to the targeted location, spewing molten cinders dealing 2,464 Volcanic damage to enemies in your path.\n\nRemoves all root effects. You are immune to movement impairing and loss of control effects while flying.
Evoker	Devastation	1467	Hover	358267	class-baseline	SkillLineAbility:2810	true	1	0	Rotational						Other/Utility	Movement Ability	cdm-only:CooldownSetSpell		api	Launch yourself and gain 30% increased movement speed for 6 sec.\n\nAllows Evoker spells to be cast while moving and is castable while casting. Does not affect empowered spells.
Evoker	Devastation	1467	Azure Strike	362969	class-baseline	SkillLineAbility:2810	true	0	0	Rotational						Essential	Rotational 6	cdm-only:CooldownSetSpell		api	Project intense energy onto 2 enemies, dealing 612 Spellfrost damage to them.
Evoker	Devastation	1467	Disintegrate	356995	class-baseline	SkillLineAbility:2810	true	0	0	Rotational						Essential	Rotational 1	cdm-only:CooldownSetSpell		api	Tear into an enemy with a blast of blue magic, inflicting 2,410 Spellfrost damage over 2.7 sec, and slowing their movement speed by 50% for 3 sec.
Evoker	Devastation	1467	Fire Breath	357208	class-baseline	SkillLineAbility:2810	true	0	0	Rotational						Buff/Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Inhale, stoking your inner flame. Release to exhale, burning enemies in a cone in front of you for 2,311 Fire damage, reduced beyond 5 targets.\n\nEmpowering causes more of the damage to be dealt immediately instead of over time.\n\nI:   Deals 631 damage instantly and 1,681 over 20 sec.\n\nII:  Deals 1,112 damage instantly and 1,176 over 14 sec.\n\nIII: Deals 1,628 damage instantly and 672 over 8 sec.
Evoker	Devastation	1467	Living Flame	361469	class-baseline	SkillLineAbility:2810	true	0	2	Rotational						Essential	Rotational 2	cdm-only:CooldownSetSpell		api	Send a flickering flame towards your target, dealing 892 Fire damage to an enemy or healing an ally for 2,280.
Evoker	Devastation	1467	Return	361227	class-baseline	SkillLineAbility:2810	true	0	10	Rotational							Res			api	Brings a dead party member back to life with 35% health and mana. Cannot be cast when in combat.
