class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases
Evoker	Preservation	1468	Oppressing Roar	372048	talent-active	TraitNodeEntry	true	120	Cooldown	class		93298	115607	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Tip the Scales	370553	talent-active	TraitNodeEntry	true	120	Cooldown	class		93350	115665	1	Essential	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Zephyr	374227	talent-active	TraitNodeEntry	true	120	Cooldown	class		93346	115661	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Landslide	358385	talent-active	TraitNodeEntry	true	90	Cooldown	class		93305	115614	1	Utility	Class 3 (Tag)	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Cauterizing Flame	374251	talent-active	TraitNodeEntry	true	60	Cooldown	class		93294	115602	1	Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Rescue	370665	talent-active	TraitNodeEntry	true	60	Cooldown	class		93288	115596	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Temporal Anomaly	373861	talent-active	TraitNodeEntry	true	15	Rotational	spec		93257	115561	1	Essential	Rotational 8	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Expunge	365585	talent-active	TraitNodeEntry	true	8	Rotational	class		93306	115615	1				
Evoker	Preservation	1468	Dream Breath	355936	talent-active	TraitNodeEntry	true	1	Rotational	spec		93240	115542	1	Essential	Cooldown 4	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Obsidian Scales	363916	talent-active	TraitNodeEntry	true	1	Rotational	class		93304	115613	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Time Dilation	357170	talent-active	TraitNodeEntry	true	1	Rotational	spec		93336	115650	1	Essential	Rotational 7	cdm-only:CooldownSetSpell	
Evoker	Preservation	1468	Verdant Embrace	360995	talent-active	TraitNodeEntry	true	0.5	Rotational	class		93341	115655	1	Essential	Self-Heal 1	cdm-only:CooldownSetSpell	
