class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Hunter	Beast Mastery	253	Bestial Wrath	19574	talent-active	TraitNodeEntry	true	90	Cooldown	spec		102340	126402	1	Buff/Essential	Rotational 4	class-baseline:SkillLineAbility:795;cdm-only:CooldownSetSpell		api	Sends you and your pet into a rage, instantly dealing 280 Physical damage to its target, and increasing all damage you both deal by 20% for 15 sec. Removes all crowd control effects from your pet.
Hunter	Beast Mastery	253	Camouflage	199483	talent-active	TraitNodeEntry	true	60	Cooldown	class		110156	136676	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	You and your pet blend into the surroundings and gain stealth for 1 min. While camouflaged, you will heal for 2% of maximum health every 1 sec.
Hunter	Beast Mastery	253	Intimidation	19577	talent-active	TraitNodeEntry	true	60	Cooldown	class		102397	126461	1	Buff/Utility	CC	pet:SkillLineAbility:270;cdm-only:CooldownSetSpell		api	Commands your pet to intimidate the target stunning your target for 5 sec.
Hunter	Beast Mastery	253	Binding Shot	109248	talent-active	TraitNodeEntry	true	45	Cooldown	class		109488	135711	1	Buff/Utility	CC 2	class-baseline:SkillLineAbility:795;cdm-only:CooldownSetSpell		api	Fires a magical projectile, tethering the enemy and any other enemies within 5 yds for 10 sec, stunning them for 3 sec if they move more than 5 yds from the arrow.
Hunter	Beast Mastery	253	Misdirection	34477	talent-active	TraitNodeEntry	true	30	Rotational	class		102419	126484	1	Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Misdirects all threat you cause to the targeted party or raid member, beginning with your next attack within 30 sec and lasting for 8 sec.
Hunter	Beast Mastery	253	Counter Shot	147362	talent-active	TraitNodeEntry	true	24	Rotational	class		102292	126352	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Interrupts spellcasting, preventing any spell in that school from being cast for 5 sec.
Hunter	Beast Mastery	253	Tranquilizing Shot	19801	talent-active	TraitNodeEntry	true	10	Rotational	class		109489	135712	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Removes 1 Enrage and 1 Magic effect from an enemy target.
Hunter	Beast Mastery	253	Wild Thrash	1264359	talent-active	TraitNodeEntry	true	8	Rotational	spec		102363	126425	1	Essential		cdm-only:CooldownSetSpell		api	Command your pet to thrash all enemies within 10 yds, dealing 66 Physical damage to them. Damage is increased by 200% if Wild Thrash hits 2 or more enemies.\n\nDeals reduced damage beyond 8 targets.
Hunter	Beast Mastery	253	Concussive Shot	5116	talent-active	TraitNodeEntry	true	5	Rotational	class		102407	126471	1		Slow			api	Dazes the target, slowing movement speed by 50% for 6 sec.
Hunter	Beast Mastery	253	Kill Command	34026	talent-active	TraitNodeEntry	true	0.5	Rotational	spec		102346	126408	1	Essential	Rotational 1	cdm-only:CooldownSetSpell		api	Give the command to kill, causing your pet to charge your target and savagely deal 72 Physical damage to the enemy.
Hunter	Beast Mastery	253	Barbed Shot	217200	talent-active	TraitNodeEntry	true	0	Rotational	spec		102377	126440	1	Essential/Other	Rotational 2	cdm-only:CooldownSetSpell		api	Fire a shot that tears through your enemy, causing them to bleed for 136 damage over 12 sec. If Barbed Shot is reapplied, any remaining damage will be added to the new Barbed Shot.\n\nGenerates 20 Focus over 8 sec.
Hunter	Beast Mastery	253	Black Arrow	466930	talent-active	TraitNodeEntry	true	0	Rotational	hero	Dark Ranger	109961	136446	1	Buff/Essential		talent-passive:TraitNodeEntry;cdm-only:CooldownSetSpell		api	You attempt to finish off a wounded target, dealing 121 Shadow damage and 140 Shadow damage over 8 sec. Only usable on enemies above 80% health or below 20% health.
Hunter	Beast Mastery	253	Cobra Shot	193455	talent-active	TraitNodeEntry	true	0	Rotational	spec		102354	126416	1	Essential	Rotational 3	cdm-only:CooldownSetSpell		api	A quick shot causing 110 Physical damage.\n\nReduces the cooldown of Kill Command by 1 sec.
Hunter	Beast Mastery	253	Survival of the Fittest	264735	talent-active	TraitNodeEntry	true	0	Rotational	class		102422	126488	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Reduces all damage you and your pet take by 30% for 6 sec.
Hunter	Beast Mastery	253	Roar of Sacrifice	53480	talent-choice	TraitNodeEntry	true	120	Cooldown	class		110164	136686	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Instructs your pet to protect a friendly target, reducing their damage taken by 15%, but 50% of all damage taken by that target is transferred to your pet. \n\nLasts 10 sec or until your pet's health drops below 25%.
Hunter	Beast Mastery	253	Tar Trap	187698	talent-choice	TraitNodeEntry	true	30	Rotational	class		102393	126457	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Hurls a tar trap to the target location that creates a 8 yd radius pool of tar around itself for 30 sec when the first enemy approaches. All enemies have 50% reduced movement speed while in the area of effect. Limit 1. Trap will exist for 1 min.
Hunter	Beast Mastery	253	Scare Beast	1513	talent-choice	TraitNodeEntry	true	0	Rotational	class		102393	135707	1	Buff/Utility		cdm-only:CooldownSetSpell		api	Scares a beast, causing it to run in fear for up to 20 sec.  Damage caused may interrupt the effect.  Only one beast can be feared at a time.
Hunter	Beast Mastery	253	Aspect of the Chameleon	61648	class-baseline	SkillLineAbility:795	true	180	Cooldown										api	The Hunter takes on the aspect of a chameleon, becoming untrackable.
Hunter	Beast Mastery	253	Aspect of the Cheetah	186257	class-baseline	SkillLineAbility:795	true	180	Cooldown						Buff/Utility	Movement Ability	cdm-only:CooldownSetSpell		api	Increases your movement speed by 90% for 3 sec. Upon expiring, increases your movement speed by 30% for another 9 sec.
Hunter	Beast Mastery	253	Aspect of the Turtle	186265	class-baseline	SkillLineAbility:795	true	180	Cooldown						Buff/Utility	Immune/Spell Immune/Movement	cdm-only:CooldownSetSpell		api	Causes all spells and attacks to miss and reduces all damage you take by 30% for 8 sec, but you cannot attack.
Hunter	Beast Mastery	253	Exhilaration	109304	class-baseline	SkillLineAbility:795	true	120	Cooldown						Utility	Self-Heal 1	cdm-only:CooldownSetSpell		api	Heals you for 30% and your pet for 100% of maximum health.
Hunter	Beast Mastery	253	Titan's Thunder	207068	class-baseline	SkillLineAbility:795	true	60	Cooldown										api	Discharge a massive jolt of electricity from Titanstrike into all your pets and Dire Beasts, causing them to deal up to 20 Nature damage to their target every 1 sec. for 8 sec.
