class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Hunter	Survival	255	Takedown	1250646	talent-active	TraitNodeEntry	true	90	Cooldown	spec		109323	135514	1	Essential/Other	Cooldown 1	cdm-only:CooldownSetSpell		api	You and your pet leap to your target and strike as one, dealing 631 Physical damage. Your pet frees itself from roots when it leaps.\n\nFor the next 8 sec, the damage dealt by you and your pet is increased by 20%.\n\nGenerates 50 Focus.
Hunter	Survival	255	Boomstick	1261193	talent-active	TraitNodeEntry	true	60	Cooldown	spec		109324	135515	1	Essential	Rotational 5	cdm-only:CooldownSetSpell		api	Unload a series of 4 shotgun blasts 20 yds in front of you, dealing 851 Physical damage over 2.7 sec. Deals reduced damage beyond 8 targets.
Hunter	Survival	255	Camouflage	199483	talent-active	TraitNodeEntry	true	60	Cooldown	class		110156	136676	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	You and your pet blend into the surroundings and gain stealth for 1 min. While camouflaged, you will heal for 2% of maximum health every 1 sec.
Hunter	Survival	255	Intimidation	19577	talent-active	TraitNodeEntry	true	60	Cooldown	class		103989	128412	1	Buff/Utility	CC	pet:SkillLineAbility:270;cdm-only:CooldownSetSpell		api	Commands your pet to intimidate the target stunning your target for 5 sec.
Hunter	Survival	255	Binding Shot	109248	talent-active	TraitNodeEntry	true	45	Cooldown	class		109488	135711	1	Buff/Utility	CC 2	class-baseline:SkillLineAbility:795;cdm-only:CooldownSetSpell		api	Fires a magical projectile, tethering the enemy and any other enemies within 5 yds for 10 sec, stunning them for 3 sec if they move more than 5 yds from the arrow.
Hunter	Survival	255	Misdirection	34477	talent-active	TraitNodeEntry	true	30	Rotational	class		102419	126484	1	Utility	Class 3 (Tag)	cdm-only:CooldownSetSpell		api	Misdirects all threat you cause to the targeted party or raid member, beginning with your next attack within 30 sec and lasting for 8 sec.
Hunter	Survival	255	Muzzle	187707	talent-active	TraitNodeEntry	true	15	Rotational	class		79837	100543	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Interrupts spellcasting, preventing any spell in that school from being cast for 5 sec.
Hunter	Survival	255	Tranquilizing Shot	19801	talent-active	TraitNodeEntry	true	10	Rotational	class		109489	135712	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Removes 1 Enrage and 1 Magic effect from an enemy target.
Hunter	Survival	255	Concussive Shot	5116	talent-active	TraitNodeEntry	true	5	Rotational	class		102407	126471	1		Slow			api	Dazes the target, slowing movement speed by 50% for 6 sec.
Hunter	Survival	255	Kill Command	259489	talent-active	TraitNodeEntry	true	0	Rotational	spec		102255	126314	1	Essential	Rotational 1	cdm-only:CooldownSetSpell		api	Give the command to kill, causing your pet to savagely deal 105 Physical damage to the enemy.\n\nGenerates 15 Focus.
Hunter	Survival	255	Raptor Strike	186270	talent-active	TraitNodeEntry	true	0	Rotational	spec		102262	126322	1	Essential	Rotational 2	cdm-only:CooldownSetSpell		api	A vicious slash dealing 138 Physical damage.
Hunter	Survival	255	Survival of the Fittest	264735	talent-active	TraitNodeEntry	true	0	Rotational	class		102422	126488	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Reduces all damage you and your pet take by 30% for 6 sec.
Hunter	Survival	255	Wildfire Bomb	259495	talent-active	TraitNodeEntry	true	0	Rotational	spec		102264	126324	1	Essential/Other	Rotational 3	cdm-only:CooldownSetSpell		api	Hurl a bomb at the target, exploding for 55 Fire damage in a cone and coating enemies in wildfire, scorching them for 44 Fire damage over 6 sec. Deals reduced damage beyond 8 targets.\n\nDeals 80% increased damage to your primary target.
Hunter	Survival	255	Roar of Sacrifice	53480	talent-choice	TraitNodeEntry	true	120	Cooldown	class		110164	136686	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Instructs your pet to protect a friendly target, reducing their damage taken by 15%, but 50% of all damage taken by that target is transferred to your pet. \n\nLasts 10 sec or until your pet's health drops below 25%.
Hunter	Survival	255	Tar Trap	187698	talent-choice	TraitNodeEntry	true	30	Rotational	class		102393	126457	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Hurls a tar trap to the target location that creates a 8 yd radius pool of tar around itself for 30 sec when the first enemy approaches. All enemies have 50% reduced movement speed while in the area of effect. Limit 1. Trap will exist for 1 min.
Hunter	Survival	255	Scare Beast	1513	talent-choice	TraitNodeEntry	true	0	Rotational	class		102393	135707	1	Buff/Utility		cdm-only:CooldownSetSpell		api	Scares a beast, causing it to run in fear for up to 20 sec.  Damage caused may interrupt the effect.  Only one beast can be feared at a time.
Hunter	Survival	255	Aspect of the Chameleon	61648	class-baseline	SkillLineAbility:795	true	180	Cooldown										api	The Hunter takes on the aspect of a chameleon, becoming untrackable.
Hunter	Survival	255	Aspect of the Cheetah	186257	class-baseline	SkillLineAbility:795	true	180	Cooldown						Buff/Utility	Movement Ability	cdm-only:CooldownSetSpell		api	Increases your movement speed by 90% for 3 sec. Upon expiring, increases your movement speed by 30% for another 9 sec.
Hunter	Survival	255	Aspect of the Turtle	186265	class-baseline	SkillLineAbility:795	true	180	Cooldown						Buff/Utility	Immune/Spell Immune/Movement	cdm-only:CooldownSetSpell		api	Causes all spells and attacks to miss and reduces all damage you take by 30% for 8 sec, but you cannot attack.
Hunter	Survival	255	Exhilaration	109304	class-baseline	SkillLineAbility:795	true	120	Cooldown						Utility	Self-Heal 1	cdm-only:CooldownSetSpell		api	Heals you for 30% and your pet for 100% of maximum health.
Hunter	Survival	255	Aspect of the Eagle	186289	class-baseline	SpecializationSpells	true	90	Cooldown						Other/Utility	Cooldown 2	cdm-only:CooldownSetSpell		api	Increases the range of your Raptor Strike and Mastery: Spirit Bond to 40 yds for 15 sec.
Hunter	Survival	255	Titan's Thunder	207068	class-baseline	SkillLineAbility:795	true	60	Cooldown										api	Discharge a massive jolt of electricity from Titanstrike into all your pets and Dire Beasts, causing them to deal up to 20 Nature damage to their target every 1 sec. for 8 sec.
Hunter	Survival	255	Death Chakram	325028	class-baseline	SkillLineAbility:795	true	45	Cooldown										api	Throw a deadly chakram at your current target that will rapidly deal 11 Shadow damage 7 times, bouncing to other targets if they are nearby. Enemies struck by Death Chakram take 10% more Physical damage from you and your pet for 10 sec.\n\nEach time the chakram deals damage, its damage is increased by 15% and you generate 3 Focus.
Hunter	Survival	255	Fury of the Eagle	203415	class-baseline	SkillLineAbility:795	true	45	Cooldown										api	Furiously strikes all enemies in front of you, dealing 748 Physical damage over 2.7 sec. Critical strike chance increased by 50% against any target below 20% health. Deals reduced damage beyond 8 targets.
Hunter	Survival	255	Feign Death	5384	class-baseline	SkillLineAbility:795	true	30	Rotational						Buff/Utility	Personal Defensive 2	cdm-only:CooldownSetSpell		api	Feign death, tricking enemies into ignoring you. Lasts up to 6 min.
Hunter	Survival	255	Freezing Trap	187650	class-baseline	SkillLineAbility:795	true	30	Rotational						Buff/Utility	Class 2 (CC)	cdm-only:CooldownSetSpell		api	Hurls a frost trap to the target location that incapacitates the first enemy that approaches for 1 min. Damage may break the effect. Limit 1. Trap will exist for 1 min.
