class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Mage	Arcane	62	Mass Invisibility	414664	talent-active	TraitNodeEntry	true	300	Cooldown	class		62092	115878	1	Buff/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	You and your allies within 40 yards instantly become invisible for 12 sec. Taking any action will cancel the effect.\n\nDoes not affect allies in combat.
Mage	Arcane	62	Greater Invisibility	110959	talent-active	TraitNodeEntry	true	120	Cooldown	class		93524	115877	1		Taunt/Quick Access			api	Makes you invisible and untargetable for 20 sec, removing all threat. Any action taken cancels this effect.
Mage	Arcane	62	Mirror Image	55342	talent-active	TraitNodeEntry	true	120	Cooldown	class		62124	80183	1	Buff/Utility	Self-Heal 2	cdm-only:CooldownSetSpell		api	Creates 3 copies of you nearby for 15 sec, which cast spells and attack your enemies. While active, you generate significantly reduced threat.\n\nTaking direct damage will cause one of your images to dissipate.
Mage	Arcane	62	Arcane Surge	365350	talent-active	TraitNodeEntry	true	90	Cooldown	spec		102449	126519	1	Essential/Other	Cooldown 2	cdm-only:CooldownSetSpell		api	Expend all of your current mana to annihilate your enemy target and nearby enemies for up to 3,740 Arcane damage based on Mana spent. Deals reduced damage beyond 8 targets.\n\nFor the next 15 sec, your Mana regeneration is increased by 425% and spell damage is increased by 35%.\n\nGenerates Clearcasting.
Mage	Arcane	62	Alter Time	342245	talent-active	TraitNodeEntry	true	60	Cooldown	class		62115	80174	1	Buff/Utility	Self-Heal 1	cdm-only:CooldownSetSpell		api	Alters the fabric of time, returning you to your current location and health when cast a second time, or after 10 sec. Effect negated by long distance or death.
Mage	Arcane	62	Arcane Pulse	1241462	talent-active	TraitNodeEntry	true	15	Rotational	spec		102439	126509	1					api	A pulse of Arcane magic erupts from underneath your target, dealing 2,474 Arcane damage to all enemies within 8 yds. Damage reduced beyond 5 targets.\n\nGenerates 1 Arcane Charge for each enemy struck.
Mage	Arcane	62	Remove Curse	475	talent-active	TraitNodeEntry	true	8	Rotational	class		62116	80175	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Removes all Curses from a friendly target.
Mage	Arcane	62	Touch of the Magi	321507	talent-active	TraitNodeEntry	true	0.5	Rotational	spec		102468	126538	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Applies Touch of the Magi to your current target, accumulating 20% of the damage you deal to the target for 12 sec, and then exploding for that amount of Arcane damage to the target and reduced damage to all nearby enemies.\n\nGenerates 4 Arcane Charges.
Mage	Arcane	62	Arcane Missiles	5143	talent-active	TraitNodeEntry	true	0	Rotational	spec		102467	126537	1	Essential		cdm-only:CooldownSetSpell		api	Requires Clearcasting\nLaunches 5 waves of Arcane Missiles at the enemy over 2.2 sec, causing a total of 2,147 Arcane damage.
Mage	Arcane	62	Arcane Orb	153626	talent-active	TraitNodeEntry	true	0	Rotational	spec		104113	128689	1	Essential		cdm-only:CooldownSetSpell		api	Launches an Arcane Orb forward from your position, traveling up to 40 yds, dealing 1,213 Arcane damage to enemies it passes through.\n\nGrants 1 Arcane Charge when cast and every time it deals damage.
Mage	Arcane	62	Ice Block	45438	talent-active	TraitNodeEntry	true	0	Rotational	class		62122	80181	1	Buff/Utility	Immune/Spell Immune/Movement	cdm-only:CooldownSetSpell		api	Encases you in a block of ice, protecting you from all attacks and damage for 10 sec, but during that time you cannot attack, move, or cast spells.\n\nCauses Hypothermia, preventing you from recasting Ice Block for 30 sec.
Mage	Arcane	62	Prismatic Barrier	235450	talent-active	TraitNodeEntry	true	0	Rotational	class		62121	80180	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Shields you with an arcane force, absorbing 9,165 damage and reducing magic damage taken by 15% for 1 min.\n\nThe duration of harmful Magic effects against you is reduced by 25%.
Mage	Arcane	62	Spellsteal	30449	talent-active	TraitNodeEntry	true	0	Rotational	class		62084	80140	1		Class 5 (Purge)			api	Steals a beneficial magic effect from the target. This effect lasts a maximum of 2 min.
