class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases
Mage	Fire	63	Mass Invisibility	414664	talent-active	TraitNodeEntry	true	300	Cooldown	class		62092	115878	1	Buff/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell	
Mage	Fire	63	Combustion	190319	talent-active	TraitNodeEntry	true	120	Cooldown	spec		100995	124756	1	Essential/Other	Cooldown 1	cdm-only:CooldownSetSpell	
Mage	Fire	63	Greater Invisibility	110959	talent-active	TraitNodeEntry	true	120	Cooldown	class		93524	115877	1		Taunt/Quick Access		
Mage	Fire	63	Mirror Image	55342	talent-active	TraitNodeEntry	true	120	Cooldown	class		62124	80183	1	Buff/Utility	Self-Heal 2	cdm-only:CooldownSetSpell	
Mage	Fire	63	Alter Time	342245	talent-active	TraitNodeEntry	true	60	Cooldown	class		62115	80174	1	Buff/Utility	Self-Heal 1	cdm-only:CooldownSetSpell	
Mage	Fire	63	Meteor	153561	talent-active	TraitNodeEntry	true	45	Cooldown	spec		101021	124786	1	Essential		cdm-only:CooldownSetSpell	
Mage	Fire	63	Blazing Barrier	235313	talent-active	TraitNodeEntry	true	30	Rotational	class		62119	80178	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell	
Mage	Fire	63	Remove Curse	475	talent-active	TraitNodeEntry	true	8	Rotational	class		62116	80175	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell	
Mage	Fire	63	Fire Blast	108853	talent-active	TraitNodeEntry	true	0.5	Rotational	spec		100989	124750	1	Essential	Rotational 2	class-baseline:SkillLineAbility:904;cdm-only:CooldownSetSpell	
Mage	Fire	63	Frostfire Bolt	431044	talent-active	TraitNodeEntry	true	0	Rotational	hero	Frostfire	94636	117239	1	Essential		talent-active:TraitNodeEntry;cdm-only:CooldownSetSpell	
Mage	Fire	63	Ice Block	45438	talent-active	TraitNodeEntry	true	0	Rotational	class		62122	80181	1	Buff/Utility	Immune/Spell Immune/Movement	cdm-only:CooldownSetSpell	
Mage	Fire	63	Pyroblast	11366	talent-active	TraitNodeEntry	true	0	Rotational	spec		100998	124759	1	Essential	Rotational 3	cdm-only:CooldownSetSpell	
