class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Mage	Frost	64	Mass Invisibility	414664	talent-active	TraitNodeEntry	true	300	0	Cooldown	class		62092	115878	1	Buff/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	You and your allies within 40 yards instantly become invisible for 12 sec. Taking any action will cancel the effect.\n\nDoes not affect allies in combat.
Mage	Frost	64	Greater Invisibility	110959	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		93524	115877	1		Taunt/Quick Access			api	Makes you invisible and untargetable for 20 sec, removing all threat. Any action taken cancels this effect.
Mage	Frost	64	Mirror Image	55342	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		62124	80183	1	Buff/Utility	Self-Heal 2	cdm-only:CooldownSetSpell		api	Creates 3 copies of you nearby for 15 sec, which cast spells and attack your enemies. While active, you generate significantly reduced threat.\n\nTaking direct damage will cause one of your images to dissipate
Mage	Frost	64	Alter Time	342245	talent-active	TraitNodeEntry	true	60	0	Cooldown	class		62115	80174	1	Buff/Utility	Self-Heal 1	cdm-only:CooldownSetSpell		api	Alters the fabric of time, returning you to your current location and health when cast a second time, or after 10 sec. Effect negated by long distance or death.
Mage	Frost	64	Frozen Orb	84714	talent-active	TraitNodeEntry	true	60	0	Cooldown	spec		62177	80242	1	Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Launches an orb of swirling ice in front of you, dealing up to 5,574 Frost damage to all enemies it passes through over 15 sec. After a short delay, Frozen Orb will pursue its target. Deals reduced damage beyond 8 targets.\n\nEnemies damaged by the Frozen Orb are slowed by 50% for 8 sec.
Mage	Frost	64	Remove Curse	475	talent-active	TraitNodeEntry	true	8	0	Rotational	class		62116	80175	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Removes all Curses from a friendly target.
Mage	Frost	64	Flurry	44614	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		62178	80243	1	Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Unleash a flurry of ice, striking the target 3 times for a total of 1,600 Frost damage.\n\nApplies 3 stacks of Freezing.
Mage	Frost	64	Frostfire Bolt	431044	talent-active	TraitNodeEntry	true	0	1.75	Rotational	hero	Frostfire	94636	117239	1	Buff/Essential		talent-active:TraitNodeEntry;cdm-only:CooldownSetSpell		api	Launches a bolt of frostfire at the enemy, causing 1,062 Frostfire damage, slowing movement speed by 50%, and causing an additional 99 Frostfire damage over 8 sec.
Mage	Frost	64	Ice Barrier	11426	talent-active	TraitNodeEntry	true	0	0	Rotational	class		62117	80176	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Shields you with ice, absorbing 9,165 damage for 1 min.\n\nMelee attacks against you reduce the attacker's movement speed by 50%.
Mage	Frost	64	Ice Block	45438	talent-active	TraitNodeEntry	true	0	0	Rotational	class		62122	80181	1	Buff/Utility	Immune/Spell Immune/Movement	cdm-only:CooldownSetSpell		api	Encases you in a block of ice, protecting you from all attacks and damage for 10 sec, but during that time you cannot attack, move, or cast spells.\n\nCauses Hypothermia, preventing you from recasting Ice Block for 30 sec.
