class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Monk	Mistweaver	270	Fortifying Brew	115203	talent-active	TraitNodeEntry	true	360	0	Cooldown	class		101173	124968	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Turns your skin to stone for 15 sec.
Monk	Mistweaver	270	Invoke Xuen, the White Tiger	123904	talent-active	TraitNodeEntry	true	120	0	Cooldown	hero	Conduit of the Celestials	101243	125062	1					api	Summons an effigy of Xuen, the White Tiger for 20 sec. Xuen attacks your primary target, and strikes 3 enemies within 10 yards every 0.9 sec with Tiger Lightning for 8 Nature damage.
Monk	Mistweaver	270	Celestial Conduit	443028	talent-active	TraitNodeEntry	true	90	0	Cooldown	hero	Conduit of the Celestials	110067	136562	1	Essential	Cooldown 3	talent-active:TraitNodeEntry;cdm-only:CooldownSetSpell		api	The August Celestials empower you, causing you to radiate 387 Nature damage onto enemies and 20,555 healing onto up to 5 injured allies within 15 yds over 3.6 sec, reduced beyond 5 targets.\n\nYou may move while channeling, but casting other healing or damaging spells cancels this effect.
Monk	Mistweaver	270	Paralysis	115078	talent-active	TraitNodeEntry	true	45	0	Cooldown	class		101142	124932	1	Utility	CC 2	cdm-only:CooldownSetSpell		api	Incapacitates the target for 1 min. Limit 1. Damage may cancel the effect.
Monk	Mistweaver	270	Tiger's Lust	116841	talent-active	TraitNodeEntry	true	30	0	Rotational	class		101147	124937	1	Buff/Utility	Movement Ability 2	cdm-only:CooldownSetSpell		api	Increases a friendly target's movement speed by 70% for 6 sec and removes all roots and snares.
Monk	Mistweaver	270	Rising Sun Kick	107428	talent-active	TraitNodeEntry	true	10	0	Rotational	class		101186	124985	1	Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Kick upwards, dealing 49 Physical damage.
Monk	Mistweaver	270	Transcendence	101643	talent-active	TraitNodeEntry	true	10	0	Rotational	class		101167	124962	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Split your body and spirit, leaving your spirit behind for 15 min. Use Transcendence: Transfer to swap locations with your spirit.
Monk	Mistweaver	270	Thunder Focus Tea	116680	talent-active	TraitNodeEntry	true	1	0	Rotational	spec		101133	124921	1	Buff/Essential	Self-Heal 1	cdm-only:CooldownSetSpell		api	Receive a jolt of energy, empowering your next spell cast:\n\nEnveloping Mist: Immediately heals for 2,784 and is instant cast.\nRenewing Mist: Duration increased by 10 sec.\nRising Sun Kick: Cooldown reduced by 9 sec.
Monk	Mistweaver	270	Life Cocoon	116849	talent-active	TraitNodeEntry	true	0.8	0	Rotational	spec		101096	124875	1	Essential	Cooldown 4	cdm-only:CooldownSetSpell		api	Encases the target in a cocoon of Chi energy for 12 sec, absorbing 14,664 damage and increasing all healing over time received by 50%.
Monk	Mistweaver	270	Diffuse Magic	1243287	talent-active	TraitNodeEntry	true	0	0	Rotational	class		108540	134029	1		Class 7 (Raid Defensive)			api	Activating Fortifying Brew transfers all currently active harmful magical effects on you back to their original caster if possible.
