class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Monk	Windwalker	269	Fortifying Brew	115203	talent-active	TraitNodeEntry	true	360	0	Cooldown	class		101173	124968	1	Buff/Other/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Turns your skin to stone for 15 sec.
Monk	Windwalker	269	Invoke Xuen, the White Tiger	123904	talent-active	TraitNodeEntry	true	120	0	Cooldown	hero	Conduit of the Celestials	101243	125062	1	Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Summons an effigy of Xuen, the White Tiger for 20 sec. Xuen attacks your primary target, and strikes 3 enemies within 10 yards every 0.9 sec with Tiger Lightning for 8 Nature damage.
Monk	Windwalker	269	Celestial Conduit	443028	talent-active	TraitNodeEntry	true	90	0	Cooldown	hero	Conduit of the Celestials	110067	136562	1	Essential		talent-active:TraitNodeEntry;cdm-only:CooldownSetSpell		api	The August Celestials empower you, causing you to radiate 387 Nature damage onto enemies and 20,555 healing onto up to 5 injured allies within 15 yds over 3.6 sec, reduced beyond 5 targets.\n\nYou may move while channeling, but casting other healing or damaging spells cancels this effect.
Monk	Windwalker	269	Paralysis	115078	talent-active	TraitNodeEntry	true	45	0	Cooldown	class		101142	124932	1	Utility	CC 2	cdm-only:CooldownSetSpell		api	Incapacitates the target for 1 min. Limit 1. Damage may cancel the effect.
Monk	Windwalker	269	Slicing Winds	1217413	talent-active	TraitNodeEntry	true	30	0	Rotational	spec		102250	126307	1	Essential		cdm-only:CooldownSetSpell		api	Envelop yourself in razor-sharp winds, then lunge forward dealing 156 Nature damage to enemies in your path. Damage reduced beyond 5 enemies.\n\nHold to increase lunge distance.
Monk	Windwalker	269	Tiger's Lust	116841	talent-active	TraitNodeEntry	true	30	0	Rotational	class		101147	124937	1	Buff/Utility	Movement Ability 2	cdm-only:CooldownSetSpell		api	Increases a friendly target's movement speed by 70% for 6 sec and removes all roots and snares.
Monk	Windwalker	269	Fists of Fury	113656	talent-active	TraitNodeEntry	true	24	0	Rotational	spec		101218	125026	1	Essential	Rotational 4	class-baseline:SkillLineAbility:829;cdm-only:CooldownSetSpell		api	Pummels all targets in front of you, dealing 456 Physical damage to your primary target and 274 damage to all other enemies over 3.6 sec. Deals reduced damage beyond 5 targets. Can be channeled while moving.
Monk	Windwalker	269	Zenith	1249625	talent-active	TraitNodeEntry	true	16	0	Rotational	spec		101053	124826	1	Essential/Other	Cooldown 2	cdm-only:CooldownSetSpell		api	Chi costs are reduced by 1 and Blackout Kick reduces the cooldown of affected abilities by an additional 1 sec for 15 sec.\n\nActivating Zenith resets the remaining cooldown on Rising Sun Kick.
Monk	Windwalker	269	Spear Hand Strike	116705	talent-active	TraitNodeEntry	true	15	0	Rotational	class		110098	136599	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Jabs the target in the throat, interrupting spellcasting and preventing any spell from that school of magic from being cast for 5 sec.
Monk	Windwalker	269	Rising Sun Kick	107428	talent-active	TraitNodeEntry	true	10	0	Rotational	class		101186	124985	1	Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Kick upwards, dealing 49 Physical damage.
Monk	Windwalker	269	Transcendence	101643	talent-active	TraitNodeEntry	true	10	0	Rotational	class		101167	124962	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Split your body and spirit, leaving your spirit behind for 15 min. Use Transcendence: Transfer to swap locations with your spirit.
Monk	Windwalker	269	Detox	218164	talent-active	TraitNodeEntry	true	0	0	Rotational	class		101150	124941	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Removes all Poison and Disease effects from the target.
Monk	Windwalker	269	Diffuse Magic	1243287	talent-active	TraitNodeEntry	true	0	0	Rotational	class		108540	134029	1		Class 7 (Raid Defensive)			api	Activating Fortifying Brew transfers all currently active harmful magical effects on you back to their original caster if possible.
Monk	Windwalker	269	Soothing Mist	115175	talent-active	TraitNodeEntry	true	0	0	Rotational	class		101143	124933	1		Self-Heal 3 (Overflow)	class-baseline:SkillLineAbility:829		api	Heals the target for 6,386 over 7.1 sec. While channeling, Enveloping Mist and Vivify may be cast instantly on the target.
Monk	Windwalker	269	Ring of Peace	116844	talent-choice	TraitNodeEntry	true	45	0	Cooldown	class		101136	124926	1	Utility	Class 2 (CC)	cdm-only:CooldownSetSpell		api	Form a Ring of Peace at the target location for 5 sec. Enemies that enter will be ejected from the Ring.
Monk	Windwalker	269	Strike of the Windlord	392983	talent-choice	TraitNodeEntry	true	35	0	Rotational	spec		101207	125014	1	Essential		cdm-only:CooldownSetSpell		api	Strike with both fists at all enemies in front of you, dealing 529 Physical damage and reducing movement speed by 50% for 6 sec. Deals reduced damage to secondary targets.
Monk	Windwalker	269	Whirling Dragon Punch	152175	talent-choice	TraitNodeEntry	true	35	0	Rotational	spec		101207	134452	1	Essential		cdm-only:CooldownSetSpell		api	Performs a devastating whirling upward strike, dealing 252 damage to all nearby enemies and an additional 157 damage to the first target struck. Damage reduced beyond 5 targets.\n\nOnly usable while both Fists of Fury and Rising Sun Kick are on cooldown.
Monk	Windwalker	269	Song of Chi-Ji	198898	talent-choice	TraitNodeEntry	true	30	1.8	Rotational	class		101136	124925	1	Utility		cdm-only:CooldownSetSpell		api	Conjures a cloud of hypnotic mist that slowly travels forward. Enemies touched by the mist fall asleep, Disoriented for 20 sec.
Monk	Windwalker	269	Chi Torpedo	115008	talent-choice	TraitNodeEntry	true	0	0	Rotational	class		101183	124981	1					api	Torpedoes you forward a long distance and increases your movement speed by 30% for 10 sec, stacking up to 2 times.
Monk	Windwalker	269	Disable	116095	talent-choice	TraitNodeEntry	true	0	0	Rotational	class		101149	124939	1	Buff	Slow	cdm-only:CooldownSetSpell		api	Reduces the target's movement speed by 50% for 15 sec, duration refreshed by your melee attacks.
Monk	Windwalker	269	Touch of Death	322109	class-baseline	SkillLineAbility:829	true	180	0	Cooldown						Essential	Cooldown 3	cdm-only:CooldownSetSpell		api	You exploit the enemy target's weakest point, instantly dealing damage equal to 100% of your maximum health to them.\n\nOnly usable on creatures that have less health than you.
Monk	Windwalker	269	Touch of Fatality	169340	class-baseline	SkillLineAbility:829	true	90	0	Cooldown										api	Instantly kills any creature under level 50, or player under 20% health.
Monk	Windwalker	269	Leg Sweep	119381	class-baseline	SkillLineAbility:829	true	60	0	Cooldown						Utility	CC	cdm-only:CooldownSetSpell		api	Knocks down all enemies within 6 yards, stunning them for 3 sec.
Monk	Windwalker	269	Zen Pilgrimage	126892	class-baseline	SkillLineAbility:829	true	60	10	Cooldown										api	Your spirit travels to your home temple, leaving your body behind. \n\nUse Zen Pilgrimage again to return back to near your departure point.
Monk	Windwalker	269	Expel Harm	322101	class-baseline	SkillLineAbility:829	true	15	0	Rotational										api	Expel negative chi from your body, healing for 467 and dealing 10% of the amount healed as Nature damage to an enemy within 20 yards.
Monk	Windwalker	269	Provoke	115546	class-baseline	SkillLineAbility:829	true	8	0	Rotational							Taunt/Quick Access			api	Taunts the target to attack you, and increases the threat you generate against them by 800% for 6 sec.
Monk	Windwalker	269	Blackout Kick	100784	class-baseline	SkillLineAbility:829	true	3	0	Rotational						Essential	Rotational 2	cdm-only:CooldownSetSpell		api	Kick with a blast of Chi energy, dealing 30 Physical damage.
Monk	Windwalker	269	Roll	109132	class-baseline	SkillLineAbility:829	true	0.8	0	Rotational						Utility	Movement Ability	cdm-only:CooldownSetSpell		api	Roll a short distance.
Monk	Windwalker	269	Chi Burst	130654	class-baseline	SkillLineAbility:829	true	0	0	Rotational										api	Hurls a torrent of Chi energy up to 40 yds forward, dealing 98 Nature damage to all enemies, and 77 healing to the Monk and all allies in its path. Healing and damage reduced beyond 5 targets.\n\n\nCasting Chi Burst does not prevent avoiding attacks.
Monk	Windwalker	269	Chi Wave	132463	class-baseline	SkillLineAbility:829	true	0	0	Rotational										api	Every 15 sec, your next Rising Sun Kick or Vivify releases a wave of Chi energy that flows through friends and foes, dealing 6 Nature damage or 20 healing. Bounces up to 7 times to targets within 25 yards.
Monk	Windwalker	269	Crackling Jade Lightning	117952	class-baseline	SkillLineAbility:829	true	0	0	Rotational						Essential	Class 3 (Tag)	cdm-only:CooldownSetSpell		api	Channel Jade lightning, causing 9 Nature damage over 3.6 sec to the target and sometimes knocking back melee attackers.
Monk	Windwalker	269	Energy Usage	119650	class-baseline	SkillLineAbility:829	true	0	0	Rotational										none	
Monk	Windwalker	269	Flying Serpent Kick	123586	class-baseline	SkillLineAbility:829	true	0	0	Rotational						Utility	Immune/Spell Immune/Movement	class-baseline:SpecializationSpells;cdm-only:CooldownSetSpell		api	Soar forward through the air at high speed for 1.5 sec.\n \nIf used again while active, you will land, reducing the movement speed of enemies within 8 yds by 70% for 4 sec.
Monk	Windwalker	269	Healing Sphere	125355	class-baseline	SkillLineAbility:829	true	0	0	Rotational										api	When you kill an enemy, you summon a Healing Sphere, healing you for 69 when you walk through it.
Monk	Windwalker	269	Renewing Mist	119611	class-baseline	SkillLineAbility:829	true	0	0	Rotational										api	Surrounds the target with healing mists, restoring 837 health over 20 sec.\n\nIf Renewing Mist heals a target past maximum health, it will travel to another injured ally within 20 yds.
Monk	Windwalker	269	Resuscitate	115178	class-baseline	SkillLineAbility:829	true	0	10	Rotational										api	Returns the spirit to the body, restoring a dead target to life with 35% of maximum health and mana. Cannot be cast when in combat.
Monk	Windwalker	269	Sheilun's Gift	205406	class-baseline	SkillLineAbility:829	true	0	2	Rotational										api	Draws in all nearby clouds of mist generated by Sheilun, healing the target for 190 per cloud absorbed.
Monk	Windwalker	269	Single-Button Assistant	1229376	class-baseline	SpecializationSpells	true	0	2	Rotational										api	Casts damaging abilities for use in combat, rotating through them based on priority.\n\nThe global cooldown of abilities used through the Single-Button Assistant is 25% longer.
