class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Paladin	Holy	65	Lay on Hands	633	talent-active	TraitNodeEntry	true	600	0	Cooldown	class		81597	102583	1	Essential	Self-Heal 4 (Emergency/Overflow)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Heals a friendly target for an amount equal to 100% your maximum health.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
Paladin	Holy	65	Aura Mastery	31821	talent-active	TraitNodeEntry	true	180	0	Cooldown	spec		81567	102548	1	Essential	Cooldown 2	cdm-only:CooldownSetSpell		api	Empowers your chosen aura for 8 sec.\n\nDevotion Aura: Damage reduction increased to 12%.\n\nCrusader Aura: Mount speed bonus increased to 60%.\n\nConcentration Aura: Affected allies immune to interrupts and silences.
Paladin	Holy	65	Blessing of Sacrifice	6940	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		81614	102602	1	Utility	Class 3 (Tag)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Blesses a party or raid member, reducing their damage taken by 30%, but you suffer 100% of damage prevented.\n\nLast 12 sec, or until transferred damage would cause you to fall below 20% health.
Paladin	Holy	65	Blinding Light	115750	talent-active	TraitNodeEntry	true	90	0	Cooldown	class		81598	102584	1	Utility	CC 2	cdm-only:CooldownSetSpell		api	Emits dazzling light in all directions, blinding enemies within 10 yds, causing them to wander disoriented for 6 sec. Damage may cancel the effect.
Paladin	Holy	65	Turn Evil	10326	talent-active	TraitNodeEntry	true	15	1.5	Rotational	class		93010	102623	1	Utility	Class 5 (Purge)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	The power of the Light compels an Undead, Aberration, or Demon target to flee for up to 40 sec. Damage may break the effect. Lesser creatures have a chance to be destroyed. Only one target can be turned at a time.
Paladin	Holy	65	Blessing of Protection	1022	talent-active	TraitNodeEntry	true	1.5	0	Rotational	class		81616	102604	1	Buff/Utility	Class 2 (CC)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Blesses a party or raid member, granting immunity to Physical damage and harmful effects for 10 sec.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
Paladin	Holy	65	Divine Steed	190784	talent-active	TraitNodeEntry	true	0.8	0	Rotational	class		81632	102625	1	Buff/Utility	Movement Ability	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Leap atop your Charger for 3 sec, increasing movement speed by 100%. Usable while indoors or in combat.
Paladin	Holy	65	Eternal Flame	156322	talent-active	TraitNodeEntry	true	0	0	Rotational	hero	Herald of the Sun	95095	117692	1					api	Heals an ally for 1,436 and an additional 465 over 16 sec.\n\nHealing increased by 25% when cast on self.
Paladin	Holy	65	Holy Armaments	432459	talent-active	TraitNodeEntry	true	0	0	Rotational	hero	Lightsmith	95234	117882	1			talent-active:TraitNodeEntry	Holy Bulwark	api	Will the Light to coalesce and become manifest as a Holy Armament, wielded by your friendly target.\n\n Holy Bulwark:\n\nWhile wielding a Holy Bulwark, gain an absorb shield for 15.0% of your max health and an additional 2.0% every 2 sec. Lasts 20 sec.\n\nBecomes Sacred Weapon after use.\n\nGenerates 3 Holy Power.
Paladin	Holy	65	Holy Shock	20473	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		81555	102534	1	Essential	Rotational 1	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Triggers a burst of Light on the target, dealing 811 Holy damage to an enemy, or 2,554 healing to an ally.\n\nGenerates 1 Holy Power.
Paladin	Holy	65	Light of Dawn	85222	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		81565	102545	1	Essential	Rotational 6	cdm-only:CooldownSetSpell		api	Unleashes Holy energy, healing up to 5 injured allies within a 40 yd radius around you for 1,925.
Paladin	Holy	65	Avenging Wrath	31884	talent-choice	TraitNodeEntry	true	120	0	Cooldown	spec		81584	102569	1	Buff/Essential	Cooldown 1	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Call upon the Light to become an avatar of retribution, increasing your damage, healing, and critical strike chance by 20% for 20 sec.
Paladin	Holy	65	Avenging Crusader	216331	talent-choice	TraitNodeEntry	true	60	0	Cooldown	spec		81584	102568	1					api	You become the ultimate crusader of light, for 15 sec. Auto-attack damage is increased by 1,000%, Judgment and Crusader Strike heal up to 5 injured allies within 40 yds for 80% of the damage done, split evenly among them.\n\nThis spell is replaced with Crusader Strike while active.\n\nCrusader Strike:\nStrike the target for 49 Physical damage.\n\nGenerates 1 Holy Power.
Paladin	Holy	65	Divine Toll	375576	talent-choice	TraitNodeEntry	true	60	0	Cooldown	class		81496	102465	1	Essential		cdm-only:CooldownSetSpell		api	Instantly cast Holy Shock, Avenger's Shield, or Judgment on up to 5 targets within 30 yds.
Paladin	Holy	65	Holy Prism	114165	talent-choice	TraitNodeEntry	true	45	0	Cooldown	class		81496	133480	1	Essential		class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Fires a beam of light that scatters to strike a clump of targets. \n\nIf the beam is aimed at an enemy target, it deals 2,501 Holy damage and radiates 2,555 healing to 5 allies within 30 yds.\n\nIf the beam is aimed at a friendly target, it heals for 6,037 and radiates 944 Holy damage to 5 enemies within 30 yds.\n\nGenerates 3 Holy Power.
