class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Paladin	Protection	66	Lay on Hands	633	talent-active	TraitNodeEntry	true	600	0	Cooldown	class		81597	102583	1	Utility	Self-Heal 4 (Emergency/Overflow)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Heals a friendly target for an amount equal to 100% your maximum health.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
Paladin	Protection	66	Blessing of Sacrifice	6940	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		81614	102602	1	Utility	Class 3 (Tag)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Blesses a party or raid member, reducing their damage taken by 30%, but you suffer 100% of damage prevented.\n\nLast 12 sec, or until transferred damage would cause you to fall below 20% health.
Paladin	Protection	66	Ardent Defender	31850	talent-active	TraitNodeEntry	true	90	0	Cooldown	spec		81481	102445	1	Buff/Essential	Cooldown 3	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Reduces all damage you take by 30% for 12 sec.\n\nWhile Ardent Defender is active, the next attack that would otherwise kill you will instead bring you to 20% of your maximum health.
Paladin	Protection	66	Blinding Light	115750	talent-active	TraitNodeEntry	true	90	0	Cooldown	class		81598	102584	1	Utility	CC 2	cdm-only:CooldownSetSpell		api	Emits dazzling light in all directions, blinding enemies within 10 yds, causing them to wander disoriented for 6 sec. Damage may cancel the effect.
Paladin	Protection	66	Divine Toll	375576	talent-active	TraitNodeEntry	true	60	0	Cooldown	class		110006	136496	1	Essential	Cooldown 2	cdm-only:CooldownSetSpell		api	Instantly cast Holy Shock, Avenger's Shield, or Judgment on up to 5 targets within 30 yds.
Paladin	Protection	66	Avenger's Shield	31935	talent-active	TraitNodeEntry	true	15	0	Rotational	spec		81502	102471	1	Essential	Rotational 4	cdm-only:CooldownSetSpell		api	Hurls your shield at an enemy target, dealing 53 Holy damage, interrupting and silencing the non-Player target for 3 sec, and then jumping to 2 additional nearby enemies.
Paladin	Protection	66	Rebuke	96231	talent-active	TraitNodeEntry	true	15	0	Rotational	class		81604	102591	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Interrupts spellcasting and prevents any spell in that school from being cast for 5 sec.
Paladin	Protection	66	Turn Evil	10326	talent-active	TraitNodeEntry	true	15	1.5	Rotational	class		93010	102623	1	Utility	Class 5 (Purge)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	The power of the Light compels an Undead, Aberration, or Demon target to flee for up to 40 sec. Damage may break the effect. Lesser creatures have a chance to be destroyed. Only one target can be turned at a time.
Paladin	Protection	66	Cleanse Toxins	213644	talent-active	TraitNodeEntry	true	8	0	Rotational	class		81507	102476	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Cleanses a friendly target, removing all Poison and Disease effects.
Paladin	Protection	66	Blessing of Protection	1022	talent-active	TraitNodeEntry	true	1.5	0	Rotational	class		81616	102604	1	Buff/Utility	Class 2 (CC)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Blesses a party or raid member, granting immunity to Physical damage and harmful effects for 10 sec.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
Paladin	Protection	66	Divine Steed	190784	talent-active	TraitNodeEntry	true	0.8	0	Rotational	class		81632	102625	1	Buff/Utility	Movement Ability	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Leap atop your Charger for 3 sec, increasing movement speed by 100%. Usable while indoors or in combat.
Paladin	Protection	66	Guardian of Ancient Kings	86659	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		81490	102456	1	Essential/Other	Cooldown 4	cdm-only:CooldownSetSpell		api	Empowers you with the spirit of ancient kings, reducing all damage you take by 50% for 8 sec.
Paladin	Protection	66	Holy Armaments	432459	talent-active	TraitNodeEntry	true	0	0	Rotational	hero	Lightsmith	95234	117882	1			talent-active:TraitNodeEntry	Holy Bulwark	api	Will the Light to coalesce and become manifest as a Holy Armament, wielded by your friendly target.\n\n Holy Bulwark:\n\nWhile wielding a Holy Bulwark, gain an absorb shield for 15.0% of your max health and an additional 2.0% every 2 sec. Lasts 20 sec.\n\nBecomes Sacred Weapon after use.\n\nGenerates 3 Holy Power.
Paladin	Protection	66	Avenging Wrath	31884	talent-choice	TraitNodeEntry	true	120	0	Cooldown	spec		81483	102448	1	Essential/Other		class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Call upon the Light to become an avatar of retribution, increasing your damage, healing, and critical strike chance by 20% for 20 sec.
Paladin	Protection	66	Sentinel	389539	talent-choice	TraitNodeEntry	true	120	0	Cooldown	spec		81483	102447	1	Essential/Other		cdm-only:CooldownSetSpell		api	Call upon the Light and gain 15 stacks of Divine Resolve, increasing your maximum health by 1% and reducing your damage taken by 2% per stack for 20 sec. After 5.0 sec, you will begin to lose 1 stack per second, but each 3 Holy Power spent will delay the loss of your next stack by 1 sec.\n\nCombines with Avenging Wrath.
Paladin	Protection	66	Blessing of Freedom	1044	talent-choice	TraitNodeEntry	true	1.5	0	Rotational	class		81631	128251	1	Buff/Utility	Class 1 (Movement)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Blesses a party or raid member, granting immunity to movement impairing effects for 8 sec.
Paladin	Protection	66	Blessing of Spellwarding	204018	talent-choice	TraitNodeEntry	true	1.5	0	Rotational	spec		90062	111886	1	Buff/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Blesses a party or raid member, granting immunity to magical damage and harmful effects for 10 sec.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.\n\nShares a cooldown with Blessing of Protection.
Paladin	Protection	66	Blessed Hammer	204019	talent-choice	TraitNodeEntry	true	0	0	Rotational	spec		81469	102430	1					api	Throws a Blessed Hammer that spirals outward, dealing 8 Holy damage to enemies and reducing the next damage they deal to you by 11.\n\nGenerates 1 Holy Power.
Paladin	Protection	66	Hammer of the Righteous	53595	talent-choice	TraitNodeEntry	true	0	0	Rotational	spec		81469	102431	1					api	Hammers the current target for 52 Physical damage.\n\nGenerates 1 Holy Power.
Paladin	Protection	66	Rite of Adjuration	433583	talent-choice	TraitNodeEntry	true	0	2	Rotational	hero	Lightsmith	95233	117880	1					api	Imbue your weapon with the power of the Light, increasing your Stamina by 3% and causing your Holy Power abilities to sometimes unleash a burst of healing around a target.\n\nLasts 1 hour.
Paladin	Protection	66	Rite of Sanctification	433568	talent-choice	TraitNodeEntry	true	0	2	Rotational	hero	Lightsmith	95233	117881	1		Buff			api	Imbue your weapon with the power of the Light, increasing your armor by 5% and your primary stat by 2%.\n\nLasts 1 hour.
Paladin	Protection	66	Intercession	391054	class-baseline	SkillLineAbility:800	true	600	2	Cooldown						Utility	Class 8 (Lust/BRes)	cdm-only:CooldownSetSpell		api	Petition the Light on the behalf of a fallen ally, restoring spirit to body and allowing them to reenter battle with 60% health and at least 20% mana.
Paladin	Protection	66	Divine Shield	642	class-baseline	SkillLineAbility:800	true	300	0	Cooldown						Buff/Utility	Immune/Spell Immune/Movement	cdm-only:CooldownSetSpell		api	Grants immunity to all damage, harmful effects, knockbacks and forced movement effects for 8 sec. \n\nCannot be used if you have Forbearance. Causes Forbearance for 30 sec.
Paladin	Protection	66	Jailer's Judgment	162056	class-baseline	SkillLineAbility:800	true	180	0	Cooldown										api	Stuns the target Player for 6 sec. If the judgment holds for 6 sec, the enemy will be instantly teleported to your jail. Can only be used while in Ashran.
Paladin	Protection	66	Tyr's Deliverance	200652	class-baseline	SkillLineAbility:800	true	90	2	Cooldown										api	Releases the Light within yourself, healing 5 injured allies instantly and an injured ally every 0.9 sec within 40 yds for 133.\n\nAllies healed also receive 10% increased healing from your Holy Light, Flash of Light, and Holy Shock spells for 12 sec.
Paladin	Protection	66	Eye of Tyr	209202	class-baseline	SkillLineAbility:800	true	60	0	Cooldown										api	Releases a blinding flash from Truthguard, causing 19 Holy damage to all nearby enemies within 8 yds and reducing all damage they deal to you by 25% for 9 sec.
Paladin	Protection	66	Hammer of Justice	853	class-baseline	SkillLineAbility:800	true	45	0	Cooldown						Utility	CC	cdm-only:CooldownSetSpell		api	Stuns the target for 6 sec.
Paladin	Protection	66	Wake of Ashes	205273	class-baseline	SkillLineAbility:800	true	30	0	Rotational										api	Lash out with the Ashbringer, dealing 61 Radiant damage to all enemies within 12 yd in front of you, and reducing movement speed by 50% for 6 sec.\n\nDemon and Undead enemies are stunned for 6 sec if struck by the Wake of Ashes.
Paladin	Protection	66	Holy Prism	114852	class-baseline	SkillLineAbility:800	true	20	0	Rotational										api	Fires a beam of light that scatters to strike a clump of targets. \n\nIf the beam is aimed at an enemy target, it deals 2,458 Holy damage and radiates 2,562 healing to 5 allies within 30 yds.\n\nIf the beam is aimed at a friendly target, it heals for 6,179 and radiates 948 Holy damage to 5 enemies within 30 yds.\n\nGenerates 3 Holy Power.
Paladin	Protection	66	Contemplation	121183	class-baseline	SkillLineAbility:800	true	8	0	Rotational										api	Allows you a moment of peace as you kneel in quiet contemplation to ponder the nature of the Light.
Paladin	Protection	66	Shield of the Righteous	53600	class-baseline	SkillLineAbility:800	true	1	0	Rotational						Essential/Other	Rotational 1	cdm-only:CooldownSetSpell		api	Slams enemies in front of you with your shield, causing 33 Holy damage, and increasing your Armor by 608 for 4.5 sec.
Paladin	Protection	66	Ancient Fury	86704	class-baseline	SkillLineAbility:800	true	0	0	Rotational										api	Unleash the fury of ancient kings, causing 10 Holy damage per application of Ancient Power, divided evenly among all targets within 10 yards.
Paladin	Protection	66	Beacon of Light	53652	class-baseline	SkillLineAbility:800	true	0	0	Rotational										api	Wrap a single ally in holy energy, causing your direct healing on other party or raid members to also heal that ally for 10% of the amount healed.
Paladin	Protection	66	Consecration	81297	class-baseline	SkillLineAbility:800	true	0	0	Rotational						Essential/Other	Rotational 6	cdm-only:CooldownSetSpell		api	Deals 1 Holy damage every 0.9 sec to enemies within 8 yards.
Paladin	Protection	66	Crusader Aura	32223	class-baseline	SkillLineAbility:800	true	0	0	Rotational							Stance 1			api	Increases mounted speed by 20% for all party and raid members within 40 yds.
Paladin	Protection	66	Crusader Strike	35395	class-baseline	SkillLineAbility:800	true	0	0	Rotational						Essential		cdm-only:CooldownSetSpell		api	Strike the target for 49 Physical damage.\n\nGenerates 1 Holy Power.
Paladin	Protection	66	Crusader's Direhorn	290608	class-baseline	SkillLineAbility:800	true	0	1.5	Rotational										api	Summons a Crusader's Direhorn, which serves as a mount.
Paladin	Protection	66	Devotion Aura	465	class-baseline	SkillLineAbility:800	true	0	0	Rotational							Stance 2			api	Party and raid members within 40 yds are bolstered by their devotion, reducing damage taken by 3%.
Paladin	Protection	66	Earthen Ordinant's Ramolith	453785	class-baseline	SkillLineAbility:800	true	0	1.5	Rotational										api	Summons the Earthen Ordinant's Ramolith, which serves as a mount.
Paladin	Protection	66	Flash of Light	19750	class-baseline	SkillLineAbility:800	true	0	1.5	Rotational							Self-Heal 1			api	Quickly heal a friendly target for 1,204.
Paladin	Protection	66	Hammer of Wrath	24275	class-baseline	SkillLineAbility:800	true	0	0	Rotational								talent-passive:TraitNodeEntry		api	Hurls a divine hammer that strikes an enemy for 51 Holy damage.\n\nGenerates 1 Holy Power.
