class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Paladin	Retribution	70	Lay on Hands	633	talent-active	TraitNodeEntry	true	600	Cooldown	class		81597	102583	1	Utility	Self-Heal 4 (Emergency/Overflow)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Heals a friendly target for an amount equal to 100% your maximum health.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
Paladin	Retribution	70	Avenging Wrath	31884	talent-active	TraitNodeEntry	true	120	Cooldown	spec		81544	102519	1	Essential/Other		class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Call upon the Light to become an avatar of retribution, increasing your damage, healing, and critical strike chance by 20% for 20 sec.
Paladin	Retribution	70	Blessing of Sacrifice	6940	talent-active	TraitNodeEntry	true	120	Cooldown	class		81614	102602	1	Utility	Class 3 (Tag)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Blesses a party or raid member, reducing their damage taken by 30%, but you suffer 100% of damage prevented.\n\nLast 12 sec, or until transferred damage would cause you to fall below 20% health.
Paladin	Retribution	70	Blinding Light	115750	talent-active	TraitNodeEntry	true	90	Cooldown	class		81598	102584	1	Utility	CC 2	cdm-only:CooldownSetSpell		api	Emits dazzling light in all directions, blinding enemies within 10 yds, causing them to wander disoriented for 6 sec. Damage may cancel the effect.
Paladin	Retribution	70	Divine Toll	375576	talent-active	TraitNodeEntry	true	60	Cooldown	class		109368	135564	1	Essential		cdm-only:CooldownSetSpell		api	Instantly cast Holy Shock, Avenger's Shield, or Judgment on up to 5 targets within 30 yds.
Paladin	Retribution	70	Execution Sentence	343527	talent-active	TraitNodeEntry	true	60	Cooldown	spec		109373	115435	1	Essential/Other		cdm-only:CooldownSetSpell		api	Unleash a heavenly blast around the target, dealing 176 Holy damage to all enemies within 10 yds, and call down a hammer that slowly falls from the sky upon the target. \n\nAfter 10 sec, they suffer 20% of the Holy damage you dealt to all targets affected by the initial blast during that time.
Paladin	Retribution	70	Rebuke	96231	talent-active	TraitNodeEntry	true	15	Rotational	class		110093	136594	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Interrupts spellcasting and prevents any spell in that school from being cast for 5 sec.
Paladin	Retribution	70	Turn Evil	10326	talent-active	TraitNodeEntry	true	15	Rotational	class		93010	102623	1	Utility	Class 5 (Purge)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	The power of the Light compels an Undead, Aberration, or Demon target to flee for up to 40 sec. Damage may break the effect. Lesser creatures have a chance to be destroyed. Only one target can be turned at a time.
Paladin	Retribution	70	Cleanse Toxins	213644	talent-active	TraitNodeEntry	true	8	Rotational	class		81507	102476	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Cleanses a friendly target, removing all Poison and Disease effects.
Paladin	Retribution	70	Blessing of Protection	1022	talent-active	TraitNodeEntry	true	1.5	Rotational	class		81616	102604	1	Buff/Utility	Class 2 (CC)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Blesses a party or raid member, granting immunity to Physical damage and harmful effects for 10 sec.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
Paladin	Retribution	70	Divine Steed	190784	talent-active	TraitNodeEntry	true	0.8	Rotational	class		81632	102625	1	Buff/Utility	Movement Ability	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Leap atop your Charger for 3 sec, increasing movement speed by 100%. Usable while indoors or in combat.
Paladin	Retribution	70	Blade of Justice	184575	talent-active	TraitNodeEntry	true	0	Rotational	spec		81526	102498	1	Essential		cdm-only:CooldownSetSpell		api	Pierce an enemy with a blade of light, dealing 67 Holy damage.\n\nGenerates 1 Holy Power.
Paladin	Retribution	70	Divine Storm	53385	talent-active	TraitNodeEntry	true	0	Rotational	spec		81527	102499	1	Essential		cdm-only:CooldownSetSpell		api	Unleashes a whirl of divine energy, dealing 93 Holy damage to all nearby enemies. \n\nDeals reduced damage beyond 5 targets.
Paladin	Retribution	70	Eternal Flame	156322	talent-active	TraitNodeEntry	true	0	Rotational	hero	Herald of the Sun	95095	117692	1					api	Heals an ally for 1,436 and an additional 465 over 16 sec.\n\nHealing increased by 25% when cast on self.
Paladin	Retribution	70	Final Verdict	383328	talent-active	TraitNodeEntry	true	0	Rotational	spec		81532	102504	1					api	Unleashes a powerful weapon strike that deals 161 Holy damage to an enemy target,\n\nHas a 15% chance to reset the cooldown of Judgment.
Paladin	Retribution	70	Shield of Vengeance	1261562	talent-active	TraitNodeEntry	true	0	Rotational	class		109867	136127	1	Buff	Personal Defensive 2	cdm-only:CooldownSetSpell		api	Divine Protection reduces damage taken by an additional 10% and casts Shield of Vengeance.\n\nShield of Vengeance\nCreates a barrier of holy light that absorbs 9,165 damage for 10 sec.\n\nWhen the shield expires, it bursts to inflict Holy damage equal to the total amount absorbed, divided among all nearby enemies.
Paladin	Retribution	70	Wake of Ashes	255937	talent-active	TraitNodeEntry	true	0	Rotational	spec		81525	102497	1	Buff/Essential		class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Lash out at your enemies, dealing 114 Radiant damage to all enemies within 14 yds in front of you, and applying Truth's Wake, burning the targets for an additional 67 damage over 9 sec.\n\nDemon and Undead enemies are also stunned for 5 sec.\n\nGenerates 3 Holy Power.
Paladin	Retribution	70	Blessing of Freedom	1044	talent-choice	TraitNodeEntry	true	1.5	Rotational	class		81631	128251	1	Buff/Utility	Class 1 (Movement)	class-baseline:SkillLineAbility:800;cdm-only:CooldownSetSpell		api	Blesses a party or raid member, granting immunity to movement impairing effects for 8 sec.
