class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Priest	Discipline	256	Mass Dispel	32375	talent-active	TraitNodeEntry	true	120	1.5	Cooldown	class		109890	136157	1	Utility	Class 3 (Tag)	cdm-only:CooldownSetSpell		api	Dispels magic in a 15 yard radius, removing all harmful Magic from 5 friendly targets and 1 beneficial Magic effect from 5 enemy targets. Potent enough to remove Magic that is normally undispellable.
Priest	Discipline	256	Power Infusion	10060	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		82556	103834	1	Buff/Essential	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Infuses the target with power for 15 sec, increasing haste by 20%.\n\nCan only be cast on players.
Priest	Discipline	256	Desperate Prayer	19236	talent-active	TraitNodeEntry	true	90	0	Cooldown	class		109012	134846	1	Buff/Utility	Self-Heal 1	cdm-only:CooldownSetSpell		api	Increases maximum health by 25% for 10 sec, and instantly heals you for that amount.
Priest	Discipline	256	Evangelism	472433	talent-active	TraitNodeEntry	true	90	0	Cooldown	spec		82577	103702	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Immediately Power Word: Radiance your target at 150% effectiveness, and causes your next 2 casts of Power Word: Radiance to be instant cast with 40% reduced mana cost.
Priest	Discipline	256	Psychic Scream	8122	talent-active	TraitNodeEntry	true	40	0	Rotational	class		82701	103851	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Lets out a psychic scream, causing all enemies within 8 yards to flee, disorienting them for 8 sec. Damage may interrupt the effect.
Priest	Discipline	256	Fade	586	talent-active	TraitNodeEntry	true	30	0	Rotational	class		109015	134849	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Fade out, removing all your threat and reducing enemies' detection range against you for 10 sec.
Priest	Discipline	256	Void Torrent	263165	talent-active	TraitNodeEntry	true	30	0	Rotational	hero	Voidweaver	94684	117287	1			class-baseline:SkillLineAbility:804		api	Channel a torrent of void energy into the target, dealing 3,930 Shadow damage over 3 sec and tearing open an Entropic Rift.\n\n Entropic Rift\nMind Blast tears open an Entropic Rift that follows the enemy for 8 sec. Enemies caught in its path suffer 228 Shadow damage every 0.9 sec while within its reach.\n\nGenerates 24 Insanity over the duration.
Priest	Discipline	256	Pain Suppression	33206	talent-active	TraitNodeEntry	true	1.5	0	Rotational	spec		82587	103713	1	Utility	Cooldown 4	cdm-only:CooldownSetSpell		api	Reduces all damage taken by a friendly target by 40% for 8 sec. Castable while stunned.
Priest	Discipline	256	Leap of Faith	73325	talent-active	TraitNodeEntry	true	1	0	Rotational	class		82715	103867	1	Utility	Immune/Spell Immune/Movement	cdm-only:CooldownSetSpell		api	Pulls the spirit of a party or raid member, instantly moving them directly in front of you.
Priest	Discipline	256	Angelic Feather	121536	talent-active	TraitNodeEntry	true	0	0	Rotational	class		82703	103853	1	Buff/Utility	Movement Ability	cdm-only:CooldownSetSpell		api	Places a feather at the target location, granting the first ally to walk through it 40% increased movement speed for 5 sec. Only 3 feathers can be placed at one time.
Priest	Discipline	256	Dispel Magic	528	talent-active	TraitNodeEntry	true	0	0	Rotational	class		109009	103677	1		Class 5 (Purge)			api	Dispels Magic on the enemy target, removing 1 beneficial Magic effect.
Priest	Discipline	256	Holy Nova	132157	talent-active	TraitNodeEntry	true	0	0	Rotational	class		82718	103870	1	Essential	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	An explosion of holy light around you deals up to 156 Holy damage to enemies and up to 117 healing to allies within 12 yds, reduced if there are more than 5 targets.
Priest	Discipline	256	Mind Blast	8092	talent-active	TraitNodeEntry	true	0	1.5	Rotational	class		82713	103865	1	Essential	Rotational 2	cdm-only:CooldownSetSpell		api	Blast the target's mind for 301 Shadow damage. Costs a high amount of mana.
Priest	Discipline	256	Power Word: Radiance	194509	talent-active	TraitNodeEntry	true	0	2	Rotational	spec		82593	103722	1	Essential	Rotational 6	cdm-only:CooldownSetSpell		api	A burst of light heals the target and 4 injured allies within 40 yards for 2,153, and applies Atonement for 60% of its normal duration.
Priest	Discipline	256	Shackle Horror	9484	talent-active	TraitNodeEntry	true	0	1.5	Rotational	class		82693	103843	1		CC 2			api	Shackles an aberration or undead enemy for 50 sec, preventing all actions and movement. Damage will cancel the effect. Limit 1.
Priest	Discipline	256	Shadow Word: Death	32379	talent-active	TraitNodeEntry	true	0	0	Rotational	class		82712	103864	1	Essential	Rotational 8	cdm-only:CooldownSetSpell		api	A word of dark binding that inflicts 328 Shadow damage to your target. If your target is not killed by Shadow Word: Death, you take backlash damage equal to 5% of your maximum health.\n\nDamage increased by 150% to targets below 20% health.
Priest	Discipline	256	Shadowfiend	34433	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		82570	103695	1	Buff		cdm-only:CooldownSetSpell		api	Shadow Word: Death has a 40% chance to summon a Shadowfiend for 5 sec when damaging targets below 20% health.\n\n Shadowfiend\nSummons a Shadowfiend to attack your target for 5 sec.\n\nGenerates 0.5% mana each time the Shadowfiend attacks.
Priest	Discipline	256	Ultimate Penitence	421453	talent-choice	TraitNodeEntry	true	240	1.5	Cooldown	spec		82564	116182	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Ascend into the air and unleash a massive barrage of Penance bolts, causing 17,351 Holy damage to enemies or 40,757 healing to allies over 5.4 sec.\n\nWhile ascended, gain a shield for 100% of your health. In addition, you are unaffected by knockbacks or crowd control effects.
Priest	Discipline	256	Power Word: Barrier	62618	talent-choice	TraitNodeEntry	true	180	0	Cooldown	spec		82564	103687	1	Essential	Cooldown 2	cdm-only:CooldownSetSpell		api	Summons a holy barrier to protect all allies at the target location for 10 sec, reducing all damage taken by 20% and preventing damage from delaying spellcasting.
Priest	Discipline	256	Dominate Mind	205364	talent-choice	TraitNodeEntry	true	30	1.8	Rotational	class		82710	103678	1	Utility		cdm-only:CooldownSetSpell		api	Controls a mind up to 1 level above yours for 30 sec while still controlling your own mind. Does not work versus Demonic, Mechanical, or Undead beings or players. This spell shares diminishing returns with other disorienting effects.
Priest	Discipline	256	Mind Control	605	talent-choice	TraitNodeEntry	true	0	1.8	Rotational	class		82710	103862	1		Slow			api	Controls a mind up to 1 level above yours for 30 sec. Does not work versus Demonic, Undead, or Mechanical beings. Shares diminishing returns with other disorienting effects.
Priest	Discipline	256	Spirit of Redemption	215769	class-baseline	SkillLineAbility:804	true	120	0	Cooldown										api	The Priest becomes the Spirit of Redemption for 6 sec. The Spirit of Redemption cannot move, attack, be attacked or targeted by any spells or effects. While in this form the Priest can cast any healing spell free of cost.
Priest	Discipline	256	Ascension	161862	class-baseline	SkillLineAbility:804	true	90	0	Cooldown										api	Ascend into the air, keeping you out of harm's way. Lasts 20 sec. Can only be used while in Ashran.
Priest	Discipline	256	Light's Wrath	207946	class-baseline	SkillLineAbility:804	true	90	2.5	Cooldown										api	Draws upon the power of Light's Wrath, dealing 665 Radiant damage to the target, increased by 10% per ally affected by your Atonement.
