class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Priest	Holy	257	Divine Hymn	64843	talent-active	TraitNodeEntry	true	180	Cooldown	spec		82621	103755	1	Essential/Other	Cooldown 2	cdm-only:CooldownSetSpell		api	Heals all party or raid members within 40 yards for 10,579 over 4.5 sec. Each heal increases all targets' healing taken by 4% for 15 sec, stacking.\n\nYou gain Guardian Spirit while channeling Divine Hymn.\n\nHealing reduced beyond 5 targets.
Priest	Holy	257	Guardian Spirit	47788	talent-active	TraitNodeEntry	true	180	Cooldown	spec		82637	103774	1	Essential/Other	Cooldown 4	cdm-only:CooldownSetSpell		api	Calls upon a guardian spirit to watch over the friendly target for 10 sec, increasing healing received by 60%. If the target would die, the Spirit sacrifices itself and restores the target to 40% health.\n\nCastable while stunned. Cannot save the target from massive damage.
Priest	Holy	257	Apotheosis	200183	talent-active	TraitNodeEntry	true	120	Cooldown	spec		82614	103748	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Reset the cooldown of your Holy Words, and enter a pure Holy form for 20 sec, increasing the cooldown reductions to your Holy Words by 200% and reducing their cost by 70%.
Priest	Holy	257	Mass Dispel	32375	talent-active	TraitNodeEntry	true	120	Cooldown	class		109890	136157	1	Utility	Class 3 (Tag)	cdm-only:CooldownSetSpell		api	Dispels magic in a 15 yard radius, removing all harmful Magic from 5 friendly targets and 1 beneficial Magic effect from 5 enemy targets. Potent enough to remove Magic that is normally undispellable.
Priest	Holy	257	Power Infusion	10060	talent-active	TraitNodeEntry	true	120	Cooldown	class		82556	103834	1	Buff/Essential	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Infuses the target with power for 15 sec, increasing haste by 20%.\n\nCan only be cast on players.
Priest	Holy	257	Desperate Prayer	19236	talent-active	TraitNodeEntry	true	90	Cooldown	class		109012	134846	1	Buff/Utility	Self-Heal 1	cdm-only:CooldownSetSpell		api	Increases maximum health by 25% for 10 sec, and instantly heals you for that amount.
Priest	Holy	257	Halo	120644	talent-active	TraitNodeEntry	true	60	Cooldown	hero	Archon	94697	117300	1	Essential	Rotational 8	talent-active:TraitNodeEntry;cdm-only:CooldownSetSpell		api	Creates a ring of Shadow energy around you that quickly expands to a 40 yd radius, healing allies for 610 and dealing 537 Shadow damage to enemies. Healing reduced beyond 6 targets.
Priest	Holy	257	Holy Word: Chastise	88625	talent-active	TraitNodeEntry	true	60	Cooldown	spec		82639	103776	1	Buff/Essential	Interrupt	cdm-only:CooldownSetSpell		api	Chastises the target for 1,491 Holy damage and incapacitates them for 4 sec.
Priest	Holy	257	Psychic Scream	8122	talent-active	TraitNodeEntry	true	40	Rotational	class		82701	103851	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Lets out a psychic scream, causing all enemies within 8 yards to flee, disorienting them for 8 sec. Damage may interrupt the effect.
Priest	Holy	257	Fade	586	talent-active	TraitNodeEntry	true	30	Rotational	class		109015	134849	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Fade out, removing all your threat and reducing enemies' detection range against you for 10 sec.
Priest	Holy	257	Holy Fire	14914	talent-active	TraitNodeEntry	true	10	Rotational	class		108730	134283	1		Rotational 2			api	Consumes the enemy in Holy flames that cause 1,173 Holy damage and an additional 421 Holy damage over 7 sec.
Priest	Holy	257	Leap of Faith	73325	talent-active	TraitNodeEntry	true	1	Rotational	class		82715	103867	1	Utility	Immune/Spell Immune/Movement	cdm-only:CooldownSetSpell		api	Pulls the spirit of a party or raid member, instantly moving them directly in front of you.
Priest	Holy	257	Angelic Feather	121536	talent-active	TraitNodeEntry	true	0	Rotational	class		82703	103853	1	Buff/Other/Utility	Movement Ability	cdm-only:CooldownSetSpell		api	Places a feather at the target location, granting the first ally to walk through it 40% increased movement speed for 5 sec. Only 3 feathers can be placed at one time.
Priest	Holy	257	Dispel Magic	528	talent-active	TraitNodeEntry	true	0	Rotational	class		109009	103677	1		Class 5 (Purge)			api	Dispels Magic on the enemy target, removing 1 beneficial Magic effect.
Priest	Holy	257	Holy Nova	132157	talent-active	TraitNodeEntry	true	0	Rotational	class		82718	103870	1	Essential	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	An explosion of holy light around you deals up to 156 Holy damage to enemies and up to 119 healing to allies within 12 yds, reduced if there are more than 5 targets.
Priest	Holy	257	Holy Word: Sanctify	34861	talent-active	TraitNodeEntry	true	0	Rotational	spec		82631	103766	1	Essential	Rotational 7	cdm-only:CooldownSetSpell		api	Releases miraculous light at a target location, healing up to 5 allies within 10 yds for 2,244.\n\nCooldown reduced by 6 sec when you cast Prayer of Healing.
