class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Priest	Shadow	258	Mass Dispel	32375	talent-active	TraitNodeEntry	true	120	Cooldown	class		109890	136157	1	Utility	Class 3 (Tag)	cdm-only:CooldownSetSpell		api	Dispels magic in a 15 yard radius, removing all harmful Magic from 5 friendly targets and 1 beneficial Magic effect from 5 enemy targets. Potent enough to remove Magic that is normally undispellable.
Priest	Shadow	258	Power Infusion	10060	talent-active	TraitNodeEntry	true	120	Cooldown	class		82556	103834	1	Buff/Essential	Cooldown 2	cdm-only:CooldownSetSpell		api	Infuses the target with power for 15 sec, increasing haste by 20%.\n\nCan only be cast on players.
Priest	Shadow	258	Voidform	228260	talent-active	TraitNodeEntry	true	120	Cooldown	spec		82657	103674	1	Essential/Other	Cooldown 1	cdm-only:CooldownSetSpell		api	Bombards your target with a Void Volley and twists your Shadowform with void magic, increasing your spell damage by 20% for 20 sec. \n\nThis spell is replaced with Void Volley while Voidform is active.\n\n Void Volley\nReleases a volley of pure void energy, firing 10 bolts at your target and 1 bolt at all enemies within 10 yards of your target for 402 Shadow damage.\n\nGenerates 10 Insanity.
Priest	Shadow	258	Desperate Prayer	19236	talent-active	TraitNodeEntry	true	90	Cooldown	class		109012	134846	1	Buff/Utility	Self-Heal 1	cdm-only:CooldownSetSpell		api	Increases maximum health by 25% for 10 sec, and instantly heals you for that amount.
Priest	Shadow	258	Halo	120644	talent-active	TraitNodeEntry	true	60	Cooldown	hero	Archon	94697	117300	1	Essential		talent-active:TraitNodeEntry;cdm-only:CooldownSetSpell		api	Creates a ring of Shadow energy around you that quickly expands to a 40 yd radius, healing allies for 603 and dealing 560 Shadow damage to enemies. Healing reduced beyond 6 targets.
Priest	Shadow	258	Psychic Scream	8122	talent-active	TraitNodeEntry	true	40	Rotational	class		82701	103851	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Lets out a psychic scream, causing all enemies within 8 yards to flee, disorienting them for 8 sec. Damage may interrupt the effect.
Priest	Shadow	258	Fade	586	talent-active	TraitNodeEntry	true	30	Rotational	class		109015	134849	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Fade out, removing all your threat and reducing enemies' detection range against you for 10 sec.
Priest	Shadow	258	Void Torrent	263165	talent-active	TraitNodeEntry	true	30	Rotational	hero	Voidweaver	94684	117287	1	Essential		class-baseline:SkillLineAbility:804;cdm-only:CooldownSetSpell		api	Channel a torrent of void energy into the target, dealing 3,930 Shadow damage over 3 sec and tearing open an Entropic Rift.\n\n Entropic Rift\nMind Blast tears open an Entropic Rift that follows the enemy for 8 sec. Enemies caught in its path suffer 228 Shadow damage every 0.9 sec while within its reach.\n\nGenerates 24 Insanity over the duration.
Priest	Shadow	258	Purify Disease	213634	talent-active	TraitNodeEntry	true	8	Rotational	class		82704	103854	1	Utility	Class 6 (Dispel)	cdm-only:CooldownSetSpell		api	Removes all Disease effects from a friendly target.
Priest	Shadow	258	Leap of Faith	73325	talent-active	TraitNodeEntry	true	1	Rotational	class		82715	103867	1	Utility	Immune/Spell Immune/Movement	cdm-only:CooldownSetSpell		api	Pulls the spirit of a party or raid member, instantly moving them directly in front of you.
