class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Rogue	Assassination	259	Blind	2094	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		90684	112572	1	Buff/Utility	Class 2 (CC)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Blinds the target, causing it to wander disoriented for 1 min. Damage may interrupt the effect. Limit 1.
Rogue	Assassination	259	Cloak of Shadows	31224	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		90697	112585	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Provides a moment of magic immunity, instantly removing all harmful spell effects. The cloak lingers, causing you to resist harmful spells for 5 sec.
Rogue	Assassination	259	Deathmark	360194	talent-active	TraitNodeEntry	true	120	0	Cooldown	spec		90769	112662	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Carve a deathmark into an enemy, dealing 125 Bleed damage and restoring 80 Energy to you over 16 sec. Damage dealt to the target by your Garrote, Rupture, and Lethal Poisons is increased by 100%.\n\nEach time you apply a Lethal Poison to the target, apply it twice.
Rogue	Assassination	259	Evasion	5277	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		90762	112654	1	Buff/Utility	Personal Defensive 1	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Increases your dodge chance by 100% for 10 sec.
Rogue	Assassination	259	Kingsbane	385627	talent-active	TraitNodeEntry	true	60	0	Cooldown	spec		90770	112663	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Release a powerful poison from your weapons and inject it into your target, dealing 60 Nature damage instantly and an additional 71 Nature damage over 14 sec. \n\nEach time you apply a Lethal Poison to a target affected by Kingsbane, Kingsbane damage increases by 20%, up to 1,000%.\n\nAwards 1 combo point.
Rogue	Assassination	259	Thistle Tea	381623	talent-active	TraitNodeEntry	true	1	0	Rotational	class		90756	112648	1	Essential	Self-Heal 2	cdm-only:CooldownSetSpell		api	Restore 100 Energy.\n\nWhen your Energy is reduced below 30, drink a Thistle Tea.
Rogue	Assassination	259	Amplifying Poison	381664	talent-active	TraitNodeEntry	true	0	1.5	Rotational	spec		90777	112670	1	Buff		cdm-only:CooldownSetSpell		api	Coats your weapons with a Lethal Poison that lasts for 1 hour. Each strike has a 30% chance to poison the enemy, dealing 2 Nature damage and applying Amplifying Poison for 12 sec. Envenom can consume 10 stacks of Amplifying Poison to deal 35% increased damage. Max 20 stacks.
Rogue	Assassination	259	Crimson Tempest	1247227	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		94557	117139	1	Essential		cdm-only:CooldownSetSpell		api	Slash all enemies within 10 yds dealing 38 damage. Deals reduced damage beyond 5 targets.\n\nCopy the longest Garrote and Rupture on the enemies you hit onto up to 2 other enemies. \n\nAwards 1 combo point.
Rogue	Assassination	259	Deadly Poison	2823	talent-active	TraitNodeEntry	true	0	1.5	Rotational	spec		90783	112676	1	Buff		class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Coats your weapons with a Lethal Poison that lasts for 1 hour. Each strike has a 30% chance to poison the enemy for 27 Nature damage over 12 sec. Subsequent poison applications will instantly deal 2 Nature damage.
Rogue	Assassination	259	Shiv	5938	talent-active	TraitNodeEntry	true	0	0	Rotational	class		90740	112630	1	Utility	Class 5 (Purge)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Attack with your off-hand, dealing 2 Physical damage, dispelling all enrage effects and applying a concentrated form of your active Non-Lethal poison.\n\nAwards 1 combo point.
Rogue	Assassination	259	Tricks of the Trade	57934	talent-choice	TraitNodeEntry	true	30	0	Rotational	class		90686	112574	1	Buff/Utility	Class 7 (Raid Defensive)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Redirects all threat you cause to the targeted party or raid member, beginning with your next damaging attack within the next 30 sec and lasting 6 sec.
Rogue	Assassination	259	Gouge	1776	talent-choice	TraitNodeEntry	true	25	0	Rotational	class		90741	112631	1	Buff/Utility	Slow	cdm-only:CooldownSetSpell		api	Gouges the eyes of an enemy target, incapacitating for 4 sec. Damage may interrupt the effect.\n\nMust be in front of your target.\n\nAwards 1 combo point.
Rogue	Assassination	259	Atrophic Poison	381637	talent-choice	TraitNodeEntry	true	0	1.5	Rotational	class		90763	112655	1	Buff		cdm-only:CooldownSetSpell		api	Coats your weapons with a Non-Lethal Poison that lasts for 1 hour. Each strike has a 30% chance of poisoning the enemy, reducing their damage by 3.0% for 10 sec.
