class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Rogue	Outlaw	260	Keep It Rolling	381989	talent-active	TraitNodeEntry	true	360	Cooldown	spec		90652	112538	1	Essential		cdm-only:CooldownSetSpell		api	Increase the remaining duration of your active Roll the Bones combat enhancement by 30 sec.
Rogue	Outlaw	260	Preparation	1277933	talent-active	TraitNodeEntry	true	240	Cooldown	spec		90665	112552	1	Essential		cdm-only:CooldownSetSpell		api	Immediately reset the cooldowns of Adrenaline Rush, Between the Eyes, Blade Flurry, Blade Rush, and Killing Spree.
Rogue	Outlaw	260	Adrenaline Rush	13750	talent-active	TraitNodeEntry	true	180	Cooldown	spec		90659	112545	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Increases your Energy regeneration rate by 75%, your maximum Energy by 50, and your attack speed by 20% for 15 sec.
Rogue	Outlaw	260	Killing Spree	51690	talent-active	TraitNodeEntry	true	180	Cooldown	spec		94565	117148	1	Essential		cdm-only:CooldownSetSpell		api	Finishing move that unleashes a barrage of gunfire, striking random enemies within 8 yards for Physical damage. Number of strikes increased per combo point.\n\nRestores 1 combo point every 0.45 sec. Each combo point spent above 5 increases damage by 15%.\n\n   1 point  : 315 over 0.45 sec\n   2 points: 472 over 0.89 sec\n   3 points: 629 over 1.34 sec\n   4 points: 786 over 1.78 sec\n   5 points: 944 over 2.23 sec
Rogue	Outlaw	260	Blind	2094	talent-active	TraitNodeEntry	true	120	Cooldown	class		90684	112572	1	Buff/Utility	Class 2 (CC)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Blinds the target, causing it to wander disoriented for 1 min. Damage may interrupt the effect. Limit 1.
Rogue	Outlaw	260	Cloak of Shadows	31224	talent-active	TraitNodeEntry	true	120	Cooldown	class		90697	112585	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Provides a moment of magic immunity, instantly removing all harmful spell effects. The cloak lingers, causing you to resist harmful spells for 5 sec.
Rogue	Outlaw	260	Evasion	5277	talent-active	TraitNodeEntry	true	120	Cooldown	class		90762	112654	1	Buff/Utility	Personal Defensive 1	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Increases your dodge chance by 100% for 10 sec.
Rogue	Outlaw	260	Blade Rush	271877	talent-active	TraitNodeEntry	true	60	Cooldown	spec		90649	112535	1	Buff/Essential	Movement Ability 2	cdm-only:CooldownSetSpell		api	Charge to your target with your blades out, dealing 297 Physical damage to the target and 133 to all other nearby enemies. Damage reduced beyond 8 targets.\n\nWhile Blade Flurry is active, damage to non-primary targets is increased by 100%.\n\nGenerates 25 Energy over 5 sec.
Rogue	Outlaw	260	Shiv	5938	talent-active	TraitNodeEntry	true	0	Rotational	class		90740	112630	1	Utility	Class 5 (Purge)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Attack with your off-hand, dealing 2 Physical damage, dispelling all enrage effects and applying a concentrated form of your active Non-Lethal poison.\n\nAwards 1 combo point.
Rogue	Outlaw	260	Tricks of the Trade	57934	talent-choice	TraitNodeEntry	true	30	Rotational	class		90686	112574	1	Buff/Utility	Class 7 (Raid Defensive)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Redirects all threat you cause to the targeted party or raid member, beginning with your next damaging attack within the next 30 sec and lasting 6 sec.
Rogue	Outlaw	260	Gouge	1776	talent-choice	TraitNodeEntry	true	25	Rotational	class		90741	112631	1	Buff/Utility	Slow	cdm-only:CooldownSetSpell		api	Gouges the eyes of an enemy target, incapacitating for 4 sec. Damage may interrupt the effect.\n\nMust be in front of your target.\n\nAwards 1 combo point.
Rogue	Outlaw	260	Thistle Tea	381623	talent-choice	TraitNodeEntry	true	1	Rotational	class		90756	112648	1	Essential	Self-Heal 2	talent-choice:TraitNodeEntry;cdm-only:CooldownSetSpell		api	Restore 100 Energy.\n\nWhen your Energy is reduced below 30, drink a Thistle Tea.
Rogue	Outlaw	260	Atrophic Poison	381637	talent-choice	TraitNodeEntry	true	0	Rotational	class		90763	112655	1	Buff		cdm-only:CooldownSetSpell		api	Coats your weapons with a Non-Lethal Poison that lasts for 1 hour. Each strike has a 30% chance of poisoning the enemy, reducing their damage by 4.0% for 1 min.
Rogue	Outlaw	260	Numbing Poison	5761	talent-choice	TraitNodeEntry	true	0	Rotational	class		90763	112656	1	Buff		class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Coats your weapons with a Non-Lethal Poison that lasts for 1 hour. Each strike has a 30% chance of poisoning the enemy, clouding their mind and slowing their attack and casting speed by 15% for 10 sec.
Rogue	Outlaw	260	Shroud of Concealment	114018	class-baseline	SkillLineAbility:921	true	360	Cooldown						Buff/Utility	Class 8 (Lust/BRes)	cdm-only:CooldownSetSpell		api	Extend a cloak that shrouds party and raid members within 30 yards in shadows, providing stealth for 15 sec.
Rogue	Outlaw	260	Sprint	2983	class-baseline	SkillLineAbility:921	true	120	Cooldown						Buff/Utility	Movement Ability	cdm-only:CooldownSetSpell		api	Increases your movement speed by 70% for 8 sec. Usable while stealthed.
Rogue	Outlaw	260	Between the Eyes	315341	class-baseline	SpecializationSpells	true	45	Cooldown						Buff/Essential	Rotational 4	cdm-only:CooldownSetSpell		api	Finishing move that blasts your target with your pistol, dealing Physical damage and increasing your damage dealt by 4%. Multiple instances of this bonus can overlap.\n   1 point : 18 damage, 4 sec\n   2 points: 37 damage, 6 sec\n   3 points: 55 damage, 8 sec\n   4 points: 74 damage, 10 sec\n   5 points: 92 damage, 12 sec
