class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Shaman	Elemental	262	Ascendance	114050	talent-active	TraitNodeEntry	true	180	Cooldown	spec		80989	101860	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Transform into a Flame Ascendant for 15 sec, instantly casting a Flame Shock and a 100% effectiveness Lava Burst at up to 6 nearby enemies.\n\nWhile ascended, Elemental Overload damage is increased by 75% and spells affected by your Mastery: Elemental Overload cause 1 additional Elemental Overload.
Shaman	Elemental	262	Earth Elemental	198103	talent-active	TraitNodeEntry	true	180	Cooldown	class		103585	127858	1	Buff/Utility	Personal Defensive 2	cdm-only:CooldownSetSpell		api	Calls forth a Greater Earth Elemental to protect you and your allies, generating high threat and taunting enemies periodically for 30 sec.
Shaman	Elemental	262	Astral Shift	108271	talent-active	TraitNodeEntry	true	120	Cooldown	class		103616	127893	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Shift partially into the elemental planes, taking 40% less damage for 12 sec.
Shaman	Elemental	262	Spiritwalker's Grace	79206	talent-active	TraitNodeEntry	true	120	Cooldown	class		103584	127857	1	Buff/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Calls upon the guidance of the spirits for 15 sec, permitting movement while casting Shaman spells. Castable while casting.
Shaman	Elemental	262	Wind Rush Totem	192077	talent-active	TraitNodeEntry	true	120	Cooldown	class		103627	127909	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Summons a totem at the target location for 15 sec, continually granting all allies who pass within 10 yards 40% increased movement speed for 5 sec.
Shaman	Elemental	262	Capacitor Totem	192058	talent-active	TraitNodeEntry	true	60	Cooldown	class		103579	127851	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Summons a totem at the target location that gathers electrical energy from the surrounding air and explodes after 2 sec, stunning all enemies within 8 yards for 3 sec.
Shaman	Elemental	262	Nature's Swiftness	378081	talent-active	TraitNodeEntry	true	60	Cooldown	class		103620	127899	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Your next healing or damaging Nature spell is instant cast and costs no mana.
Shaman	Elemental	262	Stormkeeper	191634	talent-active	TraitNodeEntry	true	60	Cooldown	spec		80988	101859	1	Buff/Essential	Cooldown 2	class-baseline:SkillLineAbility:924;cdm-only:CooldownSetSpell		api	Charge yourself with lightning, causing your next 2 Lightning Bolts to deal 150% more damage, and also causes your next 2 Lightning Bolts or Chain Lightings to be instant cast and trigger an Elemental Overload on every target.
Shaman	Elemental	262	Ancestral Swiftness	443454	talent-active	TraitNodeEntry	true	30	Rotational	hero	Farseer	94894	117491	1	Buff		cdm-only:CooldownSetSpell		api	Your next healing or damaging spell is instant, costs no mana, and deals 10% increased damage and healing.\n\nIf you know Nature's Swiftness, it is replaced by Ancestral Swiftness and causes Ancestral Swiftness to call an Ancestor to your side for 8 sec.
Shaman	Elemental	262	Earthgrab Totem	51485	talent-active	TraitNodeEntry	true	30	Rotational	class		103622	127902	1		Slow			api	Summons a totem at the target location for 20 sec. The totem pulses every 2 sec, rooting all enemies within 8 yards for 8 sec. Enemies previously rooted by the totem instead suffer 50% movement speed reduction.
