class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Shaman	Enhancement	263	Earth Elemental	198103	talent-active	TraitNodeEntry	true	180	Cooldown	class		103585	127858	1	Buff/Utility	Personal Defensive 2	cdm-only:CooldownSetSpell		api	Calls forth a Greater Earth Elemental to protect you and your allies, generating high threat and taunting enemies periodically for 30 sec.
Shaman	Enhancement	263	Astral Shift	108271	talent-active	TraitNodeEntry	true	120	Cooldown	class		103616	127893	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Shift partially into the elemental planes, taking 40% less damage for 12 sec.
Shaman	Enhancement	263	Spiritwalker's Grace	79206	talent-active	TraitNodeEntry	true	120	Cooldown	class		103584	127857	1					api	Calls upon the guidance of the spirits for 15 sec, permitting movement while casting Shaman spells. Castable while casting.
Shaman	Enhancement	263	Wind Rush Totem	192077	talent-active	TraitNodeEntry	true	120	Cooldown	class		103627	127909	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Summons a totem at the target location for 15 sec, continually granting all allies who pass within 10 yards 40% increased movement speed for 5 sec.
Shaman	Enhancement	263	Capacitor Totem	192058	talent-active	TraitNodeEntry	true	60	Cooldown	class		103579	127851	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Summons a totem at the target location that gathers electrical energy from the surrounding air and explodes after 2 sec, stunning all enemies within 8 yards for 3 sec.
Shaman	Enhancement	263	Doom Winds	384352	talent-active	TraitNodeEntry	true	60	Cooldown	spec		80959	101824	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Unleash a devastating storm around yourself, dealing 42 Stormstrike damage every 1 sec to nearby enemies for 8 sec.\n\nIncreases your chance to activate Windfury Weapon by 100%, and the damage of Windfury Weapon by 20%.
Shaman	Enhancement	263	Nature's Swiftness	378081	talent-active	TraitNodeEntry	true	60	Cooldown	class		103620	127899	1	Buff		cdm-only:CooldownSetSpell		api	Your next healing or damaging Nature spell is instant cast and costs no mana.
Shaman	Enhancement	263	Earthgrab Totem	51485	talent-active	TraitNodeEntry	true	30	Rotational	class		103622	127902	1		Slow			api	Summons a totem at the target location for 20 sec. The totem pulses every 2 sec, rooting all enemies within 8 yards for 8 sec. Enemies previously rooted by the totem instead suffer 50% movement speed reduction.
Shaman	Enhancement	263	Hex	51514	talent-active	TraitNodeEntry	true	30	Rotational	class		103623	127903	1	Buff/Utility	Class 3 (Tag)	class-baseline:SkillLineAbility:924;cdm-only:CooldownSetSpell		api	Transforms the enemy into a frog for 1 min. While hexed, the victim is incapacitated, and cannot attack or cast spells. Damage may cancel the effect. Limit 1. Only works on Humanoids and Beasts.
Shaman	Enhancement	263	Sundering	197214	talent-active	TraitNodeEntry	true	30	Rotational	spec		80975	101841	1	Essential		cdm-only:CooldownSetSpell		api	Shatters a line of earth in front of you with your main hand weapon, causing 89 Flamestrike damage to any enemy hit.
Shaman	Enhancement	263	Surging Totem	444995	talent-active	TraitNodeEntry	true	25	Rotational	hero	Totemic	94877	117474	1	Essential		cdm-only:CooldownSetSpell		api	Summons a totem at the target location that creates a Tremor immediately and every 5.4 sec for 42 Flamestrike damage. Damage reduced beyond 5 targets. Lasts 25 sec.
Shaman	Enhancement	263	Lava Lash	60103	talent-active	TraitNodeEntry	true	18	Rotational	class		109389	135593	1	Essential	Rotational 2	cdm-only:CooldownSetSpell		api	Charges your off-hand weapon with lava and burns your target, dealing 4 Fire damage.\n\nDamage is increased by 100% if your offhand weapon is imbued with Flametongue Weapon.
