class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Shaman	Restoration	264	Earth Elemental	198103	talent-active	TraitNodeEntry	true	180	0	Cooldown	class		103585	127858	1	Buff/Utility	Personal Defensive 2	cdm-only:CooldownSetSpell		api	Calls forth a Greater Earth Elemental to protect you and your allies, generating high threat and taunting enemies periodically for 30 sec.
Shaman	Restoration	264	Astral Shift	108271	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		103616	127893	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Shift partially into the elemental planes, taking 40% less damage for 12 sec.
Shaman	Restoration	264	Spiritwalker's Grace	79206	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		103584	127857	1	Other/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Calls upon the guidance of the spirits for 15 sec, permitting movement while casting Shaman spells. Castable while casting.
Shaman	Restoration	264	Wind Rush Totem	192077	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		103627	127909	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Summons a totem at the target location for 15 sec, continually granting all allies who pass within 10 yards 40% increased movement speed for 5 sec.
Shaman	Restoration	264	Capacitor Totem	192058	talent-active	TraitNodeEntry	true	60	0	Cooldown	class		103579	127851	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Summons a totem at the target location that gathers electrical energy from the surrounding air and explodes after 2 sec, stunning all enemies within 8 yards for 3 sec.
Shaman	Restoration	264	Nature's Swiftness	378081	talent-active	TraitNodeEntry	true	60	0	Cooldown	class		103620	127899	1	Buff/Essential	Rotational 8	cdm-only:CooldownSetSpell		api	Your next healing or damaging Nature spell is instant cast and costs no mana.
Shaman	Restoration	264	Ancestral Swiftness	443454	talent-active	TraitNodeEntry	true	30	0	Rotational	hero	Farseer	94894	117491	1					api	Your next healing or damaging spell is instant, costs no mana, and deals 10% increased damage and healing.\n\nIf you know Nature's Swiftness, it is replaced by Ancestral Swiftness and causes Ancestral Swiftness to call an Ancestor to your side for 8 sec.
Shaman	Restoration	264	Earthgrab Totem	51485	talent-active	TraitNodeEntry	true	30	0	Rotational	class		103622	127902	1		Slow			api	Summons a totem at the target location for 20 sec. The totem pulses every 2 sec, rooting all enemies within 8 yards for 8 sec. Enemies previously rooted by the totem instead suffer 50% movement speed reduction.
Shaman	Restoration	264	Hex	51514	talent-active	TraitNodeEntry	true	30	1.7	Rotational	class		103623	127903	1	Buff/Utility	Class 3 (Tag)	class-baseline:SkillLineAbility:924;cdm-only:CooldownSetSpell		api	Transforms the enemy into a frog for 1 min. While hexed, the victim is incapacitated, and cannot attack or cast spells. Damage may cancel the effect. Limit 1. Only works on Humanoids and Beasts.
Shaman	Restoration	264	Surging Totem	444995	talent-active	TraitNodeEntry	true	25	0	Rotational	hero	Totemic	94877	117474	1	Essential		cdm-only:CooldownSetSpell		api	Summons a totem at the target location that creates a Tremor immediately and every 5.4 sec for 42 Flamestrike damage. Damage reduced beyond 5 targets. Lasts 25 sec.
Shaman	Restoration	264	Healing Rain	73920	talent-active	TraitNodeEntry	true	18	2	Rotational	spec		81040	101923	1	Essential/Other	Cooldown 2	cdm-only:CooldownSetSpell		api	Blanket the target area in healing rains, restoring 2,289 health to up to 5 allies over 18 sec.
Shaman	Restoration	264	Wind Shear	57994	talent-active	TraitNodeEntry	true	12	0	Rotational	class		103615	127892	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Disrupts the target's concentration with a burst of wind, interrupting spellcasting and preventing any spell in that school from being cast for 4 sec.
Shaman	Restoration	264	Totemic Projection	108287	talent-active	TraitNodeEntry	true	10	0	Rotational	class		109386	135590	1	Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Relocates your active totems to the specified location.
Shaman	Restoration	264	Chain Heal	1064	talent-active	TraitNodeEntry	true	0	2	Rotational	class		103588	127861	1	Essential	Rotational 7	cdm-only:CooldownSetSpell		api	Heals the friendly target for 875, then jumps up to 20 yards to heal the 3 most injured nearby allies. Healing is reduced by 30% with each jump.
Shaman	Restoration	264	Chain Lightning	188443	talent-active	TraitNodeEntry	true	0	2	Rotational	class		103583	127856	1		Rotational 4			api	Hurls a lightning bolt at the enemy, dealing 278 Nature damage and then jumping to additional nearby enemies. Affects 3 total targets
Shaman	Restoration	264	Earth Shield	974	talent-active	TraitNodeEntry	true	0	0	Rotational	class		103596	127871	1		Self-Heal 4 (Emergency/Overflow)			api	Protects the target with an earthen shield, increasing your healing on them by 20% and healing them for 332 when they take damage. This heal can only occur once every 3 sec. Maximum 9 charges.\n\nEarth Shield can only be placed on one target at a time. Only one Elemental Shield can be active on the Shaman.
Shaman	Restoration	264	Earthliving Weapon	382021	talent-active	TraitNodeEntry	true	0	0	Rotational	spec		81049	101935	1					api	Imbue your weapon with the element of Earth for 1 hour. Your Riptide, Healing Wave, and Chain Heal healing has a 20% chance to trigger Earthliving on the target, healing for 591 over 6 sec.
