class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Warlock	Affliction	265	Fel Domination	333889	talent-active	TraitNodeEntry	true	180	Cooldown	class		71931	91439	1	Buff/Utility	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell		api	Your next Imp, Voidwalker, Incubus, Succubus, Felhunter, or Felguard Summon spell is free and has its casting time reduced by 90%.
Warlock	Affliction	265	Summon Darkglare	205180	talent-active	TraitNodeEntry	true	120	Cooldown	spec		72034	91554	1	Essential/Other	Cooldown 1	cdm-only:CooldownSetSpell		api	Summons a Darkglare from the Twisting Nether that increases the damage of your Agony, Corruption, and Unstable Affliction by 20% while active.\n\nThe Darkglare will serve you for 20 sec, blasting its target for 1,874 Shadow damage, increased by 10% for every damage over time effect you have active on their current target.
Warlock	Affliction	265	Dark Harvest	1257052	talent-active	TraitNodeEntry	true	60	Cooldown	spec		109860	136120	1	Essential		cdm-only:CooldownSetSpell		api	Consume the life force of each target afflicted by your damaging periodic effects, dealing 12,764 Shadowflame damage over 2.7 sec.\n\nDamage dealt by Dark Harvest heals you for 50% of damage done.
Warlock	Affliction	265	Dark Pact	108416	talent-active	TraitNodeEntry	true	60	Cooldown	class		71936	91444	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Sacrifices 20% of your current health to shield you for 200% of the sacrificed health plus an additional 950 for 20 sec. Usable while suffering from control impairing effects.
Warlock	Affliction	265	Malevolence	442726	talent-active	TraitNodeEntry	true	60	Cooldown	hero	Hellcaller	94842	117439	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Dark magic erupts from you and corrupts your soul for 20 sec, causing enemies suffering from your Wither to take 4,808 Shadowflame damage and increase its stack count by 6.\n\nWhile corrupted your Haste is increased by 8% and spending Soul Shards on damaging spells grants 1 additional stack of Wither.
Warlock	Affliction	265	Mortal Coil	6789	talent-active	TraitNodeEntry	true	45	Cooldown	class		71942	91452	1	Buff/Utility	Self-Heal 2	cdm-only:CooldownSetSpell		api	Horrifies an enemy target into fleeing, incapacitating for 3 sec and healing you for 20% of maximum health.
Warlock	Affliction	265	Haunt	48181	talent-active	TraitNodeEntry	true	15	Rotational	spec		72032	91552	1	Buff/Essential	Rotational 4	cdm-only:CooldownSetSpell		api	A ghostly soul haunts a single target, dealing 2,726 Shadow damage and increasing your damage dealt to the target by 16% for 18 sec.\n\nIf the target dies, Haunt's cooldown is reset.
Warlock	Affliction	265	Demonic Gateway	111771	talent-active	TraitNodeEntry	true	10	Rotational	class		71955	91466	1	Utility	Movement Ability 2	cdm-only:CooldownSetSpell		api	Creates a demonic gateway between two locations. Activating the gateway transports the user to the other gateway. Each player can use a Demonic Gateway only once per 90 sec.
Warlock	Affliction	265	Soulburn	385899	talent-active	TraitNodeEntry	true	6	Rotational	class		71957	91469	1	Buff	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Consumes a Soul Shard, unlocking the hidden power of your spells.\n\nDemonic Circle: Teleport: Increases your movement speed by 50% and makes you immune to snares and roots for 6 sec.\n\nDemonic Gateway: Can be cast instantly.\n\nDrain Life: Gain an absorb shield equal to the amount of healing done for 30 sec. This shield cannot exceed 30% of your maximum health.\n\nHealthstone: Increases the healing of your Healthstone by 30% and increases your maximum health by 20% for 12 sec.
Warlock	Affliction	265	Agony	980	talent-active	TraitNodeEntry	true	0	Rotational	spec		72049	91570	1	Buff/Essential	Rotational 2	cdm-only:CooldownSetSpell		api	Inflicts increasing agony on the target, causing up to 2,379 Shadow damage over 18 sec. Damage starts low and increases over the duration. Refreshing Agony maintains its current damage level.\n\nAgony damage sometimes generates 1 Soul Shard.
