class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Warlock	Demonology	266	Fel Domination	333889	talent-active	TraitNodeEntry	true	180	0	Cooldown	class		71931	91439	1	Buff/Utility	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell		api	Your next Imp, Voidwalker, Incubus, Succubus, Felhunter, or Felguard Summon spell is free and has its casting time reduced by 90%.
Warlock	Demonology	266	Summon Doomguard	1276672	talent-active	TraitNodeEntry	true	120	0	Cooldown	spec		101917	125863	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Summons a Doomguard to assist you in combat for 12 sec. Consuming a Demonic Core reduces the cooldown of Summon Doomguard by 3 sec.\n\n Doom Bolt Volley\nSends a volley of malefic bolts at 5 enemies within 40 yds, inflicting 1,562 Shadow damage to each target.
Warlock	Demonology	266	Dark Pact	108416	talent-active	TraitNodeEntry	true	60	0	Cooldown	class		71936	91444	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Sacrifices 20% of your current health to shield you for 200% of the sacrificed health plus an additional 950 for 20 sec. Usable while suffering from control impairing effects.
Warlock	Demonology	266	Summon Demonic Tyrant	265187	talent-active	TraitNodeEntry	true	60	2	Cooldown	spec		101905	125850	1	Essential/Other	Cooldown 1	cdm-only:CooldownSetSpell		api	Summon a Demonic Tyrant that damages your target for 15 sec. \n\nDamage dealt by Demonic Tyrant is increased by 10% for each Wild Imp and Dreadstalker active.
Warlock	Demonology	266	Mortal Coil	6789	talent-active	TraitNodeEntry	true	45	0	Cooldown	class		71942	91452	1	Buff/Utility	Self-Heal 2	cdm-only:CooldownSetSpell		api	Horrifies an enemy target into fleeing, incapacitating for 3 sec and healing you for 20% of maximum health.
Warlock	Demonology	266	Call Dreadstalkers	104316	talent-active	TraitNodeEntry	true	20	2	Rotational	spec		101894	125837	1	Essential/Other	Rotational 2	cdm-only:CooldownSetSpell		api	Summons 2 ferocious Dreadstalkers to attack the target for 12 sec.
Warlock	Demonology	266	Demonic Gateway	111771	talent-active	TraitNodeEntry	true	10	2	Rotational	class		71955	91466	1	Essential	Movement Ability 2	cdm-only:CooldownSetSpell		api	Creates a demonic gateway between two locations. Activating the gateway transports the user to the other gateway. Each player can use a Demonic Gateway only once per 90 sec.
Warlock	Demonology	266	Soulburn	385899	talent-active	TraitNodeEntry	true	6	0	Rotational	class		71957	91469	1	Buff	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Consumes a Soul Shard, unlocking the hidden power of your spells.\n\nDemonic Circle: Teleport: Increases your movement speed by 50% and makes you immune to snares and roots for 6 sec.\n\nDemonic Gateway: Can be cast instantly.\n\nDrain Life: Gain an absorb shield equal to the amount of healing done for 30 sec. This shield cannot exceed 30% of your maximum health.\n\nHealthstone: Increases the healing of your Healthstone by 30% and increases your maximum health by 20% for 12 sec.
Warlock	Demonology	266	Banish	710	talent-active	TraitNodeEntry	true	0	1.5	Rotational	class		71944	91454	1	Buff	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Banishes an enemy Demon, Aberration, or Elemental, preventing any action for 30 sec. Limit 1. Casting Banish again on the target will cancel the effect.
Warlock	Demonology	266	Burning Rush	111400	talent-active	TraitNodeEntry	true	0	0	Rotational	class		71949	91460	1		Movement Ability			api	Increases your movement speed by 50%, but also damages you for 4% of your maximum health every 1 sec. Movement impairing effects may not reduce you below 100% of normal movement speed. Lasts until canceled.
Warlock	Demonology	266	Curse of Exhaustion	334275	talent-active	TraitNodeEntry	true	0	0	Rotational	class		109847	136107	1	Buff	Slow	cdm-only:CooldownSetSpell		api	Reduces the target's movement speed by 50% for 12 sec.\n\nCurses: A warlock can only have one Curse active per target.
Warlock	Demonology	266	Curse of Tongues	1714	talent-active	TraitNodeEntry	true	0	0	Rotational	class		109846	136106	1	Buff	Class 2 (CC)	cdm-only:CooldownSetSpell		api	Forces the target to speak in Demonic, increasing the casting time of all spells by 30% for 1 min.\n\nCurses: A warlock can only have one Curse active per target.
Warlock	Demonology	266	Demonic Circle	268358	talent-active	TraitNodeEntry	true	0	0	Rotational	class		100941	124694	1		Immune/Spell Immune/Movement			api	Summons a Demonic Circle for 15 min. Cast Demonic Circle: Teleport to teleport to its location and remove all movement slowing effects.\n\nYou also learn:\n\n Demonic Circle: Teleport\nTeleports you to your Demonic Circle and removes all movement slowing effects.
Warlock	Demonology	266	Hand of Gul'dan	105174	talent-active	TraitNodeEntry	true	0	1.5	Rotational	spec		101891	125834	1	Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Calls down a demonic meteor full of Wild Imps which burst forth to attack the target.\n\nDeals up to 570 Shadowflame damage on impact to all enemies within 8 yds of the target and summons 3 Wild Imps.
Warlock	Demonology	266	Summon Felguard	30146	talent-active	TraitNodeEntry	true	0	6	Rotational	spec		109257	135319	1		Self-Heal 4 (Emergency/Overflow)			api	Summons a Felguard under your command as a powerful melee combatant.
Warlock	Demonology	266	Blight of Tongues	1271802	talent-choice	TraitNodeEntry	true	120	0	Cooldown	class		109848	136738	1	Buff/Essential	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Call forth a cloud of cloying shadow mist that envelopes the target and all enemies within 10 yds, increasing their casting time of all spells by 100% for 12 sec.\n\nCurses: A warlock can only have one Curse or Blight active per target.
Warlock	Demonology	266	Blight of Weakness	1271748	talent-choice	TraitNodeEntry	true	120	0	Cooldown	class		109848	136108	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Call forth a cloud of cloying shadow mist that envelopes the target and all enemies within 10 yds, increasing the time between their attacks by 100% and reducing their critical strike chance by 10% for 12 sec.\n\nCurses: A warlock can only have one Curse or Blight active per target.
Warlock	Demonology	266	Grimoire: Fel Ravager	1276467	talent-choice	TraitNodeEntry	true	120	0	Cooldown	spec		110197	136725	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Summons a Fel Ravager to assist you in combat for 20 sec and will purge 1 beneficial magic effect from an enemy.\n\nTurns into Devour Magic while on cooldown.
Warlock	Demonology	266	Grimoire: Imp Lord	1276452	talent-choice	TraitNodeEntry	true	120	0	Cooldown	spec		110197	136726	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Summons an Imp Lord to assist you in combat for 20 sec and will remove 1 harmful effect from you when summoned. \n\nTransforms into Singe Magic while on cooldown.
Warlock	Demonology	266	Shadowfury	30283	talent-choice	TraitNodeEntry	true	60	1.5	Cooldown	class		71947	91457	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Stuns all enemies within 8 yds for 3 sec.
Warlock	Demonology	266	Howl of Terror	5484	talent-choice	TraitNodeEntry	true	40	0	Rotational	class		71947	91458	1	Buff/Utility		cdm-only:CooldownSetSpell		api	Let loose a terrifying howl, causing 5 enemies within 10 yds to flee in fear, disorienting them for 20 sec. Damage may cancel the effect.
Warlock	Demonology	266	Power Siphon	264130	talent-choice	TraitNodeEntry	true	30	0	Rotational	spec		101893	136731	1	Essential		cdm-only:CooldownSetSpell		api	Instantly sacrifice up to 2 Wild Imps, generating 2 charges of Demonic Core that cause Demonbolt to deal 30% additional damage.
Warlock	Demonology	266	Implosion	196277	talent-choice	TraitNodeEntry	true	15	0	Rotational	spec		101893	125836	1	Essential		cdm-only:CooldownSetSpell		api	Demonic forces suck 6 of your Wild Imps toward the target, and then cause them to violently explode, dealing 510 Shadowflame damage to all enemies within 8 yards.
Warlock	Demonology	266	Ritual of Doom	342601	class-baseline	SkillLineAbility:849	true	3600	0	Cooldown										api	Begins a ritual that sacrifices a random participant to summon a doomguard. Requires the caster and 4 additional party members to complete the ritual.
Warlock	Demonology	266	Soulstone	20707	class-baseline	SkillLineAbility:849	true	600	3	Cooldown						Utility	Class 8 (Lust/BRes)	cdm-only:CooldownSetSpell		api	Stores the soul of the target party or raid member, allowing resurrection upon death. Targets resurrect with 60% health and at least 20% mana.
Warlock	Demonology	266	Unending Resolve	104773	class-baseline	SkillLineAbility:849	true	180	0	Cooldown						Buff/Utility	Personal Defensive 2	cdm-only:CooldownSetSpell		api	Hardens your skin, reducing all damage you take by 25% and granting immunity to interrupt, silence, and pushback effects for 8 sec.
Warlock	Demonology	266	Create Soulwell	29893	class-baseline	SkillLineAbility:849	true	120	3	Cooldown						Utility		cdm-only:CooldownSetSpell		api	Creates a Soulwell for 2 min. Party and raid members can use the Soulwell to acquire a Healthstone.
