class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Warlock	Destruction	267	Fel Domination	333889	talent-active	TraitNodeEntry	true	180	Cooldown	class		71931	91439	1	Buff/Utility	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell		api	Your next Imp, Voidwalker, Incubus, Succubus, Felhunter, or Felguard Summon spell is free and has its casting time reduced by 90%.
Warlock	Destruction	267	Summon Infernal	1122	talent-active	TraitNodeEntry	true	120	Cooldown	spec		71985	91502	1	Essential/Other	Cooldown 1	cdm-only:CooldownSetSpell		api	Summons an Infernal from the Twisting Nether, impacting for 227 Fire damage and stunning all enemies in the area for 2 sec.\n\nThe Infernal will serve you for 30 sec, dealing 220 damage to all nearby enemies every 1.8 sec and generating 1 Soul Shard Fragment every 1 sec.
Warlock	Destruction	267	Dark Pact	108416	talent-active	TraitNodeEntry	true	60	Cooldown	class		71936	91444	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Sacrifices 20% of your current health to shield you for 200% of the sacrificed health plus an additional 950 for 20 sec. Usable while suffering from control impairing effects.
Warlock	Destruction	267	Malevolence	442726	talent-active	TraitNodeEntry	true	60	Cooldown	hero	Hellcaller	94842	117439	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Dark magic erupts from you and corrupts your soul for 20 sec, causing enemies suffering from your Wither to take 4,808 Shadowflame damage and increase its stack count by 6.\n\nWhile corrupted your Haste is increased by 8% and spending Soul Shards on damaging spells grants 1 additional stack of Wither.
Warlock	Destruction	267	Mortal Coil	6789	talent-active	TraitNodeEntry	true	45	Cooldown	class		71942	91452	1	Buff/Utility	Self-Heal 2	cdm-only:CooldownSetSpell		api	Horrifies an enemy target into fleeing, incapacitating for 3 sec and healing you for 20% of maximum health.
Warlock	Destruction	267	Cataclysm	152108	talent-active	TraitNodeEntry	true	30	Rotational	spec		71974	91488	1	Essential		cdm-only:CooldownSetSpell		api	Calls forth a cataclysm at the target location, dealing 1,364 Shadowflame damage to all enemies within 8 yards and afflicting them with Immolate.
Warlock	Destruction	267	Demonic Gateway	111771	talent-active	TraitNodeEntry	true	10	Rotational	class		71955	91466	1	Utility	Movement Ability 2	cdm-only:CooldownSetSpell		api	Creates a demonic gateway between two locations. Activating the gateway transports the user to the other gateway. Each player can use a Demonic Gateway only once per 90 sec.
Warlock	Destruction	267	Soulburn	385899	talent-active	TraitNodeEntry	true	6	Rotational	class		71957	91469	1	Buff		cdm-only:CooldownSetSpell		api	Consumes a Soul Shard, unlocking the hidden power of your spells.\n\nDemonic Circle: Teleport: Increases your movement speed by 50% and makes you immune to snares and roots for 6 sec.\n\nDemonic Gateway: Can be cast instantly.\n\nDrain Life: Gain an absorb shield equal to the amount of healing done for 30 sec. This shield cannot exceed 30% of your maximum health.\n\nHealthstone: Increases the healing of your Healthstone by 30% and increases your maximum health by 20% for 12 sec.
Warlock	Destruction	267	Banish	710	talent-active	TraitNodeEntry	true	0	Rotational	class		71944	91454	1	Buff		cdm-only:CooldownSetSpell		api	Banishes an enemy Demon, Aberration, or Elemental, preventing any action for 30 sec. Limit 1. Casting Banish again on the target will cancel the effect.
Warlock	Destruction	267	Burning Rush	111400	talent-active	TraitNodeEntry	true	0	Rotational	class		71949	91460	1	Buff	Movement Ability	cdm-only:CooldownSetSpell		api	Increases your movement speed by 50%, but also damages you for 4% of your maximum health every 1 sec. Movement impairing effects may not reduce you below 100% of normal movement speed. Lasts until canceled.
Warlock	Destruction	267	Chaos Bolt	116858	talent-active	TraitNodeEntry	true	0	Rotational	spec		110282	136835	1	Essential	Rotational 3	class-baseline:SkillLineAbility:849;cdm-only:CooldownSetSpell		api	Unleashes a devastating blast of chaos, dealing a critical strike for 3,237 Chaos damage. Damage is further increased by your critical strike chance.
Warlock	Destruction	267	Conflagrate	17962	talent-active	TraitNodeEntry	true	0	Rotational	spec		72068	91591	1	Essential	Rotational 2	cdm-only:CooldownSetSpell		api	Triggers an explosion on the target, dealing 1,351 Fire damage.\n\nGenerates 5 Soul Shard Fragments.
