class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Warrior	Fury	72	Rallying Cry	97462	talent-active	TraitNodeEntry	true	180	0	Cooldown	class		90331	112188	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Lets loose a rallying cry, granting all party or raid members within 40 yards 10% temporary and maximum health for 10 sec.\n\nHealth granted increased by 50% when not in a raid.
Warrior	Fury	72	Enraged Regeneration	184364	talent-active	TraitNodeEntry	true	120	0	Cooldown	spec		90395	112264	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Reduces damage taken by 30% and Bloodthirst restores an additional 20% health for 8 sec. Usable while stunned or incapacitated.
Warrior	Fury	72	Champion's Spear	376079	talent-active	TraitNodeEntry	true	90	0	Cooldown	class		90380	112247	1	Essential		cdm-only:CooldownSetSpell		api	Throw a spear at the target location, chaining all enemies in the area to the spear's location and dealing 84 Physical damage instantly and an additional 128 Physical damage over 6 sec. \n\nWhile the spear is active, activating this ability will cause you to leap to the spear, dealing 16 Physical damage to all targets.\n\nAll damage dealt reduced beyond 5 targets.\n\nGenerates 10 Rage.
Warrior	Fury	72	Recklessness	1719	talent-active	TraitNodeEntry	true	90	0	Cooldown	spec		90412	112281	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Go berserk, increasing all Rage generation by 50% and granting your abilities 20% increased critical strike chance for 12 sec.
Warrior	Fury	72	Odyn's Fury	385059	talent-active	TraitNodeEntry	true	45	0	Cooldown	spec		110203	136735	1	Essential		class-baseline:SkillLineAbility:840;cdm-only:CooldownSetSpell		api	Unleashes your power, dealing 135 Physical damage and an additional 182 Bleed damage over 4 sec to all enemies within 12 yards. Deals reduced damage beyond 8 targets.\n\nEnrages you and generates 20 Rage.
Warrior	Fury	72	Shockwave	46968	talent-active	TraitNodeEntry	true	40	0	Rotational	class		90375	112242	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell		api	Sends a wave of force in a frontal cone, causing 7 damage and stunning all enemies within 10 yards for 2 sec.
Warrior	Fury	72	Storm Bolt	107570	talent-active	TraitNodeEntry	true	30	0	Rotational	class		90337	112198	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Hurls your weapon at an enemy, causing 9 Physical damage and stunning for 4 sec.
Warrior	Fury	72	Impending Victory	202168	talent-active	TraitNodeEntry	true	25	0	Rotational	class		90326	112183	1		Self-Heal 1			api	Instantly attack the target, causing 20 damage and healing you for 30% of your maximum health.\n\nKilling an enemy that yields experience or honor resets the cooldown of Impending Victory and makes it cost no Rage.
Warrior	Fury	72	Rend	772	talent-active	TraitNodeEntry	true	6	0	Rotational	class		109391	135597	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Lash out with your weapon, striking all targets within 10 yds for 92 Physical damage instantly and wounding them for an additional 74 Bleed damage over 15 sec.
Warrior	Fury	72	Thunder Clap	6343	talent-active	TraitNodeEntry	true	6	0	Rotational	class		90343	112205	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Blasts all enemies within 8 yards for 82 Physical damage and reduces their movement speed by 20% for 10 sec. Deals reduced damage beyond 5 targets.\n\nIf you know Rend, inflicts Rend on all targets.
Warrior	Fury	72	Bloodthirst	23881	talent-active	TraitNodeEntry	true	4.5	0	Rotational	spec		90392	112261	1	Essential	Rotational 1	cdm-only:CooldownSetSpell		api	Assault the target in a bloodthirsty craze, dealing 148 Physical damage and restoring 3% of your health.\n\nGenerates 8 Rage and has a 30% chance to Enrage you.
Warrior	Fury	72	Berserker Stance	386196	talent-active	TraitNodeEntry	true	3	0	Rotational	class		90325	112182	1	Buff	Stance 2	cdm-only:CooldownSetSpell		api	An aggressive combat state that increases the damage of your auto-attacks by 15% and reduces the duration of Fear, Sap and Incapacitate effects on you by 10%.\n\nLasts until canceled.
Warrior	Fury	72	Defensive Stance	386208	talent-active	TraitNodeEntry	true	3	0	Rotational	class		92538	114644	1	Buff	Stance 1	cdm-only:CooldownSetSpell		api	A defensive combat state that reduces all damage you take by 15% and all damage you deal by 10%.\n\nLasts until canceled.
